species	structural_interval_id	breakpoint_id	reference_chrom	position	breakpoint_type	source
Flamingo	SI_Flamingo_06	SI_Flamingo_06_left_boundary	chr4	51797871	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Flamingo	SI_Flamingo_06	SI_Flamingo_06_right_boundary	chr4	57153336	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Dove	SI_Dove_01	SI_Dove_01_left_boundary	chr4	25565564	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Dove	SI_Dove_01	SI_Dove_01_right_boundary	chr4	33140694	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Dove	SI_Dove_02	SI_Dove_02_left_boundary	chr4	34238392	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Dove	SI_Dove_02	SI_Dove_02_right_boundary	chr4	34578004	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Dove	SI_Dove_03	SI_Dove_03_left_boundary	chr4	34622615	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Dove	SI_Dove_03	SI_Dove_03_right_boundary	chr4	34709966	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Dove	SI_Dove_04	SI_Dove_04_left_boundary	chr4	34773872	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Dove	SI_Dove_04	SI_Dove_04_right_boundary	chr4	34872998	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Dove	SI_Dove_05	SI_Dove_05_left_boundary	chr4	44742091	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Dove	SI_Dove_05	SI_Dove_05_right_boundary	chr4	51780864	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Dove	SI_Dove_06	SI_Dove_06_left_boundary	chr4	49627488	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Dove	SI_Dove_06	SI_Dove_06_right_boundary	chr4	50431424	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Dove	SI_Dove_07	SI_Dove_07_left_boundary	chr4	51797871	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Dove	SI_Dove_07	SI_Dove_07_right_boundary	chr4	57153336	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Sandgrouse	SI_Sandgrouse_01	SI_Sandgrouse_01_left_boundary	chr4	25565564	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Sandgrouse	SI_Sandgrouse_01	SI_Sandgrouse_01_right_boundary	chr4	33188482	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Sandgrouse	SI_Sandgrouse_02	SI_Sandgrouse_02_left_boundary	chr4	34255591	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Sandgrouse	SI_Sandgrouse_02	SI_Sandgrouse_02_right_boundary	chr4	34578442	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Sandgrouse	SI_Sandgrouse_03	SI_Sandgrouse_03_left_boundary	chr4	34595896	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Sandgrouse	SI_Sandgrouse_03	SI_Sandgrouse_03_right_boundary	chr4	35025265	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Sandgrouse	SI_Sandgrouse_04	SI_Sandgrouse_04_left_boundary	chr4	44742091	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Sandgrouse	SI_Sandgrouse_04	SI_Sandgrouse_04_right_boundary	chr4	51779593	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Sandgrouse	SI_Sandgrouse_05	SI_Sandgrouse_05_left_boundary	chr4	45678332	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Sandgrouse	SI_Sandgrouse_05	SI_Sandgrouse_05_right_boundary	chr4	47009550	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Sandgrouse	SI_Sandgrouse_06	SI_Sandgrouse_06_left_boundary	chr4	49165617	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Sandgrouse	SI_Sandgrouse_06	SI_Sandgrouse_06_right_boundary	chr4	49619656	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Sandgrouse	SI_Sandgrouse_07	SI_Sandgrouse_07_left_boundary	chr4	51798656	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Sandgrouse	SI_Sandgrouse_07	SI_Sandgrouse_07_right_boundary	chr4	57153183	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Turaco	SI_Turaco_01	SI_Turaco_01_left_boundary	chr4	25575278	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Turaco	SI_Turaco_01	SI_Turaco_01_right_boundary	chr4	33188168	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Turaco	SI_Turaco_02	SI_Turaco_02_left_boundary	chr4	34237192	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Turaco	SI_Turaco_02	SI_Turaco_02_right_boundary	chr4	34578004	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Turaco	SI_Turaco_03	SI_Turaco_03_left_boundary	chr4	34595924	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Turaco	SI_Turaco_03	SI_Turaco_03_right_boundary	chr4	34742006	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Turaco	SI_Turaco_04	SI_Turaco_04_left_boundary	chr4	44701591	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Turaco	SI_Turaco_04	SI_Turaco_04_right_boundary	chr4	57120130	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Turaco	SI_Turaco_05	SI_Turaco_05_left_boundary	chr4	45582233	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Turaco	SI_Turaco_05	SI_Turaco_05_right_boundary	chr4	47009757	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Turaco	SI_Turaco_06	SI_Turaco_06_left_boundary	chr4	47448092	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Turaco	SI_Turaco_06	SI_Turaco_06_right_boundary	chr4	51769535	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Turaco	SI_Turaco_07	SI_Turaco_07_left_boundary	chr4	49165617	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Turaco	SI_Turaco_07	SI_Turaco_07_right_boundary	chr4	49618678	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Cuckoo	SI_Cuckoo_01	SI_Cuckoo_01_left_boundary	chr4	25565564	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Cuckoo	SI_Cuckoo_01	SI_Cuckoo_01_right_boundary	chr4	33187817	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Cuckoo	SI_Cuckoo_02	SI_Cuckoo_02_left_boundary	chr4	34238646	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Cuckoo	SI_Cuckoo_02	SI_Cuckoo_02_right_boundary	chr4	34578004	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Cuckoo	SI_Cuckoo_03	SI_Cuckoo_03_left_boundary	chr4	34595912	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Cuckoo	SI_Cuckoo_03	SI_Cuckoo_03_right_boundary	chr4	34979734	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Cuckoo	SI_Cuckoo_04	SI_Cuckoo_04_left_boundary	chr4	44876564	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Cuckoo	SI_Cuckoo_04	SI_Cuckoo_04_right_boundary	chr4	57121020	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Cuckoo	SI_Cuckoo_05	SI_Cuckoo_05_left_boundary	chr4	45806523	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Cuckoo	SI_Cuckoo_05	SI_Cuckoo_05_right_boundary	chr4	51785943	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Cuckoo	SI_Cuckoo_06	SI_Cuckoo_06_left_boundary	chr4	49166028	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Cuckoo	SI_Cuckoo_06	SI_Cuckoo_06_right_boundary	chr4	49618641	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
