"x"	"col"	"sp"	"size"	"tag"
"54"	3322409.5	3497671	"Flamingo (Mirandornithes)"	22056	"chr4"
"55"	3380894	3554329	"Flamingo (Mirandornithes)"	89742	"chr4"
"56"	3430071.5	3604746.5	"Flamingo (Mirandornithes)"	7241	"chr4"
"57"	3442701	3617848.5	"Flamingo (Mirandornithes)"	6701	"chr4"
"58"	3450761	3625796.5	"Flamingo (Mirandornithes)"	8225	"chr4"
"59"	3457641	3632901	"Flamingo (Mirandornithes)"	5136	"chr4"
"60"	3474320.5	3650893.5	"Flamingo (Mirandornithes)"	19539	"chr4"
"61"	3489536.5	3666324	"Flamingo (Mirandornithes)"	7298	"chr4"
"62"	3497457.5	3674661	"Flamingo (Mirandornithes)"	8782	"chr4"
"63"	3507405.5	3685616	"Flamingo (Mirandornithes)"	10882	"chr4"
"64"	3535045.5	3713455	"Flamingo (Mirandornithes)"	15108	"chr4"
"65"	3556033.5	3734299.5	"Flamingo (Mirandornithes)"	12505	"chr4"
"66"	3576329	3754562.5	"Flamingo (Mirandornithes)"	27127	"chr4"
"67"	3603350.5	3781883	"Flamingo (Mirandornithes)"	10394	"chr4"
"68"	3617094	3794766	"Flamingo (Mirandornithes)"	14896	"chr4"
"69"	3687063.5	3869724.5	"Flamingo (Mirandornithes)"	11361	"chr4"
"70"	3704101	3887430.5	"Flamingo (Mirandornithes)"	13325	"chr4"
"71"	3716345	3901260.5	"Flamingo (Mirandornithes)"	6151	"chr4"
"72"	3729904.5	3912496	"Flamingo (Mirandornithes)"	12000	"chr4"
"73"	3744133	3929181	"Flamingo (Mirandornithes)"	6378	"chr4"
"74"	3752118.5	3937552.5	"Flamingo (Mirandornithes)"	9597	"chr4"
"75"	3763045	3948769.5	"Flamingo (Mirandornithes)"	12303	"chr4"
"76"	3775747.5	3960807.5	"Flamingo (Mirandornithes)"	10799	"chr4"
"77"	3804195	3981860.5	"Flamingo (Mirandornithes)"	24845	"chr4"
"78"	3823257.5	3997195.5	"Flamingo (Mirandornithes)"	5815	"chr4"
"79"	3841372	4012093.5	"Flamingo (Mirandornithes)"	9797	"chr4"
"80"	3863195.5	4039606	"Flamingo (Mirandornithes)"	11756	"chr4"
"81"	3891881	4062484	"Flamingo (Mirandornithes)"	12282	"chr4"
"82"	3909491.5	4078499.5	"Flamingo (Mirandornithes)"	17023	"chr4"
"83"	3923101	4091296	"Flamingo (Mirandornithes)"	7500	"chr4"
"84"	3942332.5	4110896	"Flamingo (Mirandornithes)"	17170	"chr4"
"85"	3963579.5	4126155.5	"Flamingo (Mirandornithes)"	12623	"chr4"
"86"	3996462.5	4159845.5	"Flamingo (Mirandornithes)"	23733	"chr4"
"87"	4020751.5	4184869	"Flamingo (Mirandornithes)"	8948	"chr4"
"88"	4032622.5	4197065.5	"Flamingo (Mirandornithes)"	14535	"chr4"
"89"	4055129	4220006	"Flamingo (Mirandornithes)"	15472	"chr4"
"90"	4070309.5	4236444.5	"Flamingo (Mirandornithes)"	8049	"chr4"
"91"	4078643	4246402	"Flamingo (Mirandornithes)"	5732	"chr4"
"92"	4086639.5	4253863.5	"Flamingo (Mirandornithes)"	8449	"chr4"
"93"	4105194	4265203	"Flamingo (Mirandornithes)"	7908	"chr4"
"94"	4115898	4275765	"Flamingo (Mirandornithes)"	5030	"chr4"
"95"	4122339.5	4282260	"Flamingo (Mirandornithes)"	6790	"chr4"
"96"	4140144	4300092.5	"Flamingo (Mirandornithes)"	18411	"chr4"
"97"	4155726	4315420	"Flamingo (Mirandornithes)"	11172	"chr4"
"98"	4173216.5	4332590	"Flamingo (Mirandornithes)"	21644	"chr4"
"99"	4215593.5	4374221.5	"Flamingo (Mirandornithes)"	52451	"chr4"
"100"	4259113	4417303.5	"Flamingo (Mirandornithes)"	14131	"chr4"
"101"	4274773.5	4432414	"Flamingo (Mirandornithes)"	15372	"chr4"
"102"	4285237.5	4443228.5	"Flamingo (Mirandornithes)"	5253	"chr4"
"103"	4298937	4457333.5	"Flamingo (Mirandornithes)"	12411	"chr4"
"104"	4320954	4479123	"Flamingo (Mirandornithes)"	19024	"chr4"
"105"	4364139.5	4521025	"Flamingo (Mirandornithes)"	14492	"chr4"
"106"	4377341.5	4532341.5	"Flamingo (Mirandornithes)"	7063	"chr4"
"107"	4407040.5	4561235	"Flamingo (Mirandornithes)"	33938	"chr4"
"108"	4437981	4588026.5	"Flamingo (Mirandornithes)"	18525	"chr4"
"109"	4470533.5	4617924.5	"Flamingo (Mirandornithes)"	11491	"chr4"
"110"	4514708.5	4662771	"Flamingo (Mirandornithes)"	23280	"chr4"
"111"	4534921	4683139	"Flamingo (Mirandornithes)"	16488	"chr4"
"112"	4546060	4694607	"Flamingo (Mirandornithes)"	5686	"chr4"
"113"	4564911	4712635.5	"Flamingo (Mirandornithes)"	23797	"chr4"
"114"	4593120	4739095.5	"Flamingo (Mirandornithes)"	19599	"chr4"
"115"	4607859	4753617	"Flamingo (Mirandornithes)"	8524	"chr4"
"116"	4626830.5	4772785	"Flamingo (Mirandornithes)"	28638	"chr4"
"117"	4645094	4792000	"Flamingo (Mirandornithes)"	7718	"chr4"
"118"	4653961	4802166	"Flamingo (Mirandornithes)"	8786	"chr4"
"119"	4670947.5	4819265.5	"Flamingo (Mirandornithes)"	9679	"chr4"
"120"	4682094	4831126.5	"Flamingo (Mirandornithes)"	7721	"chr4"
"121"	4723461	4869267	"Flamingo (Mirandornithes)"	10780	"chr4"
"122"	4741667.5	4887558.5	"Flamingo (Mirandornithes)"	20801	"chr4"
"123"	4759483.5	4905011.5	"Flamingo (Mirandornithes)"	13555	"chr4"
"124"	4787090	4932687.5	"Flamingo (Mirandornithes)"	30995	"chr4"
"125"	4819132	4966204	"Flamingo (Mirandornithes)"	9694	"chr4"
"126"	4832152.5	4980879	"Flamingo (Mirandornithes)"	7628	"chr4"
"127"	4845322.5	4994954.5	"Flamingo (Mirandornithes)"	10731	"chr4"
"128"	4931022	5079507.5	"Flamingo (Mirandornithes)"	108101	"chr4"
"129"	5144720	5293618	"Flamingo (Mirandornithes)"	310394	"chr4"
"130"	5310056	5458377.5	"Flamingo (Mirandornithes)"	8225	"chr4"
"131"	5327009.5	5475461.5	"Flamingo (Mirandornithes)"	11613	"chr4"
"132"	5339596.5	5489060	"Flamingo (Mirandornithes)"	11320	"chr4"
"133"	5356125	5508291	"Flamingo (Mirandornithes)"	10914	"chr4"
"134"	5369171.5	5520774.5	"Flamingo (Mirandornithes)"	13209	"chr4"
"135"	5393220.5	5544407	"Flamingo (Mirandornithes)"	13106	"chr4"
"136"	5451040.5	5600279	"Flamingo (Mirandornithes)"	41998	"chr4"
"137"	5543541.5	5692236	"Flamingo (Mirandornithes)"	10808	"chr4"
"138"	5556650	5705578.5	"Flamingo (Mirandornithes)"	12247	"chr4"
"139"	5571415.5	5720347	"Flamingo (Mirandornithes)"	6282	"chr4"
"140"	5582648.5	5726270.5	"Flamingo (Mirandornithes)"	5443	"chr4"
"141"	5595042	5737709	"Flamingo (Mirandornithes)"	15046	"chr4"
"142"	5614326	5752190.5	"Flamingo (Mirandornithes)"	12643	"chr4"
"143"	5624717.5	5762583.5	"Flamingo (Mirandornithes)"	6993	"chr4"
"144"	5652845.5	5793269.5	"Flamingo (Mirandornithes)"	5069	"chr4"
"145"	5664688	5805715.5	"Flamingo (Mirandornithes)"	5957	"chr4"
"146"	5676746	5817600	"Flamingo (Mirandornithes)"	16534	"chr4"
"147"	5714940	5854707	"Flamingo (Mirandornithes)"	56268	"chr4"
"148"	5752415	5886857	"Flamingo (Mirandornithes)"	6590	"chr4"
"149"	5790658.5	5929929	"Flamingo (Mirandornithes)"	18252	"chr4"
"150"	5809230.5	5946393	"Flamingo (Mirandornithes)"	8480	"chr4"
"151"	5829241.5	5961591	"Flamingo (Mirandornithes)"	21134	"chr4"
"152"	5858801	5991247.5	"Flamingo (Mirandornithes)"	8445	"chr4"
"153"	5873029.5	6004973	"Flamingo (Mirandornithes)"	10194	"chr4"
"154"	5885325	6016914	"Flamingo (Mirandornithes)"	12262	"chr4"
"155"	5896061	6028935.5	"Flamingo (Mirandornithes)"	6353	"chr4"
"156"	5916865	6047922.5	"Flamingo (Mirandornithes)"	7149	"chr4"
"157"	5932536	6063567	"Flamingo (Mirandornithes)"	22642	"chr4"
"158"	5955436	6086274	"Flamingo (Mirandornithes)"	22224	"chr4"
"159"	5981429	6110366.5	"Flamingo (Mirandornithes)"	9699	"chr4"
"160"	6012421.5	6138464	"Flamingo (Mirandornithes)"	12946	"chr4"
"161"	6030276.5	6155007.5	"Flamingo (Mirandornithes)"	10263	"chr4"
"162"	6043098	6167207	"Flamingo (Mirandornithes)"	8232	"chr4"
"163"	6051480.5	6174458	"Flamingo (Mirandornithes)"	5712	"chr4"
"164"	6080547.5	6201786.5	"Flamingo (Mirandornithes)"	8115	"chr4"
"165"	6091633.5	6214253	"Flamingo (Mirandornithes)"	8480	"chr4"
"166"	6104136	6228839.5	"Flamingo (Mirandornithes)"	11171	"chr4"
"167"	6112778.5	6238524	"Flamingo (Mirandornithes)"	5150	"chr4"
"168"	6121879	6248266	"Flamingo (Mirandornithes)"	6786	"chr4"
"169"	6130390	6257049.5	"Flamingo (Mirandornithes)"	9345	"chr4"
"170"	6138378	6266718	"Flamingo (Mirandornithes)"	6518	"chr4"
"171"	6161492.5	6289430.5	"Flamingo (Mirandornithes)"	15665	"chr4"
"172"	6184576.5	6315177.5	"Flamingo (Mirandornithes)"	8229	"chr4"
"173"	6192160.5	6323332.5	"Flamingo (Mirandornithes)"	6787	"chr4"
"174"	6199682	6330787	"Flamingo (Mirandornithes)"	7296	"chr4"
"175"	6207443.5	6339394.5	"Flamingo (Mirandornithes)"	6991	"chr4"
"176"	6214237.5	6346637.5	"Flamingo (Mirandornithes)"	6797	"chr4"
"177"	6231413	6365261.5	"Flamingo (Mirandornithes)"	14719	"chr4"
"178"	6243841	6376550	"Flamingo (Mirandornithes)"	7172	"chr4"
"179"	6252769	6387463.5	"Flamingo (Mirandornithes)"	6481	"chr4"
"180"	6263592.5	6399725.5	"Flamingo (Mirandornithes)"	10461	"chr4"
"181"	6272064	6408306.5	"Flamingo (Mirandornithes)"	5951	"chr4"
"182"	6282566.5	6418866.5	"Flamingo (Mirandornithes)"	13969	"chr4"
"183"	6308052	6443071.5	"Flamingo (Mirandornithes)"	23913	"chr4"
"184"	6354553.5	6486339.5	"Flamingo (Mirandornithes)"	59157	"chr4"
"185"	6395819.5	6519911	"Flamingo (Mirandornithes)"	7432	"chr4"
"186"	6405411	6531266.5	"Flamingo (Mirandornithes)"	5229	"chr4"
"187"	6419959	6550064.5	"Flamingo (Mirandornithes)"	9303	"chr4"
"188"	6436372.5	6567447.5	"Flamingo (Mirandornithes)"	18495	"chr4"
"189"	6450180	6581708.5	"Flamingo (Mirandornithes)"	8625	"chr4"
"190"	6458724.5	6590954	"Flamingo (Mirandornithes)"	8440	"chr4"
"191"	6469824	6601208	"Flamingo (Mirandornithes)"	11482	"chr4"
"192"	6508880.5	6638315.5	"Flamingo (Mirandornithes)"	52009	"chr4"
"193"	6551121.5	6680335.5	"Flamingo (Mirandornithes)"	31267	"chr4"
"194"	6574918.5	6700687.5	"Flamingo (Mirandornithes)"	9421	"chr4"
"195"	6593079	6718515	"Flamingo (Mirandornithes)"	25466	"chr4"
"196"	6628110	6752930	"Flamingo (Mirandornithes)"	12294	"chr4"
"197"	6650327.5	6775744	"Flamingo (Mirandornithes)"	15104	"chr4"
"198"	6663814	6789955.5	"Flamingo (Mirandornithes)"	6467	"chr4"
"199"	6710543	6834952.5	"Flamingo (Mirandornithes)"	59859	"chr4"
"200"	6751110	6872731	"Flamingo (Mirandornithes)"	14906	"chr4"
"201"	6765944.5	6885689	"Flamingo (Mirandornithes)"	10524	"chr4"
"202"	6793905.5	6912852	"Flamingo (Mirandornithes)"	43152	"chr4"
"203"	6841823.5	6959838	"Flamingo (Mirandornithes)"	46126	"chr4"
"204"	6894530.5	7011892.5	"Flamingo (Mirandornithes)"	57197	"chr4"
"205"	6928536.5	7045983	"Flamingo (Mirandornithes)"	9844	"chr4"
"206"	6953485.5	7070686.5	"Flamingo (Mirandornithes)"	24971	"chr4"
"207"	6971586.5	7088603.5	"Flamingo (Mirandornithes)"	8861	"chr4"
"208"	6979924.5	7096988.5	"Flamingo (Mirandornithes)"	6907	"chr4"
"209"	6995990.5	7116484.5	"Flamingo (Mirandornithes)"	7559	"chr4"
"210"	7009344	7129834.5	"Flamingo (Mirandornithes)"	11729	"chr4"
"211"	7022313.5	7142881.5	"Flamingo (Mirandornithes)"	12437	"chr4"
"212"	7041676.5	7161322	"Flamingo (Mirandornithes)"	21152	"chr4"
"213"	7060510	7179502	"Flamingo (Mirandornithes)"	14476	"chr4"
"214"	7073845.5	7191713.5	"Flamingo (Mirandornithes)"	8965	"chr4"
"215"	7125194.5	7239245	"Flamingo (Mirandornithes)"	14124	"chr4"
"216"	7153550.5	7267049.5	"Flamingo (Mirandornithes)"	40853	"chr4"
"217"	7185119.5	7300991	"Flamingo (Mirandornithes)"	16020	"chr4"
"218"	7241066	7354768	"Flamingo (Mirandornithes)"	91522	"chr4"
"219"	7312992	7425665	"Flamingo (Mirandornithes)"	16402	"chr4"
"220"	7365063.5	7478701	"Flamingo (Mirandornithes)"	13066	"chr4"
"221"	7402083	7515113	"Flamingo (Mirandornithes)"	21882	"chr4"
"222"	7415834	7529248.5	"Flamingo (Mirandornithes)"	5479	"chr4"
"223"	7422744.5	7536210.5	"Flamingo (Mirandornithes)"	7727	"chr4"
"224"	7436545	7550114.5	"Flamingo (Mirandornithes)"	17403	"chr4"
"225"	7459857	7572268.5	"Flamingo (Mirandornithes)"	25119	"chr4"
"226"	7505665	7600858.5	"Flamingo (Mirandornithes)"	5853	"chr4"
"227"	7546167.5	7638508	"Flamingo (Mirandornithes)"	67824	"chr4"
"228"	7599187.5	7688979.5	"Flamingo (Mirandornithes)"	25485	"chr4"
"229"	7622710.5	7711105.5	"Flamingo (Mirandornithes)"	17591	"chr4"
"230"	7635446.5	7723469	"Flamingo (Mirandornithes)"	6702	"chr4"
"231"	7645360.5	7733702	"Flamingo (Mirandornithes)"	10992	"chr4"
"232"	7677681.5	7765220	"Flamingo (Mirandornithes)"	45168	"chr4"
"233"	7709018.5	7796084	"Flamingo (Mirandornithes)"	7070	"chr4"
"234"	7716156	7803753	"Flamingo (Mirandornithes)"	7104	"chr4"
"235"	7729624.5	7819103	"Flamingo (Mirandornithes)"	6436	"chr4"
"236"	7785216.5	7873423.5	"Flamingo (Mirandornithes)"	6175	"chr4"
"237"	7826967.5	7915366.5	"Flamingo (Mirandornithes)"	42575	"chr4"
"238"	7851335.5	7939429	"Flamingo (Mirandornithes)"	5028	"chr4"
"239"	7860487	7948675	"Flamingo (Mirandornithes)"	12246	"chr4"
"240"	7875443	7963135	"Flamingo (Mirandornithes)"	15990	"chr4"
"241"	7901090.5	7988111.5	"Flamingo (Mirandornithes)"	30953	"chr4"
"242"	7925598	8011841	"Flamingo (Mirandornithes)"	10918	"chr4"
"243"	7940210	8026713	"Flamingo (Mirandornithes)"	17848	"chr4"
"244"	7953541	8040413	"Flamingo (Mirandornithes)"	8510	"chr4"
"245"	7963400.5	8050576.5	"Flamingo (Mirandornithes)"	10211	"chr4"
"246"	7982843.5	8070414	"Flamingo (Mirandornithes)"	28200	"chr4"
"247"	8027508	8115348	"Flamingo (Mirandornithes)"	36828	"chr4"
"248"	8050798.5	8140497.5	"Flamingo (Mirandornithes)"	9257	"chr4"
"249"	8079194	8169059	"Flamingo (Mirandornithes)"	35026	"chr4"
"250"	8117039.5	8204460.5	"Flamingo (Mirandornithes)"	34343	"chr4"
"251"	8147195	8234349	"Flamingo (Mirandornithes)"	24242	"chr4"
"252"	8172288	8259848	"Flamingo (Mirandornithes)"	25768	"chr4"
"253"	8194289	8282848	"Flamingo (Mirandornithes)"	8778	"chr4"
"254"	8226043.5	8314516.5	"Flamingo (Mirandornithes)"	51661	"chr4"
"255"	8264972	8351312	"Flamingo (Mirandornithes)"	21238	"chr4"
"256"	8286696	8368230	"Flamingo (Mirandornithes)"	11932	"chr4"
"257"	8309849.5	8392958	"Flamingo (Mirandornithes)"	27082	"chr4"
"258"	8326874.5	8409688	"Flamingo (Mirandornithes)"	5224	"chr4"
"259"	8364742.5	8449684	"Flamingo (Mirandornithes)"	16432	"chr4"
"260"	8414430.5	8499887	"Flamingo (Mirandornithes)"	31910	"chr4"
"261"	8440871.5	8525236	"Flamingo (Mirandornithes)"	17812	"chr4"
"262"	8468187.5	8553412	"Flamingo (Mirandornithes)"	36494	"chr4"
"263"	8545909	8633906.5	"Flamingo (Mirandornithes)"	114945	"chr4"
"264"	8634223	8722009.5	"Flamingo (Mirandornithes)"	59893	"chr4"
"265"	8676341	8763400.5	"Flamingo (Mirandornithes)"	21473	"chr4"
"266"	8705336	8791999	"Flamingo (Mirandornithes)"	18722	"chr4"
"267"	8720622	8807975	"Flamingo (Mirandornithes)"	9142	"chr4"
"268"	8762143	8851430.5	"Flamingo (Mirandornithes)"	20895	"chr4"
"269"	8818214.5	8906508.5	"Flamingo (Mirandornithes)"	11243	"chr4"
"270"	8849103.5	8937842.5	"Flamingo (Mirandornithes)"	42793	"chr4"
"271"	8894353	8980581.5	"Flamingo (Mirandornithes)"	42081	"chr4"
"272"	8935586.5	9021358.5	"Flamingo (Mirandornithes)"	32165	"chr4"
"273"	8960376.5	9046318	"Flamingo (Mirandornithes)"	17058	"chr4"
"274"	8976459	9060890	"Flamingo (Mirandornithes)"	11144	"chr4"
"275"	8989362.5	9073049	"Flamingo (Mirandornithes)"	12668	"chr4"
"276"	8999128.5	9083103.5	"Flamingo (Mirandornithes)"	6699	"chr4"
"277"	9011015.5	9095668.5	"Flamingo (Mirandornithes)"	7949	"chr4"
"278"	9040321	9125691.5	"Flamingo (Mirandornithes)"	49593	"chr4"
"279"	9069780	9154389	"Flamingo (Mirandornithes)"	6550	"chr4"
"280"	9085166	9169878.5	"Flamingo (Mirandornithes)"	23495	"chr4"
"281"	9103661	9189557	"Flamingo (Mirandornithes)"	9792	"chr4"
"282"	9143825	9229732.5	"Flamingo (Mirandornithes)"	59655	"chr4"
"283"	9263791.5	9349494	"Flamingo (Mirandornithes)"	155570	"chr4"
"284"	9514298.5	9595839.5	"Flamingo (Mirandornithes)"	332811	"chr4"
"285"	9724215.5	9807218	"Flamingo (Mirandornithes)"	30720	"chr4"
"286"	9748790	9832031.5	"Flamingo (Mirandornithes)"	17561	"chr4"
"287"	9778297.5	9860705	"Flamingo (Mirandornithes)"	36742	"chr4"
"288"	9806044.5	9884071	"Flamingo (Mirandornithes)"	8514	"chr4"
"289"	9812829	9891806.5	"Flamingo (Mirandornithes)"	5131	"chr4"
"290"	9826201.5	9907683	"Flamingo (Mirandornithes)"	10032	"chr4"
"291"	9839667	9919512	"Flamingo (Mirandornithes)"	6924	"chr4"
"292"	9852692.5	9933214.5	"Flamingo (Mirandornithes)"	18513	"chr4"
"293"	9869754.5	9949390.5	"Flamingo (Mirandornithes)"	12693	"chr4"
"294"	9879120	9958946.5	"Flamingo (Mirandornithes)"	5489	"chr4"
"295"	9885710.5	9966222.5	"Flamingo (Mirandornithes)"	7647	"chr4"
"296"	9903275	9985976	"Flamingo (Mirandornithes)"	27062	"chr4"
"297"	9948546	10030906.5	"Flamingo (Mirandornithes)"	62133	"chr4"
"298"	9988182.5	10070241	"Flamingo (Mirandornithes)"	16102	"chr4"
"299"	10010113	10095902	"Flamingo (Mirandornithes)"	6348	"chr4"
"300"	10016912	10103703	"Flamingo (Mirandornithes)"	7246	"chr4"
"301"	10028369.5	10117111	"Flamingo (Mirandornithes)"	15590	"chr4"
"302"	10074014	10166714.5	"Flamingo (Mirandornithes)"	40677	"chr4"
"303"	10107490.5	10199430.5	"Flamingo (Mirandornithes)"	11079	"chr4"
"304"	10123059.5	10214837	"Flamingo (Mirandornithes)"	6000	"chr4"
"305"	10129133.5	10221925	"Flamingo (Mirandornithes)"	5902	"chr4"
"306"	10149485.5	10244077.5	"Flamingo (Mirandornithes)"	15753	"chr4"
"307"	10186680	10282002.5	"Flamingo (Mirandornithes)"	57009	"chr4"
"308"	10233366	10327626.5	"Flamingo (Mirandornithes)"	33361	"chr4"
"309"	10276695	10370972	"Flamingo (Mirandornithes)"	10048	"chr4"
"310"	10299023	10393814.5	"Flamingo (Mirandornithes)"	33179	"chr4"
"311"	10321103.5	10415617	"Flamingo (Mirandornithes)"	9674	"chr4"
"312"	10336488.5	10431222	"Flamingo (Mirandornithes)"	21106	"chr4"
"313"	10355012	10451170	"Flamingo (Mirandornithes)"	15446	"chr4"
"314"	10372973.5	10469586	"Flamingo (Mirandornithes)"	19328	"chr4"
"315"	10389249.5	10486541.5	"Flamingo (Mirandornithes)"	12577	"chr4"
"316"	10406828	10507625	"Flamingo (Mirandornithes)"	6716	"chr4"
"317"	10426448	10526819	"Flamingo (Mirandornithes)"	27932	"chr4"
"318"	10453150	10550018	"Flamingo (Mirandornithes)"	17892	"chr4"
"319"	10484259.5	10582378.5	"Flamingo (Mirandornithes)"	35879	"chr4"
"320"	10505740.5	10604234	"Flamingo (Mirandornithes)"	6408	"chr4"
"321"	10515168	10613941.5	"Flamingo (Mirandornithes)"	11643	"chr4"
"322"	10526940.5	10625632.5	"Flamingo (Mirandornithes)"	11237	"chr4"
"323"	10540198.5	10639580.5	"Flamingo (Mirandornithes)"	15097	"chr4"
"324"	10553518	10653273	"Flamingo (Mirandornithes)"	11844	"chr4"
"325"	10565945.5	10670763.5	"Flamingo (Mirandornithes)"	5617	"chr4"
"326"	10598746.5	10702247.5	"Flamingo (Mirandornithes)"	52935	"chr4"
"327"	10630058.5	10733123	"Flamingo (Mirandornithes)"	7954	"chr4"
"328"	10645789.5	10749637	"Flamingo (Mirandornithes)"	22736	"chr4"
"329"	10671529	10776029.5	"Flamingo (Mirandornithes)"	28687	"chr4"
"330"	10691950	10796710	"Flamingo (Mirandornithes)"	11672	"chr4"
"331"	10720435	10826390.5	"Flamingo (Mirandornithes)"	44213	"chr4"
"332"	10753290	10859142	"Flamingo (Mirandornithes)"	20028	"chr4"
"333"	10773561	10879144.5	"Flamingo (Mirandornithes)"	19379	"chr4"
"334"	10795740.5	10902075	"Flamingo (Mirandornithes)"	24502	"chr4"
"335"	10812185.5	10919694	"Flamingo (Mirandornithes)"	8458	"chr4"
"336"	10833902.5	10943615.5	"Flamingo (Mirandornithes)"	27983	"chr4"
"337"	10853958.5	10965080.5	"Flamingo (Mirandornithes)"	11929	"chr4"
"338"	10877463	10989236	"Flamingo (Mirandornithes)"	29290	"chr4"
"339"	10905541.5	11016729	"Flamingo (Mirandornithes)"	25072	"chr4"
"340"	10925702.5	11039772	"Flamingo (Mirandornithes)"	5972	"chr4"
"341"	10945945	11059898.5	"Flamingo (Mirandornithes)"	9033	"chr4"
"342"	10975016.5	11090984.5	"Flamingo (Mirandornithes)"	6657	"chr4"
"343"	10990048	11105884	"Flamingo (Mirandornithes)"	17708	"chr4"
"344"	11015771.5	11130937.5	"Flamingo (Mirandornithes)"	31979	"chr4"
"345"	11055065	11164485.5	"Flamingo (Mirandornithes)"	34385	"chr4"
"346"	11094116.5	11205728.5	"Flamingo (Mirandornithes)"	44263	"chr4"
"347"	11136014.5	11244674.5	"Flamingo (Mirandornithes)"	24569	"chr4"
"348"	11152219	11260594.5	"Flamingo (Mirandornithes)"	6809	"chr4"
"349"	11163759	11271881.5	"Flamingo (Mirandornithes)"	14853	"chr4"
