breakpoint_id	breakpoint_position	flank_window_bp	species	arrangement_state	junction_signature	reference_or_derived	confidence	all_pairs_equivalence_rule
DSB_013	19760078	250000	Sandgrouse	A2	different_chr:+:-:chromosome_switch:unknown_gap	derived_state_2	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_013	19760078	250000	Turaco	A2	different_chr:+:-:chromosome_switch:unknown_gap	derived_state_2	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_013	19760078	250000	Cuckoo	A2	different_chr:+:-:chromosome_switch:unknown_gap	derived_state_2	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_013	19760078	250000	Stork	A3	different_chr:-:-:chromosome_switch:unknown_gap	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_013	19760078	250000	Chicken	A0	same_chr:+:+:forward:adjacent	reference_like	reference_defined	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_014	25213019	250000	Flamingo	A2	same_chr:-:+:reverse:distant	derived_state_2	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_014	25213019	250000	Dove	A1	same_chr:+:-:forward:distant	derived_state_1	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_014	25213019	250000	Sandgrouse	A2	same_chr:-:+:reverse:distant	derived_state_2	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_014	25213019	250000	Turaco	A2	same_chr:-:+:reverse:distant	derived_state_2	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_014	25213019	250000	Cuckoo	A2	same_chr:-:+:reverse:distant	derived_state_2	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_014	25213019	250000	Stork	A2	same_chr:-:+:reverse:distant	derived_state_2	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_014	25213019	250000	Chicken	A0	same_chr:+:+:forward:adjacent	reference_like	reference_defined	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_015	25559087	250000	Flamingo	A3	same_chr:+:-:forward:very_distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_015	25559087	250000	Dove	A4	same_chr:-:+:reverse:very_distant	derived_state_4	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_015	25559087	250000	Sandgrouse	A1	different_chr:+:-:chromosome_switch:unknown_gap	derived_state_1	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_015	25559087	250000	Turaco	A2	same_chr:+:+:reverse:very_distant	derived_state_2	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_015	25559087	250000	Cuckoo	A3	same_chr:+:-:forward:very_distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_015	25559087	250000	Stork	A3	same_chr:+:-:forward:very_distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_015	25559087	250000	Chicken	A0	same_chr:+:+:forward:adjacent	reference_like	reference_defined	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_016	33234049	250000	Flamingo	A4	same_chr:-:-:reverse:very_distant	derived_state_4	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_016	33234049	250000	Dove	A2	same_chr:+:+:forward:very_distant	derived_state_2	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_016	33234049	250000	Sandgrouse	A1	different_chr:-:-:chromosome_switch:unknown_gap	derived_state_1	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_016	33234049	250000	Turaco	A3	same_chr:+:-:forward:very_distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_016	33234049	250000	Cuckoo	A4	same_chr:-:-:reverse:very_distant	derived_state_4	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_016	33234049	250000	Stork	A4	same_chr:-:-:reverse:very_distant	derived_state_4	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_016	33234049	250000	Chicken	A0	same_chr:+:+:forward:adjacent	reference_like	reference_defined	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_017	34021640	250000	Flamingo	A3	same_chr:-:-:forward:very_distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_017	34021640	250000	Dove	A2	same_chr:+:-:reverse:very_distant	derived_state_2	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_017	34021640	250000	Sandgrouse	A1	different_chr:-:-:chromosome_switch:unknown_gap	derived_state_1	limited_short_flank_run	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_017	34021640	250000	Turaco	A4	same_chr:-:-:reverse:very_distant	derived_state_4	limited_short_flank_run	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_017	34021640	250000	Cuckoo	A3	same_chr:-:-:forward:very_distant	derived_state_3	limited_short_flank_run	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_017	34021640	250000	Stork	A3	same_chr:-:-:forward:very_distant	derived_state_3	limited_short_flank_run	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_017	34021640	250000	Chicken	A0	same_chr:+:+:forward:adjacent	reference_like	reference_defined	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_018	34232794	250000	Flamingo	A4	same_chr:-:-:forward:very_distant	derived_state_4	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_018	34232794	250000	Dove	A3	same_chr:-:+:forward:very_distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_018	34232794	250000	Sandgrouse	A2	same_chr:+:-:reverse:very_distant	derived_state_2	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_018	34232794	250000	Turaco	A1	same_chr:+:+:reverse:very_distant	derived_state_1	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_018	34232794	250000	Cuckoo	A4	same_chr:-:-:forward:very_distant	derived_state_4	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_018	34232794	250000	Stork	A4	same_chr:-:-:forward:very_distant	derived_state_4	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_018	34232794	250000	Chicken	A0	same_chr:+:+:forward:adjacent	reference_like	reference_defined	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_020	35025837	250000	Flamingo	A3	same_chr:+:+:reverse:very_distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_020	35025837	250000	Dove	A4	same_chr:-:-:forward:very_distant	derived_state_4	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_020	35025837	250000	Sandgrouse	A1	different_chr:-:+:chromosome_switch:unknown_gap	derived_state_1	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_020	35025837	250000	Turaco	A2	same_chr:+:+:forward:very_distant	derived_state_2	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_020	35025837	250000	Cuckoo	A3	same_chr:+:+:reverse:very_distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_020	35025837	250000	Stork	A3	same_chr:+:+:reverse:very_distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_020	35025837	250000	Chicken	A0	same_chr:+:+:forward:adjacent	reference_like	reference_defined	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_022	37255236	250000	Flamingo	A2	same_chr:+:+:reverse:very_distant	derived_state_2	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_022	37255236	250000	Dove	A4	same_chr:-:-:forward:near	derived_state_4	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_022	37255236	250000	Sandgrouse	A1	different_chr:-:+:chromosome_switch:unknown_gap	derived_state_1	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_022	37255236	250000	Turaco	A2	same_chr:+:+:reverse:very_distant	derived_state_2	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_022	37255236	250000	Cuckoo	A3	same_chr:+:-:forward:very_distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_022	37255236	250000	Stork	A2	same_chr:+:+:reverse:very_distant	derived_state_2	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_022	37255236	250000	Chicken	A0	same_chr:+:+:forward:adjacent	reference_like	reference_defined	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_023	39237022	250000	Flamingo	A2	same_chr:+:+:reverse:very_distant	derived_state_2	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_023	39237022	250000	Dove	A4	same_chr:-:-:forward:very_distant	derived_state_4	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_023	39237022	250000	Sandgrouse	A1	different_chr:+:+:chromosome_switch:unknown_gap	derived_state_1	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_023	39237022	250000	Turaco	A2	same_chr:+:+:reverse:very_distant	derived_state_2	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_023	39237022	250000	Cuckoo	A3	same_chr:-:+:reverse:very_distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_023	39237022	250000	Stork	A3	same_chr:-:+:reverse:very_distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_023	39237022	250000	Chicken	A0	same_chr:+:+:forward:adjacent	reference_like	reference_defined	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_024	42267292	250000	Flamingo	A1	same_chr:+:-:forward:very_distant	derived_state_1	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_024	42267292	250000	Dove	A2	same_chr:-:+:reverse:very_distant	derived_state_2	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_024	42267292	250000	Sandgrouse	A1	same_chr:+:-:forward:very_distant	derived_state_1	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_024	42267292	250000	Turaco	A1	same_chr:+:-:forward:very_distant	derived_state_1	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_024	42267292	250000	Cuckoo	A1	same_chr:+:-:forward:very_distant	derived_state_1	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_024	42267292	250000	Stork	A1	same_chr:+:-:forward:very_distant	derived_state_1	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_024	42267292	250000	Chicken	A0	same_chr:+:+:forward:adjacent	reference_like	reference_defined	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_025	44647530	250000	Flamingo	A2	same_chr:-:+:forward:very_distant	derived_state_2	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_025	44647530	250000	Dove	A1	same_chr:+:-:reverse:very_distant	derived_state_1	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_025	44647530	250000	Sandgrouse	A3	same_chr:-:-:forward:distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_025	44647530	250000	Turaco	A4	same_chr:-:-:reverse:very_distant	derived_state_4	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_025	44647530	250000	Cuckoo	A2	same_chr:-:+:forward:very_distant	derived_state_2	limited_short_flank_run	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_025	44647530	250000	Stork	A2	same_chr:-:+:forward:very_distant	derived_state_2	limited_short_flank_run	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_025	44647530	250000	Chicken	A0	same_chr:+:+:forward:adjacent	reference_like	reference_defined	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_026	45658664	250000	Flamingo	A3	same_chr:+:-:forward:very_distant	derived_state_3	limited_short_flank_run	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_026	45658664	250000	Dove	A5	same_chr:-:+:reverse:distant	derived_state_5	limited_distant_flank	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_026	45658664	250000	Sandgrouse	A4	same_chr:+:-:reverse:very_distant	derived_state_4	limited_short_flank_run	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_026	45658664	250000	Turaco	A1	same_chr:+:+:forward:distant	derived_state_1	limited_distant_flank	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_026	45658664	250000	Cuckoo	A2	same_chr:+:+:reverse:very_distant	derived_state_2	limited_distant_flank	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_026	45658664	250000	Stork	A3	same_chr:+:-:forward:very_distant	derived_state_3	limited_short_flank_run	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_026	45658664	250000	Chicken	A0	same_chr:+:+:forward:adjacent	reference_like	reference_defined	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_027	46422770	250000	Flamingo	A4	same_chr:-:+:forward:very_distant	derived_state_4	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_027	46422770	250000	Dove	A3	same_chr:+:-:reverse:very_distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_027	46422770	250000	Sandgrouse	A2	same_chr:+:+:forward:very_distant	derived_state_2	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_027	46422770	250000	Turaco	A3	same_chr:+:-:reverse:very_distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_027	46422770	250000	Cuckoo	A1	same_chr:+:+:forward:distant	derived_state_1	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_027	46422770	250000	Stork	A4	same_chr:-:+:forward:very_distant	derived_state_4	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_027	46422770	250000	Chicken	A0	same_chr:+:+:forward:adjacent	reference_like	reference_defined	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_028	47143089	250000	Flamingo	A1	same_chr:+:+:forward:near	derived_state_1	limited_short_flank_run	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_028	47143089	250000	Dove	A3	same_chr:+:-:forward:near	derived_state_3	limited_short_flank_run	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_028	47143089	250000	Sandgrouse	A1	same_chr:+:+:forward:near	derived_state_1	limited_short_flank_run	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_028	47143089	250000	Turaco	unresolved	unresolved	unresolved	unresolved_missing_flank	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_028	47143089	250000	Cuckoo	A4	same_chr:+:-:reverse:very_distant	derived_state_4	limited_distant_flank	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_028	47143089	250000	Stork	A2	same_chr:+:+:reverse:near	derived_state_2	limited_short_flank_run	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_028	47143089	250000	Chicken	A0	same_chr:+:+:forward:adjacent	reference_like	reference_defined	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_030	49159743	250000	Flamingo	A3	same_chr:+:-:reverse:very_distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_030	49159743	250000	Dove	A2	same_chr:+:+:forward:very_distant	derived_state_2	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_030	49159743	250000	Sandgrouse	A1	different_chr:+:-:chromosome_switch:unknown_gap	derived_state_1	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_030	49159743	250000	Turaco	A4	same_chr:-:-:reverse:very_distant	derived_state_4	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_030	49159743	250000	Cuckoo	A4	same_chr:-:-:reverse:very_distant	derived_state_4	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_030	49159743	250000	Stork	A4	same_chr:-:-:reverse:very_distant	derived_state_4	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_030	49159743	250000	Chicken	A0	same_chr:+:+:forward:adjacent	reference_like	reference_defined	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_031	49624080	250000	Flamingo	A3	same_chr:-:+:forward:very_distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_031	49624080	250000	Dove	A2	same_chr:+:+:reverse:distant	derived_state_2	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_031	49624080	250000	Sandgrouse	A1	different_chr:-:-:chromosome_switch:unknown_gap	derived_state_1	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_031	49624080	250000	Turaco	A4	same_chr:-:+:reverse:very_distant	derived_state_4	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_031	49624080	250000	Cuckoo	A3	same_chr:-:+:forward:very_distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_031	49624080	250000	Stork	A3	same_chr:-:+:forward:very_distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_031	49624080	250000	Chicken	A0	same_chr:+:+:forward:adjacent	reference_like	reference_defined	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_033	50410378	250000	Flamingo	A1	same_chr:+:+:reverse:very_distant	derived_state_1	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_033	50410378	250000	Dove	A2	same_chr:+:-:forward:near	derived_state_2	limited_short_flank_run	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_033	50410378	250000	Sandgrouse	A3	same_chr:-:+:reverse:near	derived_state_3	limited_short_flank_run	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_033	50410378	250000	Turaco	A2	same_chr:+:-:forward:near	derived_state_2	limited_short_flank_run	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_033	50410378	250000	Cuckoo	A1	same_chr:+:+:reverse:very_distant	derived_state_1	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_033	50410378	250000	Stork	A1	same_chr:+:+:reverse:very_distant	derived_state_1	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_033	50410378	250000	Chicken	A0	same_chr:+:+:forward:adjacent	reference_like	reference_defined	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_034	50989362	250000	Flamingo	A2	same_chr:+:+:reverse:very_distant	derived_state_2	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_034	50989362	250000	Dove	A4	same_chr:-:+:forward:very_distant	derived_state_4	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_034	50989362	250000	Sandgrouse	A1	same_chr:+:+:reverse:distant	derived_state_1	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_034	50989362	250000	Turaco	A5	same_chr:-:-:forward:very_distant	derived_state_5	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_034	50989362	250000	Cuckoo	A3	same_chr:+:-:reverse:very_distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_034	50989362	250000	Stork	A3	same_chr:+:-:reverse:very_distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_034	50989362	250000	Chicken	A0	same_chr:+:+:forward:adjacent	reference_like	reference_defined	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_036	51789124	250000	Flamingo	A1	same_chr:+:+:forward:very_distant	derived_state_1	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_036	51789124	250000	Dove	A4	same_chr:-:-:reverse:very_distant	derived_state_4	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_036	51789124	250000	Sandgrouse	A2	same_chr:+:+:reverse:very_distant	derived_state_2	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_036	51789124	250000	Turaco	A4	same_chr:-:-:reverse:very_distant	derived_state_4	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_036	51789124	250000	Cuckoo	A3	same_chr:-:+:forward:very_distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_036	51789124	250000	Stork	A3	same_chr:-:+:forward:very_distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_036	51789124	250000	Chicken	A0	same_chr:+:+:forward:adjacent	reference_like	reference_defined	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_040	57203613	250000	Flamingo	A2	same_chr:+:+:reverse:very_distant	derived_state_2	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_040	57203613	250000	Dove	A4	same_chr:-:-:forward:very_distant	derived_state_4	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_040	57203613	250000	Sandgrouse	A2	same_chr:+:+:reverse:very_distant	derived_state_2	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_040	57203613	250000	Turaco	A1	same_chr:+:+:forward:very_distant	derived_state_1	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_040	57203613	250000	Cuckoo	A3	same_chr:+:-:reverse:very_distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_040	57203613	250000	Stork	A3	same_chr:+:-:reverse:very_distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_040	57203613	250000	Chicken	A0	same_chr:+:+:forward:adjacent	reference_like	reference_defined	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_041	58171516	250000	Flamingo	A1	same_chr:+:+:reverse:very_distant	derived_state_1	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_041	58171516	250000	Dove	A3	same_chr:-:-:reverse:very_distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_041	58171516	250000	Sandgrouse	A1	same_chr:+:+:reverse:very_distant	derived_state_1	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_041	58171516	250000	Turaco	A1	same_chr:+:+:reverse:very_distant	derived_state_1	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_041	58171516	250000	Cuckoo	A2	same_chr:-:+:reverse:very_distant	derived_state_2	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_041	58171516	250000	Stork	A2	same_chr:-:+:reverse:very_distant	derived_state_2	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_041	58171516	250000	Chicken	A0	same_chr:+:+:forward:adjacent	reference_like	reference_defined	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_042	59982754	250000	Flamingo	A1	same_chr:+:+:reverse:very_distant	derived_state_1	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_042	59982754	250000	Dove	A3	same_chr:-:+:forward:very_distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_042	59982754	250000	Sandgrouse	A4	same_chr:-:-:forward:very_distant	derived_state_4	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_042	59982754	250000	Turaco	A2	same_chr:+:-:forward:very_distant	derived_state_2	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_042	59982754	250000	Cuckoo	A1	same_chr:+:+:reverse:very_distant	derived_state_1	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_042	59982754	250000	Stork	A1	same_chr:+:+:reverse:very_distant	derived_state_1	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_042	59982754	250000	Chicken	A0	same_chr:+:+:forward:adjacent	reference_like	reference_defined	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_043	61035423	250000	Flamingo	A3	same_chr:+:-:reverse:very_distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_043	61035423	250000	Dove	A2	same_chr:+:+:forward:very_distant	derived_state_2	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_043	61035423	250000	Sandgrouse	A1	different_chr:-:-:chromosome_switch:unknown_gap	derived_state_1	limited_short_flank_run	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_043	61035423	250000	Turaco	A4	same_chr:-:-:reverse:very_distant	derived_state_4	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_043	61035423	250000	Cuckoo	A3	same_chr:+:-:reverse:very_distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_043	61035423	250000	Stork	A3	same_chr:+:-:reverse:very_distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_043	61035423	250000	Chicken	A0	same_chr:+:+:forward:adjacent	reference_like	reference_defined	identical normalized junction_signature within breakpoint/window; no single-linkage
