structural_set	flank_window_bp	genealogy_window_bp	clade	event_id	start	end	event_type	pairing_confidence	n_loci	role_C1_state	role_C2_state	role_S_state	role_O_state	arrangement_pattern	predicted_topology	prediction_status	structural_confidence	mean_q1	mean_q2	mean_q3	observed_dominant_topology	event_margin	prediction_matches_observed	role_status
primary	100000	100000	N61	primary_W100000_EV012	25459087	25659087	single_boundary_event	single_boundary	17	role_heterogeneous	role_heterogeneous	A3	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	high	0.0429514521138	0.955512782001	0.00153576588487	q2		false	C1:role_heterogeneous;C2:role_heterogeneous;S:resolved;O:role_heterogeneous
primary	100000	100000	N62	primary_W100000_EV012	25459087	25659087	single_boundary_event	single_boundary	17	A4	A1	role_heterogeneous	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	high	0.977796597101	0.0130900252793	0.0091133776194	q1		false	C1:resolved;C2:resolved;S:role_heterogeneous;O:role_heterogeneous
primary	100000	100000	Columbea	primary_W100000_EV013	33134049	33334049	single_boundary_event	single_boundary	9	role_heterogeneous	A4	role_heterogeneous	A0	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	high	0.197157206796	0.457710838678	0.345131954526	q2		false	C1:role_heterogeneous;C2:resolved;S:role_heterogeneous;O:resolved
primary	100000	100000	N61	primary_W100000_EV013	33134049	33334049	single_boundary_event	single_boundary	10	role_heterogeneous	role_heterogeneous	A4	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	high	0.338749305432	0.326443642075	0.334807052493	q1		false	C1:role_heterogeneous;C2:role_heterogeneous;S:resolved;O:role_heterogeneous
primary	100000	100000	N62	primary_W100000_EV013	33134049	33334049	single_boundary_event	single_boundary	10	A2	A1	role_heterogeneous	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	high	0.205993625466	0.372565489728	0.421440884806	q3		false	C1:resolved;C2:resolved;S:role_heterogeneous;O:role_heterogeneous
primary	100000		Columbea	primary_W100000_EV003	34021640	34232794	inversion_like	moderate	9	role_heterogeneous	A5	role_heterogeneous	A0	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.931553552794	0.0629859429457	0.00546050426071	q1		false	C1:role_heterogeneous;C2:resolved;S:role_heterogeneous;O:resolved
primary	100000		N61	primary_W100000_EV003	34021640	34232794	inversion_like	moderate	9	role_heterogeneous	role_heterogeneous	A3	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.164153015195	0.812179745241	0.0236672395639	q2		false	C1:role_heterogeneous;C2:role_heterogeneous;S:resolved;O:role_heterogeneous
primary	100000		N62	primary_W100000_EV003	34021640	34232794	inversion_like	moderate	8	A2	A1	role_heterogeneous	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.891236257403	0.0646773692812	0.0440863733164	q1		false	C1:resolved;C2:resolved;S:role_heterogeneous;O:role_heterogeneous
primary	100000		Columbea	primary_W100000_EV004	35025837	37255236	translocation_like	high	139	role_heterogeneous	A5	role_heterogeneous	A0	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	high	0.335357812765	0.354652970276	0.309989216959	q2		false	C1:role_heterogeneous;C2:resolved;S:role_heterogeneous;O:resolved
primary	100000		N61	primary_W100000_EV004	35025837	37255236	translocation_like	high	140	role_heterogeneous	role_heterogeneous	A3	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	high	0.329753819574	0.366345221846	0.303900958579	q2		false	C1:role_heterogeneous;C2:role_heterogeneous;S:resolved;O:role_heterogeneous
primary	100000		N62	primary_W100000_EV004	35025837	37255236	translocation_like	high	124	A6	A1	role_heterogeneous	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	high	0.36841644388	0.318831769743	0.312751786377	q1		false	C1:resolved;C2:resolved;S:role_heterogeneous;O:role_heterogeneous
primary	100000		Columbea	primary_W100000_EV005	39237022	42267292	inversion_like	moderate	255	role_heterogeneous	A2	role_heterogeneous	A0	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.344268337974	0.336682109809	0.319049552217	q1		false	C1:role_heterogeneous;C2:resolved;S:role_heterogeneous;O:resolved
primary	100000		N61	primary_W100000_EV005	39237022	42267292	inversion_like	moderate	257	role_heterogeneous	role_heterogeneous	A4	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.37164410837	0.321167632261	0.307188259369	q1		false	C1:role_heterogeneous;C2:role_heterogeneous;S:resolved;O:role_heterogeneous
primary	100000		N62	primary_W100000_EV005	39237022	42267292	inversion_like	moderate	250	A6	A1	role_heterogeneous	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.391203607676	0.296619685766	0.312176706558	q1		false	C1:resolved;C2:resolved;S:role_heterogeneous;O:role_heterogeneous
primary	100000		Columbea	primary_W100000_EV006	44647530	45658664	inversion_like	moderate	48	unresolved	A2	unresolved	A0	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	unresolved	0.967476692356	0.0112433862434	0.0212799214005	q1		false	C1:unresolved_role_species_state;C2:resolved;S:unresolved_role_species_state;O:resolved
primary	100000		N61	primary_W100000_EV006	44647530	45658664	inversion_like	moderate	48	unresolved	unresolved	A1	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	unresolved	0.029252507819	0.958282682171	0.0124648100098	q2		false	C1:unresolved_role_species_state;C2:unresolved_role_species_state;S:resolved;O:role_heterogeneous
primary	100000		N62	primary_W100000_EV006	44647530	45658664	inversion_like	moderate	43	unresolved	A3	unresolved	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	unresolved	0.949449142477	0.0265399696292	0.024010887894	q1		false	C1:unresolved_role_species_state;C2:resolved;S:unresolved_role_species_state;O:role_heterogeneous
primary	100000	100000	Columbea	primary_W100000_EV014	46322770	46522770	single_boundary_event	single_boundary	6	role_heterogeneous	A4	role_heterogeneous	A0	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	high	1	0	0	q1		false	C1:role_heterogeneous;C2:resolved;S:role_heterogeneous;O:resolved
primary	100000	100000	N61	primary_W100000_EV014	46322770	46522770	single_boundary_event	single_boundary	5	role_heterogeneous	role_heterogeneous	A4	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	high	0	1	0	q2		false	C1:role_heterogeneous;C2:role_heterogeneous;S:resolved;O:role_heterogeneous
primary	100000	100000	N62	primary_W100000_EV014	46322770	46522770	single_boundary_event	single_boundary	3	A3	A2	role_heterogeneous	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	high	0.992723079879	0.00727692012043	0	q1		false	C1:resolved;C2:resolved;S:role_heterogeneous;O:role_heterogeneous
primary	100000	100000	Columbea	primary_W100000_EV015	47043089	47243089	single_boundary_event	single_boundary	17	unresolved	A1	unresolved	A0	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	unresolved	0.941176470588	0.0588235294118	0	q1		false	C1:unresolved_role_species_state;C2:resolved;S:unresolved_role_species_state;O:resolved
primary	100000	100000	N61	primary_W100000_EV015	47043089	47243089	single_boundary_event	single_boundary	17	unresolved	unresolved	A2	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	unresolved	0.00931703153365	0.953625226915	0.0370577415515	q2		false	C1:unresolved_role_species_state;C2:unresolved_role_species_state;S:resolved;O:role_heterogeneous
primary	100000	100000	N62	primary_W100000_EV015	47043089	47243089	single_boundary_event	single_boundary	13	unresolved	unresolved	unresolved	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	unresolved	0.994475941895	0.00257172419242	0.00295233391291	q1		false	C1:unresolved_role_species_state;C2:unresolved_role_species_state;S:unresolved_role_species_state;O:role_heterogeneous
primary	100000		Columbea	primary_W100000_EV007	49159743	49624080	inversion_like	high	13	role_heterogeneous	A3	role_heterogeneous	A0	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	high	1	0	0	q1		false	C1:role_heterogeneous;C2:resolved;S:role_heterogeneous;O:resolved
primary	100000		N61	primary_W100000_EV007	49159743	49624080	inversion_like	high	13	role_heterogeneous	role_heterogeneous	A4	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	high	0.00992281527992	0.948449764521	0.0416274201988	q2		false	C1:role_heterogeneous;C2:role_heterogeneous;S:resolved;O:role_heterogeneous
primary	100000		N62	primary_W100000_EV007	49159743	49624080	inversion_like	high	13	A2	A1	role_heterogeneous	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	high	0.99754702935	0.00175366995042	0.000699300699301	q1		false	C1:resolved;C2:resolved;S:role_heterogeneous;O:role_heterogeneous
primary	100000		Columbea	primary_W100000_EV008	50410378	50989362	adjacency_change	high	35	role_heterogeneous	A3	unresolved	A0	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	unresolved	0.985714285714	0.0142857142857	0	q1		false	C1:role_heterogeneous;C2:resolved;S:unresolved_role_species_state;O:resolved
primary	100000		N61	primary_W100000_EV008	50410378	50989362	adjacency_change	high	35	unresolved	role_heterogeneous	A1	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	unresolved	0	1	0	q2		false	C1:unresolved_role_species_state;C2:role_heterogeneous;S:resolved;O:role_heterogeneous
primary	100000		N62	primary_W100000_EV008	50410378	50989362	adjacency_change	high	31	A4	A5	unresolved	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	unresolved	0.992255492213	0.00259198858408	0.00515251920296	q1		false	C1:resolved;C2:resolved;S:unresolved_role_species_state;O:role_heterogeneous
primary	100000		Columbea	primary_W100000_EV009	51789124	57203613	inversion_like	high	367	role_heterogeneous	A1	role_heterogeneous	A0	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	high	0.894751707602	0.0541838873879	0.0510644050102	q1		false	C1:role_heterogeneous;C2:resolved;S:role_heterogeneous;O:resolved
primary	100000		N61	primary_W100000_EV009	51789124	57203613	inversion_like	high	369	role_heterogeneous	role_heterogeneous	A3	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	high	0.0620310579018	0.896294460639	0.0416744814587	q2		false	C1:role_heterogeneous;C2:role_heterogeneous;S:resolved;O:role_heterogeneous
primary	100000		N62	primary_W100000_EV009	51789124	57203613	inversion_like	high	360	A5	A2	role_heterogeneous	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	high	0.917924971392	0.0510533804477	0.0310216481604	q1		false	C1:resolved;C2:resolved;S:role_heterogeneous;O:role_heterogeneous
primary	100000		Columbea	primary_W100000_EV010	58171516	59982754	adjacency_change	high	137	role_heterogeneous	A1	role_heterogeneous	A0	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.383554491666	0.31849883486	0.297946673474	q1		false	C1:role_heterogeneous;C2:resolved;S:role_heterogeneous;O:resolved
primary	100000		N61	primary_W100000_EV010	58171516	59982754	adjacency_change	high	138	role_heterogeneous	role_heterogeneous	A4	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.340898380581	0.318276431497	0.340825187922	q1		false	C1:role_heterogeneous;C2:role_heterogeneous;S:resolved;O:role_heterogeneous
primary	100000		N62	primary_W100000_EV010	58171516	59982754	adjacency_change	high	128	A6	A3	role_heterogeneous	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.369326664079	0.335013602468	0.295659733454	q1		false	C1:resolved;C2:resolved;S:role_heterogeneous;O:role_heterogeneous
primary	100000	100000	Columbea	primary_W100000_EV016	60935423	61135423	single_boundary_event	single_boundary	11	role_heterogeneous	A3	role_heterogeneous	A0	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.138040100688	0.525211284699	0.336748614613	q2		false	C1:role_heterogeneous;C2:resolved;S:role_heterogeneous;O:resolved
primary	100000	100000	N61	primary_W100000_EV016	60935423	61135423	single_boundary_event	single_boundary	11	role_heterogeneous	role_heterogeneous	A3	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.330499584032	0.311794690869	0.3577057251	q3		false	C1:role_heterogeneous;C2:role_heterogeneous;S:resolved;O:role_heterogeneous
primary	100000	100000	N62	primary_W100000_EV016	60935423	61135423	single_boundary_event	single_boundary	11	A2	A1	role_heterogeneous	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.243748616037	0.342897758903	0.41335362506	q3		false	C1:resolved;C2:resolved;S:role_heterogeneous;O:role_heterogeneous
stringent	100000	100000	Columbea	stringent_W100000_EV008	1849860	2049860	single_boundary_event	single_boundary	6	role_heterogeneous	A2	role_heterogeneous	A0	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.285346616	0.385888581956	0.328764802044	q2		false	C1:role_heterogeneous;C2:resolved;S:role_heterogeneous;O:resolved
stringent	100000	100000	N61	stringent_W100000_EV008	1849860	2049860	single_boundary_event	single_boundary	6	role_heterogeneous	role_heterogeneous	A2	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.324352935466	0.313950615524	0.361696449009	q3		false	C1:role_heterogeneous;C2:role_heterogeneous;S:resolved;O:role_heterogeneous
stringent	100000	100000	N62	stringent_W100000_EV008	1849860	2049860	single_boundary_event	single_boundary	6	A3	A1	role_heterogeneous	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.341475679942	0.531223949395	0.127300370664	q2		false	C1:resolved;C2:resolved;S:role_heterogeneous;O:role_heterogeneous
stringent	100000		Columbea	stringent_W100000_EV001	9504880	10974030	adjacency_change	moderate	123	role_heterogeneous	A2	unresolved	A0	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	unresolved	0.297241755479	0.368203215953	0.334555028568	q2		false	C1:role_heterogeneous;C2:resolved;S:unresolved_role_species_state;O:resolved
stringent	100000		N61	stringent_W100000_EV001	9504880	10974030	adjacency_change	moderate	123	unresolved	role_heterogeneous	A1	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	unresolved	0.30125948929	0.346589905379	0.352150605331	q3		false	C1:unresolved_role_species_state;C2:role_heterogeneous;S:resolved;O:role_heterogeneous
stringent	100000		N62	stringent_W100000_EV001	9504880	10974030	adjacency_change	moderate	118	A3	A5	unresolved	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	unresolved	0.332167336378	0.337856257778	0.329976405844	q2		false	C1:resolved;C2:resolved;S:unresolved_role_species_state;O:role_heterogeneous
stringent	100000		Columbea	stringent_W100000_EV002	19760078	25213019	adjacency_change	high	317	role_heterogeneous	A5	role_heterogeneous	A0	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.409697337187	0.315806794337	0.274495868476	q1		false	C1:role_heterogeneous;C2:resolved;S:role_heterogeneous;O:resolved
stringent	100000		N61	stringent_W100000_EV002	19760078	25213019	adjacency_change	high	318	role_heterogeneous	role_heterogeneous	A4	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.330374539492	0.375279074831	0.294346385677	q2		false	C1:role_heterogeneous;C2:role_heterogeneous;S:resolved;O:role_heterogeneous
stringent	100000		N62	stringent_W100000_EV002	19760078	25213019	adjacency_change	high	307	A1	A3	role_heterogeneous	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.382378781801	0.321243185941	0.296378032258	q1		false	C1:resolved;C2:resolved;S:role_heterogeneous;O:role_heterogeneous
stringent	100000		Columbea	stringent_W100000_EV003	25559087	34021640	inversion_like	high	547	role_heterogeneous	A5	role_heterogeneous	A0	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.868827930682	0.0689231393157	0.062248930002	q1		false	C1:role_heterogeneous;C2:resolved;S:role_heterogeneous;O:resolved
stringent	100000		N61	stringent_W100000_EV003	25559087	34021640	inversion_like	high	552	role_heterogeneous	role_heterogeneous	A3	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.0872445379222	0.849323155432	0.0634323066454	q2		false	C1:role_heterogeneous;C2:role_heterogeneous;S:resolved;O:role_heterogeneous
stringent	100000		N62	stringent_W100000_EV003	25559087	34021640	inversion_like	high	537	A6	A1	role_heterogeneous	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.889615741614	0.0473557665531	0.0630284918325	q1		false	C1:resolved;C2:resolved;S:role_heterogeneous;O:role_heterogeneous
stringent	100000		Columbea	stringent_W100000_EV004	35025837	37255236	translocation_like	high	139	role_heterogeneous	A5	role_heterogeneous	A0	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	high	0.335357812765	0.354652970276	0.309989216959	q2		false	C1:role_heterogeneous;C2:resolved;S:role_heterogeneous;O:resolved
stringent	100000		N61	stringent_W100000_EV004	35025837	37255236	translocation_like	high	140	role_heterogeneous	role_heterogeneous	A3	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	high	0.329753819574	0.366345221846	0.303900958579	q2		false	C1:role_heterogeneous;C2:role_heterogeneous;S:resolved;O:role_heterogeneous
stringent	100000		N62	stringent_W100000_EV004	35025837	37255236	translocation_like	high	124	A6	A1	role_heterogeneous	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	high	0.36841644388	0.318831769743	0.312751786377	q1		false	C1:resolved;C2:resolved;S:role_heterogeneous;O:role_heterogeneous
stringent	100000		Columbea	stringent_W100000_EV005	39237022	44647530	inversion_like	high	431	role_heterogeneous	A2	role_heterogeneous	A0	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.402095650227	0.317199613586	0.280704736187	q1		false	C1:role_heterogeneous;C2:resolved;S:role_heterogeneous;O:resolved
stringent	100000		N61	stringent_W100000_EV005	39237022	44647530	inversion_like	high	433	role_heterogeneous	role_heterogeneous	A4	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.329552568017	0.382210250566	0.288237181417	q2		false	C1:role_heterogeneous;C2:role_heterogeneous;S:resolved;O:role_heterogeneous
stringent	100000		N62	stringent_W100000_EV005	39237022	44647530	inversion_like	high	420	A6	A1	role_heterogeneous	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.442491677448	0.273419976114	0.284088346438	q1		false	C1:resolved;C2:resolved;S:role_heterogeneous;O:role_heterogeneous
stringent	100000		Columbea	stringent_W100000_EV006	45658664	46422770	inversion_like	moderate	41	unresolved	A2	unresolved	A0	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	unresolved	0.951350836309	0.0260143625065	0.0226348011843	q1		false	C1:unresolved_role_species_state;C2:resolved;S:unresolved_role_species_state;O:resolved
stringent	100000		N61	stringent_W100000_EV006	45658664	46422770	inversion_like	moderate	41	unresolved	unresolved	A1	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	unresolved	0.0758890330821	0.914469593848	0.00964137307024	q2		false	C1:unresolved_role_species_state;C2:unresolved_role_species_state;S:resolved;O:role_heterogeneous
stringent	100000		N62	stringent_W100000_EV006	45658664	46422770	inversion_like	moderate	40	unresolved	unresolved	unresolved	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	unresolved	0.958167563474	0.0210090197446	0.0208234167815	q1		false	C1:unresolved_role_species_state;C2:unresolved_role_species_state;S:unresolved_role_species_state;O:role_heterogeneous
stringent	100000		Columbea	stringent_W100000_EV007	49624080	50989362	inversion_like	moderate	75	role_heterogeneous	A5	role_heterogeneous	A0	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.958228463053	0.0347209649498	0.00705057199728	q1		false	C1:role_heterogeneous;C2:resolved;S:role_heterogeneous;O:resolved
stringent	100000		N61	stringent_W100000_EV007	49624080	50989362	inversion_like	moderate	75	role_heterogeneous	role_heterogeneous	A3	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.0674520914824	0.92571030275	0.00683760576803	q2		false	C1:role_heterogeneous;C2:role_heterogeneous;S:resolved;O:role_heterogeneous
stringent	100000		N62	stringent_W100000_EV007	49624080	50989362	inversion_like	moderate	66	A2	A1	role_heterogeneous	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.933835869297	0.0145541063135	0.0516100243893	q1		false	C1:resolved;C2:resolved;S:role_heterogeneous;O:role_heterogeneous
stringent	100000	100000	Columbea	stringent_W100000_EV009	58071516	58271516	single_boundary_event	single_boundary	13	role_heterogeneous	A1	role_heterogeneous	A0	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	high	0.364126194494	0.389986536897	0.245887268608	q2		false	C1:role_heterogeneous;C2:resolved;S:role_heterogeneous;O:resolved
stringent	100000	100000	N61	stringent_W100000_EV009	58071516	58271516	single_boundary_event	single_boundary	13	role_heterogeneous	role_heterogeneous	A2	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	high	0.308429749867	0.367653160487	0.323917089646	q2		false	C1:role_heterogeneous;C2:role_heterogeneous;S:resolved;O:role_heterogeneous
stringent	100000	100000	N62	stringent_W100000_EV009	58071516	58271516	single_boundary_event	single_boundary	12	A3	A1	role_heterogeneous	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	high	0.470667066966	0.278957908966	0.250375024068	q1		false	C1:resolved;C2:resolved;S:role_heterogeneous;O:role_heterogeneous
inclusive	100000	100000	Columbea	inclusive_W100000_EV018	1482350	1682350	single_boundary_event	single_boundary	6	role_heterogeneous	A4	role_heterogeneous	A0	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.565049581561	0.149247153068	0.285703265371	q1		false	C1:role_heterogeneous;C2:resolved;S:role_heterogeneous;O:resolved
inclusive	100000	100000	N61	inclusive_W100000_EV018	1482350	1682350	single_boundary_event	single_boundary	6	role_heterogeneous	role_heterogeneous	A4	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.3074552117	0.31112532415	0.38141946415	q3		false	C1:role_heterogeneous;C2:role_heterogeneous;S:resolved;O:role_heterogeneous
inclusive	100000	100000	N62	inclusive_W100000_EV018	1482350	1682350	single_boundary_event	single_boundary	5	A2	A1	role_heterogeneous	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.34167392044	0.331666724271	0.326659355289	q1		false	C1:resolved;C2:resolved;S:role_heterogeneous;O:role_heterogeneous
