species	structural_interval_id	reference_chrom	start	end	length_bp	event_type	n_blocks	evidence	source	confidence_or_status	query_chrom	query_start	query_end	query_chrom_count	structural_analysis_reference	main_coordinate_reference
Flamingo	SI_Flamingo_05	chr4	49165617	49618678	453061	inversion	11	published maf2synteny outlier blocks; query_chroms=pri.chr4:11; orientations=-:11	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	pri.chr4	50814713	51430490	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Flamingo	SI_Flamingo_06	chr4	51797871	57153336	5355465	unknown	269	published maf2synteny outlier blocks; query_chroms=pri.chr4:269; orientations=+:269	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	pri.chr4	76015730	82072590	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Dove	SI_Dove_01	chr4	25565564	33140694	7575130	unknown	383	published maf2synteny outlier blocks; query_chroms=1.LR594554.2:383; orientations=+:383	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	1.LR594554.2	15786768	24403999	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Dove	SI_Dove_02	chr4	34238392	34578004	339612	unknown	8	published maf2synteny outlier blocks; query_chroms=1.LR594554.2:8; orientations=+:8	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	1.LR594554.2	15327149	15711446	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Dove	SI_Dove_03	chr4	34622615	34709966	87351	unknown	2	published maf2synteny outlier blocks; query_chroms=1.LR594554.2:2; orientations=+:2	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	1.LR594554.2	3061	86022	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Dove	SI_Dove_04	chr4	34773872	34872998	99126	inversion	2	published maf2synteny outlier blocks; query_chroms=1.LR594554.2:2; orientations=-:2	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	1.LR594554.2	1232364	1300644	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Dove	SI_Dove_05	chr4	44742091	51780864	7038773	reordered_block	171	published maf2synteny outlier blocks; query_chroms=1.LR594554.2:171; orientations=+:104,-:67	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	1.LR594554.2	24520371	32453776	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Dove	SI_Dove_06	chr4	49627488	50431424	803936	reordered_block	28	published maf2synteny outlier blocks; query_chroms=1.LR594554.2:28; orientations=+:12,-:16	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	1.LR594554.2	401905	1197907	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Dove	SI_Dove_07	chr4	51797871	57153336	5355465	inversion	237	published maf2synteny outlier blocks; query_chroms=1.LR594554.2:237; orientations=-:237	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	1.LR594554.2	9148718	15325407	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Sandgrouse	SI_Sandgrouse_01	chr4	25565564	33188482	7622918	inversion	379	published maf2synteny outlier blocks; query_chroms=pri.chr15:379; orientations=+:379	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	pri.chr15	2048293	9706756	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Sandgrouse	SI_Sandgrouse_02	chr4	34255591	34578442	322851	inversion	9	published maf2synteny outlier blocks; query_chroms=pri.chr15:9; orientations=+:9	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	pri.chr15	9779008	10126456	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Sandgrouse	SI_Sandgrouse_03	chr4	34595896	35025265	429369	inversion	6	published maf2synteny outlier blocks; query_chroms=pri.chr15:6; orientations=+:6	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	pri.chr15	20694531	21947777	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Sandgrouse	SI_Sandgrouse_04	chr4	44742091	51779593	7037502	reordered_block	182	published maf2synteny outlier blocks; query_chroms=pri.chr15:182; orientations=+:182	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	pri.chr15	18301388	23654925	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Sandgrouse	SI_Sandgrouse_05	chr4	45678332	47009550	1331218	reordered_block	33	published maf2synteny outlier blocks; query_chroms=pri.chr15:33; orientations=+:33	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	pri.chr15	2618	1988882	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Sandgrouse	SI_Sandgrouse_06	chr4	49165617	49619656	454039	inversion	10	published maf2synteny outlier blocks; query_chroms=pri.chr5:10; orientations=-:10	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	pri.chr5	47167576	47696776	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Sandgrouse	SI_Sandgrouse_07	chr4	51798656	57153183	5354527	unknown	232	published maf2synteny outlier blocks; query_chroms=pri.chr15:232; orientations=+:232	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	pri.chr15	10147575	15381669	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Turaco	SI_Turaco_01	chr4	25575278	33188168	7612890	unknown	342	published maf2synteny outlier blocks; query_chroms=pri.chr5:342; orientations=+:342	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	pri.chr5	9562293	17933276	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Turaco	SI_Turaco_02	chr4	34237192	34578004	340812	unknown	3	published maf2synteny outlier blocks; query_chroms=pri.chr5:3; orientations=+:3	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	pri.chr5	9082479	9472804	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Turaco	SI_Turaco_03	chr4	34595924	34742006	146082	unknown	2	published maf2synteny outlier blocks; query_chroms=pri.chr5:2; orientations=+:2	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	pri.chr5	3486304	3681270	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Turaco	SI_Turaco_04	chr4	44701591	57120130	12418539	inversion	296	published maf2synteny outlier blocks; query_chroms=pri.chr5:296; orientations=+:296	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	pri.chr5	237127	9081346	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Turaco	SI_Turaco_05	chr4	45582233	47009757	1427524	reordered_block	35	published maf2synteny outlier blocks; query_chroms=pri.chr5:35; orientations=+:35	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	pri.chr5	18009563	20305488	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Turaco	SI_Turaco_06	chr4	47448092	51769535	4321443	inversion	73	published maf2synteny outlier blocks; query_chroms=pri.chr5:73; orientations=+:73	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	pri.chr5	82403249	85302472	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Turaco	SI_Turaco_07	chr4	49165617	49618678	453061	inversion	11	published maf2synteny outlier blocks; query_chroms=pri.chr5:11; orientations=+:11	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	pri.chr5	71784262	72417297	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Cuckoo	SI_Cuckoo_01	chr4	25565564	33187817	7622253	inversion	363	published maf2synteny outlier blocks; query_chroms=pri.CM030640.1:363; orientations=+:2,-:361	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	pri.CM030640.1	62896493	71124306	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Cuckoo	SI_Cuckoo_02	chr4	34238646	34578004	339358	inversion	13	published maf2synteny outlier blocks; query_chroms=pri.CM030640.1:13; orientations=-:13	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	pri.CM030640.1	71192812	71587513	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Cuckoo	SI_Cuckoo_03	chr4	34595912	34979734	383822	reordered_block	11	published maf2synteny outlier blocks; query_chroms=pri.CM030640.1:11; orientations=+:7,-:4	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	pri.CM030640.1	77261473	77667649	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Cuckoo	SI_Cuckoo_04	chr4	44876564	57121020	12244456	unknown	284	published maf2synteny outlier blocks; query_chroms=pri.CM030640.1:284; orientations=+:284	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	pri.CM030640.1	71592633	79960683	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Cuckoo	SI_Cuckoo_05	chr4	45806523	51785943	5979420	inversion	123	published maf2synteny outlier blocks; query_chroms=pri.CM030640.1:123; orientations=+:25,-:98	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	pri.CM030640.1	57737600	62821398	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Cuckoo	SI_Cuckoo_06	chr4	49166028	49618641	452613	inversion	11	published maf2synteny outlier blocks; query_chroms=pri.CM030640.1:11; orientations=-:11	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	pri.CM030640.1	47737545	48347479	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
