species	breakpoint_id	reference_position	left_run_id	right_run_id	left_query_chrom	right_query_chrom	left_relative_orientation	right_relative_orientation	chromosome_switch	orientation_switch	order_reversal	query_jump_bp	gap_discrepancy	persistent_regime_change	left_support_bp	right_support_bp	left_support_blocks	right_support_blocks	score_chromosome_switch	score_orientation_switch	score_order_reversal	score_query_jump	score_gap_discrepancy	breakpoint_score	threshold	threshold_setting	robustness	evidence	contributing_raw_calls	n_contributing_raw_calls
Stork	Stork_lenient_raw_0011	39241060	STO_R0037	STO_R0038	CM030196.1	CM030196.1	-	+	0	1	1	17041089	17031990	1	1869588	3003458	101	148	0	3	3	3	2	11	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Stork	Stork_lenient_raw_0012	42273326	STO_R0038	STO_R0039	CM030196.1	CM030196.1	+	-	0	1	1	2562701	2514183	1	3003458	275427	148	10	0	3	3	2.11697069967	2	10.1169706997	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Stork	Stork_lenient_raw_0013	44650722	STO_R0042	STO_R0043	CM030196.1	CM030196.1	-	+	0	1	1	43591684	43539423	1	1867201	371700	66	20	0	3	3	3	2	11	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Stork	Stork_lenient_raw_0014	45658716	STO_R0047	STO_R0048	CM030196.1	CM030196.1	+	-	0	1	1	1201846	1162615	1	371700	467663	20	15	0	3	3	0.992809058692	2	8.99280905869	14.7581018109	lenient		orientation_switch,order_reversal,gap_discrepancy		
Stork	Stork_lenient_raw_0015	46422874	STO_R0050	STO_R0051	CM030196.1	CM030196.1	-	+	0	1	1	1161883	1149224	1	467663	606711	15	18	0	3	3	0.959796818844	2	8.95979681884	14.7581018109	lenient		orientation_switch,order_reversal,gap_discrepancy		
Stork	Stork_lenient_raw_0016	47184674	STO_R0052	STO_R0053	CM030196.1	CM030196.1	+	-	0	1	1	50373	15179	1	606711	2125691	18	92	0	3	3	0.0416116297042	0.0358044557297	6.07741608543	14.7581018109	lenient		orientation_switch,order_reversal		
Stork	Stork_lenient_raw_0017	49623083	STO_R0056	STO_R0057	CM030196.1	CM030196.1	-	+	0	1	1	31467073	31458263	1	2125691	1354608	92	76	0	3	3	3	2	11	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Stork	Stork_lenient_raw_0018	50989364	STO_R0057	STO_R0058	CM030196.1	CM030196.1	+	-	0	1	1	21094201	21079666	1	1354608	783238	76	28	0	3	3	3	2	11	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Stork	Stork_lenient_raw_0019	51788870	STO_R0058	STO_R0059	CM030196.1	CM030196.1	-	+	0	1	1	14372674	14354672	1	783238	5404641	28	279	0	3	3	3	2	11	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Stork	Stork_lenient_raw_0020	57204086	STO_R0059	STO_R0060	CM030196.1	CM030196.1	+	-	0	1	1	15440698	15437549	1	5404641	929072	279	12	0	3	3	3	2	11	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Stork	Stork_lenient_raw_0021	58163332	STO_R0060	STO_R0061	CM030196.1	CM030196.1	-	+	0	1	1	2461152	2403954	1	929072	2823814	12	169	0	3	3	2.03308410597	2	10.033084106	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Stork	Stork_lenient_raw_0022	61031024	STO_R0061	STO_R0062	CM030196.1	CM030196.1	+	-	0	1	1	17269774	17239215	1	2823814	6379209	169	271	0	3	3	3	2	11	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Flamingo	Flamingo_lenient_raw_0001	1949860	FLA_R0006	FLA_R0007	chr12	chr12	-	+	0	1	1	12683665	12543042	1	1195320	5567497	46	242	0	3	3	3	2	11	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Flamingo	Flamingo_lenient_raw_0002	9533074	FLA_R0011	FLA_R0012	chr12	chr12	+	+	0	0	1	21614347	21552048	1	1614803	1450643	68	79	0	0	3	3	2	8	14.7581018109	lenient		order_reversal,large_query_jump,gap_discrepancy		
Flamingo	Flamingo_lenient_raw_0003	19760078	FLA_R0021	FLA_R0022	chr12	chr4	-	-	1	0	0			1	316567	1098161	12	29	5	0	0	0	0	5	14.7581018109	lenient		chromosome_switch		
Flamingo	Flamingo_lenient_raw_0004	25213025	FLA_R0026	FLA_R0027	chr4	chr4	-	+	0	1	1	14191	3137	1	3876707	329490	168	14	0	3	3	0.011722760946	0.0073996032429	6.01912236419	14.7581018109	lenient		orientation_switch,order_reversal		
Flamingo	Flamingo_lenient_raw_0005	25555552	FLA_R0027	FLA_R0028	chr4	chr4	+	-	0	1	1	31022824	31014079	1	329490	896053	14	35	0	3	3	3	2	11	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Flamingo	Flamingo_lenient_raw_0006	34021638	FLA_R0033	FLA_R0034	chr4	chr4	-	-	0	0	1	11103638	11044437	1	5869383	515569	301	20	0	0	3	3	2	8	14.7581018109	lenient		order_reversal,large_query_jump,gap_discrepancy		
Flamingo	Flamingo_lenient_raw_0007	34232794	FLA_R0034	FLA_R0035	chr4	chr4	-	-	0	0	1	15199266	15188070	1	6045340	339612	302	19	0	0	3	3	2	8	14.7581018109	lenient		order_reversal,large_query_jump,gap_discrepancy		
Flamingo	Flamingo_lenient_raw_0008	35025838	FLA_R0038	FLA_R0039	chr4	chr4	+	+	0	0	1	10119016	10117751	1	270096	7186311	5	336	0	0	3	3	2	8	14.7581018109	lenient		order_reversal,large_query_jump,gap_discrepancy		
Flamingo	Flamingo_lenient_raw_0009	39233331	FLA_R0040	FLA_R0041	chr4	chr4	+	+	0	0	1	48686641	48662085	1	4452949	3003458	181	160	0	0	3	3	2	8	14.7581018109	lenient		order_reversal,large_query_jump,gap_discrepancy		
Flamingo	Flamingo_lenient_raw_0010	44635438	FLA_R0046	FLA_R0047	chr4	chr4	-	+	0	1	1	20578314	20495483	1	1968381	372982	83	20	0	3	3	3	2	11	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Flamingo	Flamingo_lenient_raw_0011	45658804	FLA_R0050	FLA_R0051	chr4	chr4	+	-	0	1	1	447321	408265	1	372982	634835	20	18	0	3	3	0.369518508148	0.963021682487	7.33254019063	14.7581018109	lenient		orientation_switch,order_reversal		
Flamingo	Flamingo_lenient_raw_0012	46422770	FLA_R0052	FLA_R0053	chr4	chr4	-	+	0	1	1	1124866	1111997	1	634835	2499016	18	103	0	3	3	0.929218181543	2	8.92921818154	14.7581018109	lenient		orientation_switch,order_reversal,gap_discrepancy		
Flamingo	Flamingo_lenient_raw_0013	47014086	FLA_R0053	FLA_R0054	chr4	chr4	+	+	0	0	1	9607282	9598875	1	580678	1918338	22	81	0	0	3	3	2	8	14.7581018109	lenient		order_reversal,large_query_jump,gap_discrepancy		
Flamingo	Flamingo_lenient_raw_0014	49157896	FLA_R0056	FLA_R0057	chr4	chr4	+	-	0	1	1	6390986	6375545	1	2499016	453061	103	11	0	3	3	3	2	11	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Flamingo	Flamingo_lenient_raw_0015	49623083	FLA_R0057	FLA_R0058	chr4	chr4	-	+	0	1	1	10129461	10120651	1	453061	11331008	11	595	0	3	3	3	2	11	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Flamingo	Flamingo_lenient_raw_0016	50989361	FLA_R0058	FLA_R0059	chr4	chr4	+	+	0	0	1	3281687	3267147	1	1354603	9976405	70	525	0	0	3	2.71090354454	2	7.71090354454	14.7581018109	lenient		order_reversal,large_query_jump,gap_discrepancy		
Flamingo	Flamingo_lenient_raw_0017	58171516	FLA_R0060	FLA_R0061	chr4	chr4	+	+	0	0	1	29202715	29161884	1	8488675	2842333	421	174	0	0	3	3	2	8	14.7581018109	lenient		order_reversal,large_query_jump,gap_discrepancy		
Flamingo	Flamingo_lenient_raw_0018	61053871	FLA_R0061	FLA_R0062	chr4	chr4	+	-	0	1	1	17398569	17359355	1	11331008	5940029	595	257	0	3	3	3	2	11	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Flamingo	Flamingo_lenient_raw_0019	76152240	FLA_R0075	FLA_R0076	chr4	chr4	-	-	0	0	1	40862	40862	1	4340955	8793419	194	421	0	0	3	0.033754876878	0.0963859061879	3.13014078307	14.7581018109	lenient		order_reversal		
Dove	Dove_lenient_raw_0001	1582350	DOV_R0006	DOV_R0007	OU015479.1	OU015479.1	+	-	0	1	1	605260	589884	1	875557	6517596	30	217	0	3	3	0.499987195418	1.39142733801	7.89141453343	14.7581018109	lenient		orientation_switch,order_reversal,gap_discrepancy		
Dove	Dove_lenient_raw_0002	2042648	DOV_R0009	DOV_R0010	OU015479.1	OU015479.1	-	-	0	0	1	6553924	6552078	1	219025	6298571	9	208	0	0	3	3	2	8	14.7581018109	lenient		order_reversal,large_query_jump,gap_discrepancy		
Dove	Dove_lenient_raw_0003	5161408	DOV_R0011	DOV_R0012	OU015479.1	OU015479.1	-	-	0	0	1	9630049	9630049	1	3208416	3309180	92	125	0	0	3	3	2	8	14.7581018109	lenient		order_reversal,large_query_jump,gap_discrepancy		
Dove	Dove_lenient_raw_0004	8704428	DOV_R0014	DOV_R0015	OU015479.1	OU015479.1	-	+	0	1	1	2087540	2066223	1	6517596	682044	217	24	0	3	3	1.72445439963	2	9.72445439963	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Dove	Dove_lenient_raw_0005	9400482	DOV_R0015	DOV_R0016	OU015479.1	OU015479.1	+	-	0	1	1	13359800	13353097	1	682044	2904072	24	124	0	3	3	3	2	11	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Dove	Dove_lenient_raw_0006	10955480	DOV_R0018	DOV_R0019	OU015479.1	OU015479.1	-	-	0	0	1	18018760	18008573	1	1539019	1365053	67	57	0	0	3	3	2	8	14.7581018109	lenient		order_reversal,large_query_jump,gap_discrepancy		
Dove	Dove_lenient_raw_0007	12886511	DOV_R0024	DOV_R0025	OU015479.1	OU015479.1	-	+	0	1	1	16534115	16533377	1	224384	753049	3	20	0	3	3	3	2	11	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Dove	Dove_lenient_raw_0008	16491814	DOV_R0029	DOV_R0030	OU015479.1	OU015479.1	+	+	0	0	1	9208525	9205387	1	2536252	1530840	139	58	0	0	3	3	2	8	14.7581018109	lenient		order_reversal,large_query_jump,gap_discrepancy		
Dove	Dove_lenient_raw_0009	18036264	DOV_R0030	DOV_R0031	OU015479.1	OU015479.1	+	-	0	1	1	3956153	3932072	1	4067092	515301	197	28	0	3	3	3	2	11	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Dove	Dove_lenient_raw_0010	19762179	DOV_R0035	DOV_R0036	OU015479.1	LR594554.2	+	+	1	0	0			1	272360	1373493	6	35	5	0	0	0	0	5	14.7581018109	lenient		chromosome_switch		
Dove	Dove_lenient_raw_0011	25213013	DOV_R0042	DOV_R0043	LR594554.2	LR594554.2	+	-	0	1	1	3557	13795	1	2566301	330942	107	11	0	3	3	0.00293833138503	0.0325398555103	6.0354781869	14.7581018109	lenient		orientation_switch,order_reversal		
Dove	Dove_lenient_raw_0012	25559098	DOV_R0043	DOV_R0044	LR594554.2	LR594554.2	-	+	0	1	1	21217871	21204938	1	330942	8217976	11	408	0	3	3	3	2	11	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Dove	Dove_lenient_raw_0013	34741919	DOV_R0050	DOV_R0051	LR594554.2	LR594554.2	+	-	0	1	1	1146342	1082436	1	426963	7121780	10	275	0	3	3	0.946958863248	2	8.94695886325	14.7581018109	lenient		orientation_switch,order_reversal,gap_discrepancy		
Dove	Dove_lenient_raw_0014	37169460	DOV_R0054	DOV_R0055	LR594554.2	LR594554.2	-	-	0	0	1	3237010	3235199	1	2189434	4932346	75	200	0	0	3	2.67399721019	2	7.67399721019	14.7581018109	lenient		order_reversal,large_query_jump,gap_discrepancy		
Dove	Dove_lenient_raw_0015	37261232	DOV_R0055	DOV_R0056	LR594554.2	LR594554.2	-	-	0	0	1	3425612	3415346	1	2275168	4846612	76	199	0	0	3	2.82979568527	2	7.82979568527	14.7581018109	lenient		order_reversal,large_query_jump,gap_discrepancy		
Dove	Dove_lenient_raw_0016	39240714	DOV_R0056	DOV_R0057	LR594554.2	LR594554.2	-	-	0	0	1	40615784	40607357	1	4245304	2876476	167	108	0	0	3	3	2	8	14.7581018109	lenient		order_reversal,large_query_jump,gap_discrepancy		
Dove	Dove_lenient_raw_0017	42261258	DOV_R0058	DOV_R0059	LR594554.2	LR594554.2	-	+	0	1	1	2598856	2526203	1	7121780	273712	275	9	0	3	3	2.14683726454	2	10.1468372645	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Dove	Dove_lenient_raw_0018	44647530	DOV_R0062	DOV_R0063	LR594554.2	LR594554.2	+	-	0	1	1	14097354	14038707	1	1861108	487388	70	17	0	3	3	3	2	11	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Dove	Dove_lenient_raw_0019	45721436	DOV_R0065	DOV_R0066	LR594554.2	LR594554.2	-	+	0	1	1	417436	247263	1	487388	472056	17	15	0	3	3	0.344831402879	0.583247719684	6.92807912256	14.7581018109	lenient		orientation_switch,order_reversal		
Dove	Dove_lenient_raw_0020	46422770	DOV_R0067	DOV_R0068	LR594554.2	LR594554.2	+	-	0	1	1	1135969	1123102	1	472056	580625	15	21	0	3	3	0.938390037986	2	8.93839003799	14.7581018109	lenient		orientation_switch,order_reversal,gap_discrepancy		
Dove	Dove_lenient_raw_0021	49626912	DOV_R0075	DOV_R0076	LR594554.2	LR594554.2	+	-	0	1	1	31014922	31013771	1	1835870	452782	67	15	0	3	3	3	2	11	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Dove	Dove_lenient_raw_0022	50085260	DOV_R0076	DOV_R0077	LR594554.2	LR594554.2	-	+	0	1	1	108465	98484	1	452782	316068	15	12	0	3	3	0.0895996945957	0.232305554917	6.32190524951	14.7581018109	lenient		orientation_switch,order_reversal		
Dove	Dove_lenient_raw_0023	50410378	DOV_R0077	DOV_R0078	LR594554.2	LR594554.2	+	-	0	1	1	4507	3610	1	316068	469757	12	24	0	3	3	0.00372309799053	0.00851532282654	6.01223842082	14.7581018109	lenient		orientation_switch,order_reversal		
Dove	Dove_lenient_raw_0024	50995584	DOV_R0079	DOV_R0080	LR594554.2	LR594554.2	-	+	0	1	1	2095850	1955333	1	469757	471283	24	16	0	3	3	1.73131904226	2	9.73131904226	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Dove	Dove_lenient_raw_0025	51570722	DOV_R0080	DOV_R0081	LR594554.2	LR594554.2	+	-	0	1	1	1864575	1797383	1	471283	8091754	16	364	0	3	3	1.54026967732	2	9.54026967732	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Dove	Dove_lenient_raw_0026	59969214	DOV_R0084	DOV_R0085	LR594554.2	LR594554.2	-	+	0	1	1	184974	152765	1	8091754	7224105	364	329	0	3	3	0.152801492722	0.360344402104	6.51314589483	14.7581018109	lenient		orientation_switch,order_reversal		
Sandgrouse	Sandgrouse_lenient_raw_0001	1949551	SAN_R0004	SAN_R0005	chr18	chr18	+	-	0	1	1	11226978	11087010	1	1491411	5602595	57	226	0	3	3	3	2	11	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Sandgrouse	Sandgrouse_lenient_raw_0002	9508568	SAN_R0009	SAN_R0010	chr18	chr18	-	-	0	0	1	19719242	19706373	1	1615024	641226	61	30	0	0	3	3	2	8	14.7581018109	lenient		order_reversal,large_query_jump,gap_discrepancy		
Sandgrouse	Sandgrouse_lenient_raw_0003	10974030	SAN_R0013	SAN_R0014	chr18	chr18	-	-	0	0	1	10483560	10435141	1	683360	7565365	28	338	0	0	3	3	2	8	14.7581018109	lenient		order_reversal,large_query_jump,gap_discrepancy		
Sandgrouse	Sandgrouse_lenient_raw_0004	19760078	SAN_R0019	SAN_R0020	chr18	chr5	+	-	1	1	0			1	307622	1272730	11	37	5	3	0	0	0	8	14.7581018109	lenient		chromosome_switch,orientation_switch		
Sandgrouse	Sandgrouse_lenient_raw_0005	25212948	SAN_R0024	SAN_R0025	chr5	chr5	-	+	0	1	1	3584	13899	1	3773453	330936	157	19	0	3	3	0.00296063527802	0.0327851722898	6.03574580757	14.7581018109	lenient		orientation_switch,order_reversal		
Sandgrouse	Sandgrouse_lenient_raw_0006	25559094	SAN_R0025	SAN_R0026	chr5	chr15	+	-	1	1	0			1	330936	890479	19	30	5	3	0	0	0	8	14.7581018109	lenient		chromosome_switch,orientation_switch		
Sandgrouse	Sandgrouse_lenient_raw_0007	33233680	SAN_R0030	SAN_R0031	chr15	chr5	-	-	1	0	0			1	5113895	767147	276	10	5	0	0	0	0	5	14.7581018109	lenient		chromosome_switch		
Sandgrouse	Sandgrouse_lenient_raw_0008	35025868	SAN_R0037	SAN_R0038	chr15	chr5	-	+	1	1	0			1	389512	250699	5	5	5	3	0	0	0	8	14.7581018109	lenient		chromosome_switch,orientation_switch		
Sandgrouse	Sandgrouse_lenient_raw_0009	35331645	SAN_R0039	SAN_R0040	chr5	chr5	+	-	0	1	1	15000	27116	1	250699	1863641	5	64	0	3	3	0.0123910516658	0.0639616326217	6.07635268429	14.7581018109	lenient		orientation_switch,order_reversal		
Sandgrouse	Sandgrouse_lenient_raw_0010	37250386	SAN_R0041	SAN_R0042	chr5	chr15	-	+	1	1	0			1	1863641	1918016	64	84	5	3	0	0	0	8	14.7581018109	lenient		chromosome_switch,orientation_switch		
Sandgrouse	Sandgrouse_lenient_raw_0011	39215700	SAN_R0042	SAN_R0043	chr15	chr5	+	+	1	0	0			1	1918016	3011169	84	126	5	0	0	0	0	5	14.7581018109	lenient		chromosome_switch		
Sandgrouse	Sandgrouse_lenient_raw_0012	44670480	SAN_R0049	SAN_R0050	chr5	chr15	-	+	1	1	0			1	1828881	407405	83	20	5	3	0	0	0	8	14.7581018109	lenient		chromosome_switch,orientation_switch		
Sandgrouse	Sandgrouse_lenient_raw_0013	45658612	SAN_R0054	SAN_R0055	chr15	chr15	+	-	0	1	1	22481972	22442531	1	407405	267134	20	8	0	3	3	3	2	11	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Sandgrouse	Sandgrouse_lenient_raw_0014	46258704	SAN_R0057	SAN_R0058	chr15	chr15	-	+	0	1	1	148113	119522	1	267134	2397213	8	101	0	3	3	0.122351722359	0.281930308829	6.40428203119	14.7581018109	lenient		orientation_switch,order_reversal		
Sandgrouse	Sandgrouse_lenient_raw_0015	49161590	SAN_R0062	SAN_R0063	chr15	chr5	+	-	1	1	0			1	2397213	351913	101	10	5	3	0	0	0	8	14.7581018109	lenient		chromosome_switch,orientation_switch		
Sandgrouse	Sandgrouse_lenient_raw_0016	49625076	SAN_R0064	SAN_R0065	chr5	chr15	-	-	1	0	0			1	351913	725612	10	36	5	0	0	0	0	5	14.7581018109	lenient		chromosome_switch		
Sandgrouse	Sandgrouse_lenient_raw_0017	50387655	SAN_R0065	SAN_R0066	chr15	chr15	-	+	0	1	1	80902	17808	1	725612	7445692	36	339	0	3	3	0.0668307241246	0.0420057808574	6.10883650498	14.7581018109	lenient		orientation_switch,order_reversal		
Sandgrouse	Sandgrouse_lenient_raw_0018	51019502	SAN_R0067	SAN_R0068	chr15	chr15	+	+	0	0	1	2568431	2508162	1	473700	6971992	23	316	0	0	3	2.12170408141	2	7.12170408141	14.7581018109	lenient		order_reversal,large_query_jump,gap_discrepancy		
Sandgrouse	Sandgrouse_lenient_raw_0019	51789124	SAN_R0068	SAN_R0069	chr15	chr15	+	+	0	0	1	10504723	10485660	1	1203656	6242036	51	288	0	0	3	3	2	8	14.7581018109	lenient		order_reversal,large_query_jump,gap_discrepancy		
Sandgrouse	Sandgrouse_lenient_raw_0020	58187508	SAN_R0070	SAN_R0071	chr15	chr5	+	-	1	1	0			1	7445692	2695336	339	86	5	3	0	0	0	8	14.7581018109	lenient		chromosome_switch,orientation_switch		
Sandgrouse	Sandgrouse_lenient_raw_0021	60000682	SAN_R0071	SAN_R0072	chr5	chr5	-	-	0	0	1	7633885	7546504	1	1765061	930275	63	23	0	0	3	3	2	8	14.7581018109	lenient		order_reversal,large_query_jump,gap_discrepancy		
Turaco	Turaco_lenient_raw_0001	1949860	TUR_R0006	TUR_R0007	chr13	chr13	+	-	0	1	1	12407595	12266972	1	1161928	5725567	45	223	0	3	3	3	2	11	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Turaco	Turaco_lenient_raw_0002	9504880	TUR_R0010	TUR_R0011	chr13	chr13	-	-	0	0	1	21524532	21519705	1	1615349	9002133	63	409	0	0	3	3	2	8	14.7581018109	lenient		order_reversal,large_query_jump,gap_discrepancy		
Turaco	Turaco_lenient_raw_0003	10975318	TUR_R0012	TUR_R0013	chr13	chr13	-	-	0	0	1	11411362	11365664	1	3052044	7565438	119	353	0	0	3	3	2	8	14.7581018109	lenient		order_reversal,large_query_jump,gap_discrepancy		
Turaco	Turaco_lenient_raw_0004	19760078	TUR_R0017	TUR_R0018	chr13	chr5	+	-	1	1	0			1	278286	1160576	5	35	5	3	0	0	0	8	14.7581018109	lenient		chromosome_switch,orientation_switch		
Turaco	Turaco_lenient_raw_0005	25213030	TUR_R0023	TUR_R0024	chr5	chr5	-	+	0	1	1	5078	12240	1	3719834	1210188	150	51	0	3	3	0.00419478402394	0.0288718978939	6.03306668192	14.7581018109	lenient		orientation_switch,order_reversal		
Turaco	Turaco_lenient_raw_0006	25563228	TUR_R0024	TUR_R0025	chr5	chr5	+	+	0	0	1	54947969	54923870	1	329490	880698	13	38	0	0	3	3	2	8	14.7581018109	lenient		order_reversal,large_query_jump,gap_discrepancy		
Turaco	Turaco_lenient_raw_0007	33234418	TUR_R0029	TUR_R0030	chr5	chr5	+	-	0	1	1	52876560	52872137	1	5117499	766639	276	35	0	3	3	3	2	11	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Turaco	Turaco_lenient_raw_0008	34069462	TUR_R0031	TUR_R0032	chr5	chr5	-	+	0	1	1	73688759	73674733	1	766639	510010	35	5	0	3	3	3	2	11	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Turaco	Turaco_lenient_raw_0009	39240738	TUR_R0038	TUR_R0039	chr5	chr5	+	+	0	0	1	23403923	23394180	1	4456938	3003203	191	151	0	0	3	3	2	8	14.7581018109	lenient		order_reversal,large_query_jump,gap_discrepancy		
Turaco	Turaco_lenient_raw_0010	45614290	TUR_R0047	TUR_R0048	chr5	chr5	-	+	0	1	1	1432424	1379023	1	2483376	474268	90	17	0	3	3	1.18328265276	2	9.18328265276	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Turaco	Turaco_lenient_raw_0011	46423282	TUR_R0050	TUR_R0051	chr5	chr5	+	-	0	1	1	1166459	1152512	1	474268	2415519	17	71	0	3	3	0.963576915672	2	8.96357691567	14.7581018109	lenient		orientation_switch,order_reversal,gap_discrepancy		
Turaco	Turaco_lenient_raw_0012	47228924	TUR_R0051	TUR_R0052	chr5	chr5	-	-	0	0	1	67292909	66854574	1	579501	1836018	17	54	0	0	3	3	2	8	14.7581018109	lenient		order_reversal,large_query_jump,gap_discrepancy		
Turaco	Turaco_lenient_raw_0013	49623083	TUR_R0055	TUR_R0056	chr5	chr5	-	+	0	1	1	69112383	69103573	1	2415519	750315	71	31	0	3	3	3	2	11	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Turaco	Turaco_lenient_raw_0014	50411514	TUR_R0056	TUR_R0057	chr5	chr5	+	-	0	1	1	59013	8408	1	750315	4614872	31	220	0	3	3	0.0487488754637	0.0198329180957	6.06858179356	14.7581018109	lenient		orientation_switch,order_reversal		
Turaco	Turaco_lenient_raw_0015	50948141	TUR_R0059	TUR_R0060	chr5	chr5	-	-	0	0	1	82191080	82094100	1	246296	4368576	12	208	0	0	3	3	2	8	14.7581018109	lenient		order_reversal,large_query_jump,gap_discrepancy		
