clade	merged_change_point_id	representative_position	cluster_min_position	cluster_max_position	cluster_span_bp	merge_distance_bp	n_raw_change_points	contributing_raw_change_point_ids	representative_score	span_valid
N61	N61_rolling_013	34535000	34505000	34705000	200000	200000	3	N61_rolling_raw_026;N61_rolling_raw_027;N61_rolling_raw_028	0.649801225449	True
N61	N61_rolling_014	34745000	34745000	34905000	160000	200000	3	N61_rolling_raw_029;N61_rolling_raw_030;N61_rolling_raw_031	0.525452615552	True
N61	N61_rolling_015	34965000	34965000	34965000	0	200000	1	N61_rolling_raw_032	0.435077391007	True
N61	N61_rolling_016	35415000	35415000	35415000	0	200000	1	N61_rolling_raw_033	0.234156249519	True
N61	N61_rolling_017	36575000	36535000	36575000	40000	200000	2	N61_rolling_raw_034;N61_rolling_raw_035	0.244955891432	True
N61	N61_rolling_018	37215000	37215000	37245000	30000	200000	2	N61_rolling_raw_036;N61_rolling_raw_037	0.255034606191	True
N61	N61_rolling_019	43675000	43555000	43675000	120000	200000	3	N61_rolling_raw_038;N61_rolling_raw_039;N61_rolling_raw_040	0.498415939258	True
N61	N61_rolling_020	44135000	44015000	44135000	120000	200000	3	N61_rolling_raw_041;N61_rolling_raw_042;N61_rolling_raw_043	0.849062889472	True
N61	N61_rolling_021	48295000	48185000	48375000	190000	200000	16	N61_rolling_raw_044;N61_rolling_raw_045;N61_rolling_raw_046;N61_rolling_raw_047;N61_rolling_raw_048;N61_rolling_raw_049;N61_rolling_raw_050;N61_rolling_raw_051;N61_rolling_raw_052;N61_rolling_raw_053;N61_rolling_raw_054;N61_rolling_raw_055;N61_rolling_raw_056;N61_rolling_raw_057;N61_rolling_raw_058;N61_rolling_raw_059	0.236921811289	True
N61	N61_rolling_022	48495000	48395000	48565000	170000	200000	6	N61_rolling_raw_060;N61_rolling_raw_061;N61_rolling_raw_062;N61_rolling_raw_063;N61_rolling_raw_064;N61_rolling_raw_065	0.39226984876	True
N61	N61_rolling_023	48625000	48625000	48625000	0	200000	1	N61_rolling_raw_066	0.394892052204	True
N61	N61_rolling_024	50005000	49895000	50005000	110000	200000	3	N61_rolling_raw_067;N61_rolling_raw_068;N61_rolling_raw_069	0.37416972853	True
N61	N61_rolling_025	56825000	56825000	57015000	190000	200000	4	N61_rolling_raw_070;N61_rolling_raw_071;N61_rolling_raw_072;N61_rolling_raw_073	0.81966012171	True
N61	N61_rolling_026	57125000	57125000	57205000	80000	200000	2	N61_rolling_raw_074;N61_rolling_raw_075	0.358654040596	True
N62	N62_rolling_001	24255000	24095000	24285000	190000	200000	4	N62_rolling_raw_001;N62_rolling_raw_002;N62_rolling_raw_003;N62_rolling_raw_004	0.433898662941	True
N62	N62_rolling_002	24325000	24325000	24325000	0	200000	1	N62_rolling_raw_005	0.450013893707	True
N62	N62_rolling_003	24765000	24735000	24765000	30000	200000	2	N62_rolling_raw_006;N62_rolling_raw_007	0.622823218104	True
N62	N62_rolling_004	25025000	25025000	25025000	0	200000	1	N62_rolling_raw_008	0.750895222326	True
N62	N62_rolling_005	25335000	25335000	25335000	0	200000	1	N62_rolling_raw_009	0.343096483269	True
N62	N62_rolling_006	32165000	32165000	32165000	0	200000	1	N62_rolling_raw_010	0.719556621701	True
N62	N62_rolling_007	32725000	32725000	32885000	160000	200000	2	N62_rolling_raw_011;N62_rolling_raw_012	0.802783043188	True
N62	N62_rolling_008	33565000	33425000	33565000	140000	200000	3	N62_rolling_raw_013;N62_rolling_raw_014;N62_rolling_raw_015	0.681371698406	True
N62	N62_rolling_009	34515000	34515000	34515000	0	200000	1	N62_rolling_raw_016	0.664554715381	True
N62	N62_rolling_010	34785000	34785000	34785000	0	200000	1	N62_rolling_raw_017	0.521227996537	True
N62	N62_rolling_011	35405000	35405000	35555000	150000	200000	3	N62_rolling_raw_018;N62_rolling_raw_019;N62_rolling_raw_020	0.361951564576	True
N62	N62_rolling_012	44135000	43975000	44135000	160000	200000	3	N62_rolling_raw_021;N62_rolling_raw_022;N62_rolling_raw_023	0.798487314101	True
N62	N62_rolling_013	44395000	44395000	44395000	0	200000	1	N62_rolling_raw_024	0.511943517633	True
N62	N62_rolling_014	48565000	48405000	48565000	160000	200000	2	N62_rolling_raw_025;N62_rolling_raw_026	0.297263155044	True
N62	N62_rolling_015	56325000	56325000	56325000	0	200000	1	N62_rolling_raw_027	0.38692231841	True
N62	N62_rolling_016	56825000	56825000	57015000	190000	200000	5	N62_rolling_raw_028;N62_rolling_raw_029;N62_rolling_raw_030;N62_rolling_raw_031;N62_rolling_raw_032	0.809455555749	True
N62	N62_rolling_017	57075000	57075000	57185000	110000	200000	4	N62_rolling_raw_033;N62_rolling_raw_034;N62_rolling_raw_035;N62_rolling_raw_036	0.460643310008	True
N62	N62_rolling_018	61995000	61995000	61995000	0	200000	1	N62_rolling_raw_037	0.257569283841	True
N62	N62_rolling_019	64965000	64845000	64965000	120000	200000	2	N62_rolling_raw_038;N62_rolling_raw_039	0.314597277404	True
