event_id	clade	event_start	event_end	analysis_start	analysis_end	breakpoint_neighborhood	structural_classification	pairing_confidence	species_support	species_topology	competing_topology	n_windows	local_species_topology_count	local_species_topology_frequency	local_competing_topology_count	local_competing_topology_frequency	mean_support_q1	mean_support_q2	mean_support_q3	dominant_topology	topology_margin_species_vs_competing
primary_W250000_EV006	N61	44647530	45658664	44647530	45658664	frozen paired-event interval	inversion_like	high	Flamingo;Dove;Stork	q1	q2	48	2	0.0416666666667	46	0.958333333333	0.029252507819	0.958282682171	0.0124648100098	q2	-0.916666666667
primary_W250000_EV006	N62	44647530	45658664	44647530	45658664	frozen paired-event interval	inversion_like	high	Flamingo;Dove;Stork	q1	q2	43	41	0.953488372093	1	0.0232558139535	0.949449142477	0.0265399696292	0.024010887894	q1	0.93023255814
primary_W250000_EV014	Columbea	46422770	46422770	46172770	46672770	single breakpoint +/-250 kb	single_boundary_event	single_boundary	Flamingo;Dove;Sandgrouse;Turaco;Cuckoo;Stork	q1	q2	29	28	0.965517241379	1	0.0344827586207	0.967432950192	0.0249042145594	0.00766283524903	q1	0.931034482759
primary_W250000_EV014	N61	46422770	46422770	46172770	46672770	single breakpoint +/-250 kb	single_boundary_event	single_boundary	Flamingo;Dove;Sandgrouse;Turaco;Cuckoo;Stork	q1	q2	26	1	0.0384615384615	25	0.961538461538	0.0206853218816	0.977310215511	0.00200446260711	q2	-0.923076923077
primary_W250000_EV014	N62	46422770	46422770	46172770	46672770	single breakpoint +/-250 kb	single_boundary_event	single_boundary	Flamingo;Dove;Sandgrouse;Turaco;Cuckoo;Stork	q1	q2	19	19	1	0	0	0.990547145264	0.00805726012673	0.00139559460969	q1	1
primary_W250000_EV007	Columbea	47143089	49159743	47143089	49159743	frozen paired-event interval	adjacency_change	moderate	Cuckoo;Stork	q1	q2	132	117	0.886363636364	7	0.0530303030303	0.872019099271	0.0722910100808	0.0556898906482	q1	0.833333333333
primary_W250000_EV007	N61	47143089	49159743	47143089	49159743	frozen paired-event interval	adjacency_change	moderate	Cuckoo;Stork	q1	q2	133	6	0.0451127819549	121	0.90977443609	0.046847621235	0.906138021712	0.0470143570527	q2	-0.864661654135
primary_W250000_EV007	N62	47143089	49159743	47143089	49159743	frozen paired-event interval	adjacency_change	moderate	Cuckoo;Stork	q1	q2	116	105	0.905172413793	8	0.0689655172414	0.893665873324	0.0665931803368	0.0397409463392	q1	0.836206896552
primary_W250000_EV015	Columbea	49624080	49624080	49374080	49874080	single breakpoint +/-250 kb	single_boundary_event	single_boundary	Flamingo;Dove;Sandgrouse;Turaco;Cuckoo;Stork	q1	q2	15	15	1	0	0	0.976592050714	0.0103773115215	0.0130306377642	q1	1
primary_W250000_EV015	N61	49624080	49624080	49374080	49874080	single breakpoint +/-250 kb	single_boundary_event	single_boundary	Flamingo;Dove;Sandgrouse;Turaco;Cuckoo;Stork	q1	q2	15	4	0.266666666667	10	0.666666666667	0.253096962274	0.700707696375	0.0461953413506	q2	-0.4
primary_W250000_EV015	N62	49624080	49624080	49374080	49874080	single breakpoint +/-250 kb	single_boundary_event	single_boundary	Flamingo;Dove;Sandgrouse;Turaco;Cuckoo;Stork	q1	q2	13	12	0.923076923077	0	0	0.887895315954	0.00582806984769	0.106276614199	q1	0.923076923077
primary_W250000_EV008	Columbea	50410378	50989362	50410378	50989362	frozen paired-event interval	adjacency_change	high	Flamingo;Dove;Sandgrouse;Cuckoo;Stork	q1	q2	35	34	0.971428571429	1	0.0285714285714	0.985714285714	0.0142857142857	0	q1	0.942857142857
primary_W250000_EV008	N61	50410378	50989362	50410378	50989362	frozen paired-event interval	adjacency_change	high	Flamingo;Dove;Sandgrouse;Cuckoo;Stork	q1	q2	35	0	0	35	1	0	1	0	q2	-1
primary_W250000_EV008	N62	50410378	50989362	50410378	50989362	frozen paired-event interval	adjacency_change	high	Flamingo;Dove;Sandgrouse;Cuckoo;Stork	q1	q2	31	31	1	0	0	0.992255492213	0.00259198858408	0.00515251920296	q1	1
primary_W250000_EV009	Columbea	51789124	57203613	51789124	57203613	frozen paired-event interval	inversion_like	high	Sandgrouse;Cuckoo;Stork	q1	q2	367	329	0.896457765668	20	0.0544959128065	0.894751707602	0.0541838873879	0.0510644050102	q1	0.841961852861
primary_W250000_EV009	N61	51789124	57203613	51789124	57203613	frozen paired-event interval	inversion_like	high	Sandgrouse;Cuckoo;Stork	q1	q2	369	25	0.0677506775068	329	0.891598915989	0.0620310579018	0.896294460639	0.0416744814587	q2	-0.823848238482
primary_W250000_EV009	N62	51789124	57203613	51789124	57203613	frozen paired-event interval	inversion_like	high	Sandgrouse;Cuckoo;Stork	q1	q2	360	335	0.930555555556	19	0.0527777777778	0.917924971392	0.0510533804477	0.0310216481604	q1	0.877777777778
primary_W250000_EV010	Columbea	58171516	59982754	58171516	59982754	frozen paired-event interval	adjacency_change	high	Flamingo;Cuckoo;Stork	q1	q2	137	59	0.430656934307	39	0.284671532847	0.383554491666	0.31849883486	0.297946673474	q1	0.14598540146
primary_W250000_EV010	N61	58171516	59982754	58171516	59982754	frozen paired-event interval	adjacency_change	high	Flamingo;Cuckoo;Stork	q1	q2	138	49	0.355072463768	40	0.289855072464	0.340898380581	0.318276431497	0.340825187922	q3	0.0652173913043
primary_W250000_EV010	N62	58171516	59982754	58171516	59982754	frozen paired-event interval	adjacency_change	high	Flamingo;Cuckoo;Stork	q1	q2	128	47	0.3671875	46	0.359375	0.369326664079	0.335013602468	0.295659733454	q1	0.0078125
primary_W250000_EV016	Columbea	61035423	61035423	60785423	61285423	single breakpoint +/-250 kb	single_boundary_event	single_boundary	Flamingo;Dove;Sandgrouse;Turaco;Cuckoo;Stork	q1	q2	32	9	0.28125	10	0.3125	0.30271024423	0.342341017918	0.354948737852	q3	-0.03125
primary_W250000_EV016	N61	61035423	61035423	60785423	61285423	single breakpoint +/-250 kb	single_boundary_event	single_boundary	Flamingo;Dove;Sandgrouse;Turaco;Cuckoo;Stork	q1	q2	33	14	0.424242424242	10	0.30303030303	0.413338326561	0.304611925398	0.282049748041	q1	0.121212121212
primary_W250000_EV016	N62	61035423	61035423	60785423	61285423	single breakpoint +/-250 kb	single_boundary_event	single_boundary	Flamingo;Dove;Sandgrouse;Turaco;Cuckoo;Stork	q1	q2	33	11	0.333333333333	15	0.454545454545	0.400655705686	0.365648778607	0.233695515707	q2	-0.121212121212
