species	canonical_region_id	anchor_id	reference_start	reference_end	dominant_query_chrom	dominant_query_start	dominant_query_end	orientation	coverage_fraction	n_raw_blocks	ambiguous	missing
Cuckoo	CR_01	CR_01_A007	26159924	26259924	pri.CM030640.1	70383764	70490736	-	0.3632	5	false	false
Stork	CR_01	CR_01_A008	26259924	26359924	pri.CM030196.1	74526330	74604456	+	0.73107	3	false	false
Flamingo	CR_01	CR_01_A008	26259924	26359924	pri.chr4	74619958	74701758	-	0.57581	4	false	false
Dove	CR_01	CR_01_A008	26259924	26359924	1.LR594554.2	16606775	16678015	+	0.60274	4	false	false
Sandgrouse	CR_01	CR_01_A008	26259924	26359924	pri.chr15	8924118	8998234	+	0.4254	3	false	false
Turaco	CR_01	CR_01_A008	26259924	26359924	pri.chr5	10332400	10413950	+	0.75891	3	false	false
Cuckoo	CR_01	CR_01_A008	26259924	26359924	pri.CM030640.1	70196807	70355393	-	0.65987	2	false	false
Stork	CR_01	CR_01_A009	26359924	26459924	pri.CM030196.1	74426579	74798638	+	0.85622	2	false	false
Flamingo	CR_01	CR_01_A009	26359924	26459924	pri.chr4	74519988	74917516	-	0.58304	4	false	false
Dove	CR_01	CR_01_A009	26359924	26459924	1.LR594554.2	16690678	16779829	+	0.81972	1	false	false
Sandgrouse	CR_01	CR_01_A009	26359924	26459924	pri.chr15	8835405	9177177	+	0.85692	2	false	false
Turaco	CR_01	CR_01_A009	26359924	26459924	pri.chr5	10426891	10513069	+	0.81979	1	false	false
Cuckoo	CR_01	CR_01_A009	26359924	26459924	pri.CM030640.1	70196807	70548053	-	0.99664	2	false	false
Stork	CR_01	CR_01_A010	26459924	26559924	pri.CM030196.1	73964135	74836698	+	0.85036	3	false	false
Flamingo	CR_01	CR_01_A010	26459924	26559924	pri.chr4	73979609	74917516	-	0.90079	2	false	false
Dove	CR_01	CR_01_A010	26459924	26559924	1.LR594554.2	16779829	16906414	+	0.60332	1	false	false
Sandgrouse	CR_01	CR_01_A010	26459924	26559924	pri.chr15	8723323	9177177	+	0.87248	2	false	false
Turaco	CR_01	CR_01_A010	26459924	26559924	pri.chr5	10126430	11053035	+	0.67629	2	false	false
Cuckoo	CR_01	CR_01_A010	26459924	26559924	pri.CM030640.1	70129900	70548053	-	0.63353	3	false	false
Stork	CR_01	CR_01_A011	26559924	26659924	pri.CM030196.1	73964135	74426579	+	1	1	false	false
Flamingo	CR_01	CR_01_A011	26559924	26659924	pri.chr4	73979609	74519988	-	1	1	false	false
Dove	CR_01	CR_01_A011	26559924	26659924	1.LR594554.2	16779829	16906414	+	0.58213	1	false	false
Sandgrouse	CR_01	CR_01_A011	26559924	26659924	pri.chr15	8679048	8835405	+	0.75813	2	false	false
Turaco	CR_01	CR_01_A011	26559924	26659924	pri.chr5	10513069	11053035	+	1	1	false	false
Cuckoo	CR_01	CR_01_A011	26559924	26659924	pri.CM030640.1	70022709	70112637	-	0.67962	6	false	false
Stork	CR_01	CR_01_A012	26659924	26759924	pri.CM030196.1	73964135	74426579	+	1	1	false	false
Flamingo	CR_01	CR_01_A012	26659924	26759924	pri.chr4	73979609	74519988	-	1	1	false	false
Dove	CR_01	CR_01_A012	26659924	26759924	1.LR594554.2	17014184	17084423	+	0.52549	7	false	false
Sandgrouse	CR_01	CR_01_A012	26659924	26759924	pri.chr15	8605908	8703210	+	0.46205	4	false	false
Turaco	CR_01	CR_01_A012	26659924	26759924	pri.chr5	10513069	11053035	+	1	1	false	false
Cuckoo	CR_01	CR_01_A012	26659924	26759924	pri.CM030640.1	69939865	69986585	-	0.38105	5	false	false
Stork	CR_01	CR_01_A013	26759924	26859924	pri.CM030196.1	73964135	74426579	+	1	1	false	false
Flamingo	CR_01	CR_01_A013	26759924	26859924	pri.chr4	73979609	74519988	-	1	1	false	false
Dove	CR_01	CR_01_A013	26759924	26859924	1.LR594554.2	17096519	17198381	+	0.87065	7	false	false
Sandgrouse	CR_01	CR_01_A013	26759924	26859924	pri.chr15	8486100	8580409	+	0.77587	6	false	false
Turaco	CR_01	CR_01_A013	26759924	26859924	pri.chr5	10513069	11053035	+	1	1	false	false
Cuckoo	CR_01	CR_01_A013	26759924	26859924	pri.CM030640.1	69834312	69912325	-	0.68032	4	false	false
Stork	CR_01	CR_01_A014	26859924	26959924	pri.CM030196.1	73939744	74426579	+	0.87446	2	false	false
Flamingo	CR_01	CR_01_A014	26859924	26959924	pri.chr4	73979609	74519988	-	1	1	false	false
Dove	CR_01	CR_01_A014	26859924	26959924	1.LR594554.2	17190928	17303292	+	0.77033	8	false	false
Sandgrouse	CR_01	CR_01_A014	26859924	26959924	pri.chr15	8403371	8493505	+	0.76087	8	false	false
Turaco	CR_01	CR_01_A014	26859924	26959924	pri.chr5	10513069	11053035	+	1	1	false	false
Cuckoo	CR_01	CR_01_A014	26859924	26959924	pri.CM030640.1	69734704	69814038	-	0.65659	5	false	false
Stork	CR_01	CR_01_A015	26959924	27059924	pri.CM030196.1	73833132	73944946	+	0.63207	8	false	false
Flamingo	CR_01	CR_01_A015	26959924	27059924	pri.chr4	73957325	74519988	-	0.65389	2	false	false
Dove	CR_01	CR_01_A015	26959924	27059924	1.LR594554.2	17298042	17420446	+	0.60338	9	false	false
Sandgrouse	CR_01	CR_01_A015	26959924	27059924	pri.chr15	8277421	8373499	+	0.49981	5	false	false
Turaco	CR_01	CR_01_A015	26959924	27059924	pri.chr5	10513069	11297850	+	0.85226	2	false	false
Cuckoo	CR_01	CR_01_A015	26959924	27059924	pri.CM030640.1	69610344	69700855	-	0.56087	7	false	false
Stork	CR_01	CR_01_A016	27059924	27159924	pri.CM030196.1	73719889	73826908	+	0.77973	9	false	false
Flamingo	CR_01	CR_01_A016	27059924	27159924	pri.chr4	73718280	73932530	-	0.97365	1	false	false
Dove	CR_01	CR_01_A016	27059924	27159924	1.LR594554.2	17407509	17514881	+	0.67773	8	false	false
Sandgrouse	CR_01	CR_01_A016	27059924	27159924	pri.chr15	8180740	8272460	+	0.49259	6	false	false
Turaco	CR_01	CR_01_A016	27059924	27159924	pri.chr5	11070756	11297850	+	1	1	false	false
Cuckoo	CR_01	CR_01_A016	27059924	27159924	pri.CM030640.1	69499516	69605067	-	0.56355	7	false	false
Stork	CR_01	CR_01_A017	27159924	27259924	pri.CM030196.1	73617756	73729073	+	0.76868	3	false	false
Flamingo	CR_01	CR_01_A017	27159924	27259924	pri.chr4	73718280	73932530	-	1	1	false	false
Dove	CR_01	CR_01_A017	27159924	27259924	1.LR594554.2	17507629	17602914	+	0.53532	6	false	false
Sandgrouse	CR_01	CR_01_A017	27159924	27259924	pri.chr15	8076541	8169681	+	0.50736	5	false	false
Turaco	CR_01	CR_01_A017	27159924	27259924	pri.chr5	11070756	11297850	+	1	1	false	false
Cuckoo	CR_01	CR_01_A017	27159924	27259924	pri.CM030640.1	69406658	69507188	-	0.64939	7	false	false
Stork	CR_01	CR_01_A018	27259924	27359924	pri.CM030196.1	73533189	73687905	+	0.70576	2	false	false
Flamingo	CR_01	CR_01_A018	27259924	27359924	pri.chr4	73636523	73932530	-	0.24292	2	false	false
Dove	CR_01	CR_01_A018	27259924	27359924					0.10578	1	false	true
Sandgrouse	CR_01	CR_01_A018	27259924	27359924	pri.chr15	7998424	8081727	+	0.31764	3	false	false
Turaco	CR_01	CR_01_A018	27259924	27359924	pri.chr5	11070756	11461421	+	0.83619	2	false	false
Cuckoo	CR_01	CR_01_A018	27259924	27359924	pri.CM030640.1	69328671	69420277	-	0.63895	3	false	false
Stork	CR_01	CR_01_A019	27359924	27459924	pri.CM030196.1	73402032	73514673	+	0.61145	7	false	false
Flamingo	CR_01	CR_01_A019	27359924	27459924	pri.chr4	73512505	73620860	-	0.7582	8	false	false
Dove	CR_01	CR_01_A019	27359924	27459924	1.LR594554.2	17711578	17828642	+	0.67665	7	false	false
Sandgrouse	CR_01	CR_01_A019	27359924	27459924	pri.chr15	7883946	7983521	+	0.73603	8	false	false
Turaco	CR_01	CR_01_A019	27359924	27459924	pri.chr5	11314457	11504192	+	0.90097	3	false	false
Cuckoo	CR_01	CR_01_A019	27359924	27459924	pri.CM030640.1	69211359	69315434	-	0.52043	7	false	false
Stork	CR_01	CR_01_A020	27459924	27559924	pri.CM030196.1	73310170	73414036	+	0.73093	6	false	false
Flamingo	CR_01	CR_01_A020	27459924	27559924	pri.chr4	73423941	73525097	-	0.72975	6	false	false
Dove	CR_01	CR_01_A020	27459924	27559924	1.LR594554.2	17815488	17903806	+	0.68114	6	false	false
Sandgrouse	CR_01	CR_01_A020	27459924	27559924	pri.chr15	7801038	7889188	+	0.60471	8	false	false
Turaco	CR_01	CR_01_A020	27459924	27559924	pri.chr5	11493053	11592194	+	0.73403	7	false	false
Cuckoo	CR_01	CR_01_A020	27459924	27559924	pri.CM030640.1	69125032	69221388	-	0.68143	6	false	false
Stork	CR_01	CR_01_A021	27559924	27659924	pri.CM030196.1	73231372	73336186	+	0.35841	5	false	false
Flamingo	CR_01	CR_01_A021	27559924	27659924	pri.chr4	73347916	73449619	-	0.48063	4	false	false
Dove	CR_01	CR_01_A021	27559924	27659924	1.LR594554.2	17971340	18024414	+	0.30942	3	false	false
Sandgrouse	CR_01	CR_01_A021	27559924	27659924	pri.chr15	7764857	7812878	+	0.30656	3	false	false
Turaco	CR_01	CR_01_A021	27559924	27659924	pri.chr5	11580077	11667069	+	0.68001	6	false	false
Cuckoo	CR_01	CR_01_A021	27559924	27659924	pri.CM030640.1	69044324	69148235	-	0.52329	5	false	false
Stork	CR_01	CR_01_A022	27659924	27759924	pri.CM030196.1	73148820	73241330	+	0.50635	5	false	false
Flamingo	CR_01	CR_01_A022	27659924	27759924	pri.chr4	73267118	73358178	-	0.54653	6	false	false
Dove	CR_01	CR_01_A022	27659924	27759924	1.LR594554.2	18014083	18119303	+	0.57137	5	false	false
Sandgrouse	CR_01	CR_01_A022	27659924	27759924	pri.chr15	7652551	7722573	+	0.54862	5	false	false
Turaco	CR_01	CR_01_A022	27659924	27759924	pri.chr5	11657077	11762833	+	0.41976	5	false	false
Cuckoo	CR_01	CR_01_A022	27659924	27759924	pri.CM030640.1	68949385	69054910	-	0.67758	6	false	false
Stork	CR_01	CR_01_A023	27759924	27859924	pri.CM030196.1	73023181	73098923	+	0.29175	4	false	false
Flamingo	CR_01	CR_01_A023	27759924	27859924	pri.chr4	73144584	73217611	-	0.33898	4	false	false
Dove	CR_01	CR_01_A023	27759924	27859924	1.LR594554.2	18184135	18221898	+	0.36034	4	false	false
Sandgrouse	CR_01	CR_01_A023	27759924	27859924	pri.chr15	7542393	7583091	+	0.32477	4	false	false
Turaco	CR_01	CR_01_A023	27759924	27859924					0.19853	2	false	true
Cuckoo	CR_01	CR_01_A023	27759924	27859924					0.18567	3	false	true
Stork	CR_01	CR_01_A024	27859924	27959924	pri.CM030196.1	72955265	72999945	+	0.40716	4	false	false
Flamingo	CR_01	CR_01_A024	27859924	27959924	pri.chr4	73082673	73126002	-	0.38565	4	false	false
Dove	CR_01	CR_01_A024	27859924	27959924	1.LR594554.2	18236611	18289984	+	0.4885	6	false	false
Sandgrouse	CR_01	CR_01_A024	27859924	27959924	pri.chr15	7464363	7523746	+	0.44024	5	false	false
Turaco	CR_01	CR_01_A024	27859924	27959924	pri.chr5	11886851	11928802	+	0.38525	4	false	false
Cuckoo	CR_01	CR_01_A024	27859924	27959924	pri.CM030640.1	68795944	68834951	-	0.36778	4	false	false
Stork	CR_01	CR_01_A025	27959924	28059924	pri.CM030196.1	72742981	72888650	+	0.6289	2	false	false
Flamingo	CR_01	CR_01_A025	27959924	28059924	pri.chr4	72946268	73025909	-	0.76679	1	false	false
Dove	CR_01	CR_01_A025	27959924	28059924					0.16888	2	false	true
Sandgrouse	CR_01	CR_01_A025	27959924	28059924	pri.chr15	7288596	7410648	+	0.49318	6	false	false
Turaco	CR_01	CR_01_A025	27959924	28059924	pri.chr5	11986264	12059731	+	0.67425	1	false	false
Cuckoo	CR_01	CR_01_A025	27959924	28059924	pri.CM030640.1	68603628	68758687	-	0.51014	5	false	false
Stork	CR_01	CR_01_A026	28059924	28159924	pri.CM030196.1	72652644	72812537	+	0.52168	3	false	false
Flamingo	CR_01	CR_01_A026	28059924	28159924	pri.chr4	72820551	72946264	+	0.43316	3	false	false
Dove	CR_01	CR_01_A026	28059924	28159924					0.19364	3	false	true
Sandgrouse	CR_01	CR_01_A026	28059924	28159924	pri.chr15	7248729	7344469	+	0.64405	2	false	false
Turaco	CR_01	CR_01_A026	28059924	28159924	pri.chr5	12063747	12244929	+	0.70213	2	false	false
Cuckoo	CR_01	CR_01_A026	28059924	28159924	pri.CM030640.1	68514835	68666835	+	0.88187	2	true	false
Stork	CR_01	CR_01_A027	28159924	28259924	pri.CM030196.1	72557773	72723350	+	0.3836	3	false	false
Flamingo	CR_01	CR_01_A027	28159924	28259924	pri.chr4	72690073	72808966	-	0.32483	5	false	false
Dove	CR_01	CR_01_A027	28159924	28259924	1.LR594554.2	18590579	18702638	+	0.38157	5	false	false
Sandgrouse	CR_01	CR_01_A027	28159924	28259924	pri.chr15	7121205	7228379	+	0.28464	4	false	false
Turaco	CR_01	CR_01_A027	28159924	28259924	pri.chr5	12136850	12299376	+	0.60011	2	false	false
Cuckoo	CR_01	CR_01_A027	28159924	28259924	pri.CM030640.1	68433609	68585221	-	0.37594	3	false	false
Stork	CR_01	CR_01_A028	28259924	28359924	pri.CM030196.1	72436692	72565211	+	0.36902	6	false	false
Flamingo	CR_01	CR_01_A028	28259924	28359924	pri.chr4	72571935	72697629	-	0.38188	6	false	false
Dove	CR_01	CR_01_A028	28259924	28359924	1.LR594554.2	18696048	18820306	+	0.38291	6	false	false
Sandgrouse	CR_01	CR_01_A028	28259924	28359924					0.18279	3	false	true
Turaco	CR_01	CR_01_A028	28259924	28359924	pri.chr5	12290712	12408373	+	0.43787	6	false	false
Cuckoo	CR_01	CR_01_A028	28259924	28359924	pri.CM030640.1	68321958	68426451	-	0.46132	5	false	false
Stork	CR_01	CR_01_A029	28359924	28459924	pri.CM030196.1	72312561	72442624	+	0.4882	7	false	false
Flamingo	CR_01	CR_01_A029	28359924	28459924	pri.chr4	72465335	72580838	-	0.50263	7	false	false
Dove	CR_01	CR_01_A029	28359924	28459924	1.LR594554.2	18805564	18968408	+	0.41309	6	false	false
Sandgrouse	CR_01	CR_01_A029	28359924	28459924	pri.chr15	6937296	7019103	+	0.27069	3	false	false
Turaco	CR_01	CR_01_A029	28359924	28459924	pri.chr5	12398301	12526283	+	0.44952	7	false	false
Cuckoo	CR_01	CR_01_A029	28359924	28459924	pri.CM030640.1	68222739	68334099	-	0.29179	5	false	false
Stork	CR_01	CR_01_A030	28459924	28559924	pri.CM030196.1	72196296	72251368	+	0.32063	4	false	false
Flamingo	CR_01	CR_01_A030	28459924	28559924	pri.chr4	72348135	72401965	-	0.20957	3	false	false
Dove	CR_01	CR_01_A030	28459924	28559924	1.LR594554.2	18963374	19060707	+	0.30319	4	false	false
Sandgrouse	CR_01	CR_01_A030	28459924	28559924					0.12281	1	false	true
Turaco	CR_01	CR_01_A030	28459924	28559924	pri.chr5	12531821	12647347	+	0.37134	5	false	false
Cuckoo	CR_01	CR_01_A030	28459924	28559924	pri.CM030640.1	68119856	68203657	-	0.30434	4	false	false
Stork	CR_01	CR_01_A031	28559924	28659924	pri.CM030196.1	72087894	72196076	+	0.6249	7	false	false
Flamingo	CR_01	CR_01_A031	28559924	28659924	pri.chr4	72251343	72347915	-	0.56734	6	false	false
Dove	CR_01	CR_01_A031	28559924	28659924	1.LR594554.2	19067677	19162406	+	0.66951	8	false	false
Sandgrouse	CR_01	CR_01_A031	28559924	28659924	pri.chr15	6745274	6837190	+	0.4824	6	false	false
Turaco	CR_01	CR_01_A031	28559924	28659924	pri.chr5	12629151	12739618	+	0.52827	5	false	false
Cuckoo	CR_01	CR_01_A031	28559924	28659924	pri.CM030640.1	68010027	68110474	-	0.4846	6	false	false
Stork	CR_01	CR_01_A032	28659924	28759924	pri.CM030196.1	72002734	72097055	+	0.74003	9	false	false
Flamingo	CR_01	CR_01_A032	28659924	28759924	pri.chr4	72145157	72235052	-	0.58606	7	false	false
Dove	CR_01	CR_01_A032	28659924	28759924	1.LR594554.2	19177789	19264284	+	0.66227	7	false	false
Sandgrouse	CR_01	CR_01_A032	28659924	28759924	pri.chr15	6652748	6750946	+	0.5413	8	false	false
Turaco	CR_01	CR_01_A032	28659924	28759924	pri.chr5	12730489	12832938	+	0.88122	8	false	false
Cuckoo	CR_01	CR_01_A032	28659924	28759924	pri.CM030640.1	67963796	68015367	-	0.31349	5	false	false
Stork	CR_01	CR_01_A033	28759924	28859924	pri.CM030196.1	71872802	71985709	+	0.47302	5	false	false
Flamingo	CR_01	CR_01_A033	28759924	28859924	pri.chr4	72021801	72134589	-	0.39092	5	false	false
Dove	CR_01	CR_01_A033	28759924	28859924	1.LR594554.2	19268807	19405827	+	0.37427	5	false	false
Sandgrouse	CR_01	CR_01_A033	28759924	28859924	pri.chr15	6540540	6645062	+	0.46995	5	false	false
Turaco	CR_01	CR_01_A033	28759924	28859924	pri.chr5	12827384	12946691	+	0.43466	6	false	false
Cuckoo	CR_01	CR_01_A033	28759924	28859924	pri.CM030640.1	67861749	67960988	-	0.4743	6	false	false
Stork	CR_01	CR_01_A034	28859924	28959924	pri.CM030196.1	71766227	71880853	+	0.68672	7	false	false
Flamingo	CR_01	CR_01_A034	28859924	28959924	pri.chr4	71916777	72029815	-	0.74196	8	false	false
Dove	CR_01	CR_01_A034	28859924	28959924	1.LR594554.2	19400131	19515809	+	0.66829	7	false	false
Sandgrouse	CR_01	CR_01_A034	28859924	28959924	pri.chr15	6437332	6546958	+	0.72402	9	false	false
Turaco	CR_01	CR_01_A034	28859924	28959924	pri.chr5	12938947	13051628	+	0.6988	7	false	false
Cuckoo	CR_01	CR_01_A034	28859924	28959924	pri.CM030640.1	67751518	67867153	-	0.51253	7	false	false
Stork	CR_01	CR_01_A035	28959924	29059924	pri.CM030196.1	71649055	71779875	+	0.8089	8	false	false
Flamingo	CR_01	CR_01_A035	28959924	29059924	pri.chr4	71809845	71922398	-	0.73885	8	false	false
Dove	CR_01	CR_01_A035	28959924	29059924	1.LR594554.2	19501351	19620283	+	0.8354	6	false	false
Sandgrouse	CR_01	CR_01_A035	28959924	29059924	pri.chr15	6332491	6446281	+	0.86528	7	false	false
Turaco	CR_01	CR_01_A035	28959924	29059924	pri.chr5	13037940	13170533	+	0.59142	6	false	false
Cuckoo	CR_01	CR_01_A035	28959924	29059924	pri.CM030640.1	67652162	67765061	-	0.52425	5	false	false
Stork	CR_01	CR_01_A036	29059924	29159924	pri.CM030196.1	71548441	71657174	+	0.68952	8	false	false
Flamingo	CR_01	CR_01_A036	29059924	29159924	pri.chr4	71714375	71817865	-	0.66687	7	false	false
Dove	CR_01	CR_01_A036	29059924	29159924	1.LR594554.2	19612815	19714905	+	0.82925	8	false	false
Sandgrouse	CR_01	CR_01_A036	29059924	29159924	pri.chr15	6246578	6343623	+	0.79975	7	false	false
Turaco	CR_01	CR_01_A036	29059924	29159924	pri.chr5	13150525	13258108	+	0.66217	7	false	false
Cuckoo	CR_01	CR_01_A036	29059924	29159924	pri.CM030640.1	67537964	67638913	-	0.55504	6	false	false
Stork	CR_01	CR_01_A037	29159924	29259924	pri.CM030196.1	71408731	71555447	+	0.38691	5	false	false
Flamingo	CR_01	CR_01_A037	29159924	29259924	pri.chr4	71569277	71706240	-	0.35394	4	false	false
Dove	CR_01	CR_01_A037	29159924	29259924	1.LR594554.2	19697965	19847401	+	0.47922	7	false	false
Sandgrouse	CR_01	CR_01_A037	29159924	29259924	pri.chr15	6121663	6244794	+	0.4034	4	false	false
Turaco	CR_01	CR_01_A037	29159924	29259924	pri.chr5	13252076	13394845	+	0.47481	6	false	false
Cuckoo	CR_01	CR_01_A037	29159924	29259924	pri.CM030640.1	67402668	67544286	-	0.31946	4	false	false
Stork	CR_01	CR_01_A038	29259924	29359924	pri.CM030196.1	71268420	71381882	+	0.5291	6	false	false
Flamingo	CR_01	CR_01_A038	29259924	29359924					0.18426	3	false	true
Dove	CR_01	CR_01_A038	29259924	29359924					0.18426	3	false	true
Sandgrouse	CR_01	CR_01_A038	29259924	29359924					0.1896	3	false	true
Turaco	CR_01	CR_01_A038	29259924	29359924	pri.chr5	13421118	13553397	+	0.24335	4	false	false
Cuckoo	CR_01	CR_01_A038	29259924	29359924					0.12784	2	false	true
Stork	CR_01	CR_01_A039	29359924	29459924	pri.CM030196.1	71135583	71252758	+	0.45145	6	false	false
Flamingo	CR_01	CR_01_A039	29359924	29459924	pri.chr4	71282968	71402318	-	0.35825	5	false	false
Dove	CR_01	CR_01_A039	29359924	29459924	1.LR594554.2	20003394	20119128	+	0.37339	5	false	false
Sandgrouse	CR_01	CR_01_A039	29359924	29459924	pri.chr15	5872370	5981840	+	0.51021	7	false	false
Turaco	CR_01	CR_01_A039	29359924	29459924	pri.chr5	13568824	13685398	+	0.44984	7	false	false
Cuckoo	CR_01	CR_01_A039	29359924	29459924	pri.CM030640.1	67123939	67242582	-	0.35834	6	false	false
Stork	CR_01	CR_01_A040	29459924	29559924	pri.CM030196.1	71019902	71146989	+	0.30413	4	false	false
Flamingo	CR_01	CR_01_A040	29459924	29559924	pri.chr4	71171282	71292567	-	0.28478	4	false	false
Dove	CR_01	CR_01_A040	29459924	29559924	1.LR594554.2	20107852	20225702	+	0.39718	5	false	false
Sandgrouse	CR_01	CR_01_A040	29459924	29559924	pri.chr15	5760148	5883616	+	0.26565	3	false	false
Turaco	CR_01	CR_01_A040	29459924	29559924	pri.chr5	13672277	13798144	+	0.35229	4	false	false
Cuckoo	CR_01	CR_01_A040	29459924	29559924	pri.CM030640.1	67009374	67134304	-	0.39718	6	false	false
Stork	CR_01	CR_01_A041	29559924	29659924					0.16974	2	false	true
Flamingo	CR_01	CR_01_A041	29559924	29659924					0.17156	2	false	true
Dove	CR_01	CR_01_A041	29559924	29659924					0.12435	2	false	true
Sandgrouse	CR_01	CR_01_A041	29559924	29659924					0.14775	3	false	true
Turaco	CR_01	CR_01_A041	29559924	29659924					0.15036	2	false	true
Cuckoo	CR_01	CR_01_A041	29559924	29659924					0.12678	2	false	true
Stork	CR_01	CR_01_A042	29659924	29759924	pri.CM030196.1	70790094	70866387	+	0.33346	4	false	false
Flamingo	CR_01	CR_01_A042	29659924	29759924	pri.chr4	70939236	71001950	-	0.32888	4	false	false
Dove	CR_01	CR_01_A042	29659924	29759924					0.18042	2	false	true
Sandgrouse	CR_01	CR_01_A042	29659924	29759924	pri.chr15	5574418	5645955	+	0.28395	4	false	false
Turaco	CR_01	CR_01_A042	29659924	29759924	pri.chr5	13951302	14023773	+	0.41053	5	false	false
Cuckoo	CR_01	CR_01_A042	29659924	29759924	pri.CM030640.1	66796669	66839685	-	0.26974	3	false	false
Stork	CR_01	CR_01_A043	29759924	29859924	pri.CM030196.1	70623280	70724951	+	0.63528	7	false	false
Flamingo	CR_01	CR_01_A043	29759924	29859924	pri.chr4	70770267	70872248	-	0.70023	7	false	false
