clade	method	change_point_id	position	score	left_q1	left_q2	left_q3	right_q1	right_q2	right_q3	delta_q1	delta_q2	delta_q3	dominant_topology_left	dominant_topology_right	cluster_min_position	cluster_max_position	cluster_span_bp	n_raw_change_points	contributing_raw_change_point_ids
N62	binary_segmentation	N62_binary_segmentation_003	44135000	78.3499617954	0.625671208403	0.181663838786	0.192664952811	0.959698060048	0.0199016804703	0.020400259482	0.334026851645	-0.161762158315	-0.17226469333	q1	q1	44135000	44135000	0	1	N62_binary_segmentation_raw_003
N62	binary_segmentation	N62_binary_segmentation_004	56825000	109.879855086	0.562270506193	0.219883595172	0.217845898635	0.333536510277	0.345780097034	0.320683392689	-0.228733995916	0.125896501862	0.102837494054	q1	q2	56825000	56825000	0	1	N62_binary_segmentation_raw_004
Columbea	rolling	Columbea_rolling_001	17835000	0.28163798735	0.433346934275	0.19182466572	0.374828400005	0.282852438534	0.417649245958	0.299498315509	-0.150494495741	0.225824580238	-0.0753300844967	q1	q2	17835000	17835000	0	1	Columbea_rolling_raw_001
Columbea	rolling	Columbea_rolling_002	24255000	0.278826066889	0.414039192742	0.340273999647	0.245686807612	0.641227941344	0.213993326845	0.14477873181	0.227188748603	-0.126280672801	-0.100908075801	q1	q1	24255000	24255000	0	1	Columbea_rolling_raw_002
Columbea	rolling	Columbea_rolling_003	24795000	0.625116491507	0.379815624061	0.387134614512	0.233049761427	0.88005403635	0.0492289508148	0.070717012835	0.500238412289	-0.337905663698	-0.162332748592	q2	q1	24685000	24795000	110000	3	Columbea_rolling_raw_003;Columbea_rolling_raw_004;Columbea_rolling_raw_005
Columbea	rolling	Columbea_rolling_004	25035000	0.732385211143	0.376754249226	0.36322025953	0.260025491244	0.971099787334	0.00895909630734	0.0199411163587	0.594345538108	-0.354261163223	-0.240084374886	q1	q1	25035000	25035000	0	1	Columbea_rolling_raw_006
Columbea	rolling	Columbea_rolling_005	32195000	0.714831293769	0.932674831381	0.0576908058218	0.00963436279729	0.350246381965	0.316122180453	0.333631437582	-0.582428449416	0.258431374631	0.323997074785	q1	q1	32135000	32195000	60000	2	Columbea_rolling_raw_007;Columbea_rolling_raw_008
Columbea	rolling	Columbea_rolling_006	32675000	0.691235577972	0.912674831381	0.0776908058218	0.00963436279729	0.350460435013	0.315908127405	0.333631437582	-0.562214396368	0.238217321583	0.323997074785	q1	q1	32675000	32815000	140000	3	Columbea_rolling_raw_009;Columbea_rolling_raw_010;Columbea_rolling_raw_011
Columbea	rolling	Columbea_rolling_007	33465000	0.709222105132	0.350246381965	0.316122180453	0.333631437582	0.928848745276	0.0471305059881	0.0240207487359	0.578602363311	-0.268991674464	-0.309610688847	q1	q1	33465000	33465000	0	1	Columbea_rolling_raw_012
Columbea	rolling	Columbea_rolling_008	34505000	0.805597475788	0.937344364852	0.0374177669359	0.0252378682117	0.279929156079	0.34748190187	0.372588942051	-0.657415208773	0.310064134934	0.347351073839	q1	q3	34505000	34705000	200000	2	Columbea_rolling_raw_013;Columbea_rolling_raw_014
Columbea	rolling	Columbea_rolling_009	34905000	0.448138029627	0.667289358585	0.182841361962	0.149869279453	0.307608541641	0.304491313823	0.387900144536	-0.359680816945	0.121649951862	0.238030865083	q1	q3	34905000	35045000	140000	4	Columbea_rolling_raw_015;Columbea_rolling_raw_016;Columbea_rolling_raw_017;Columbea_rolling_raw_018
Columbea	rolling	Columbea_rolling_010	43725000	0.521242730852	0.293143453802	0.425543078875	0.281313467323	0.714177880068	0.161225297371	0.12459682256	0.421034426267	-0.264317781504	-0.156716644763	q2	q1	43615000	43725000	110000	2	Columbea_rolling_raw_019;Columbea_rolling_raw_020
Columbea	rolling	Columbea_rolling_011	44045000	0.754728143969	0.331684805377	0.417048405238	0.251266789386	0.941403337729	0.0347955403021	0.0238011219689	0.609718532352	-0.382252864936	-0.227465667417	q2	q1	43855000	44045000	190000	3	Columbea_rolling_raw_021;Columbea_rolling_raw_022;Columbea_rolling_raw_023
Columbea	rolling	Columbea_rolling_012	44135000	0.814818138841	0.323372264407	0.430240555172	0.24638718042	0.980555555556	0.0119444444444	0.0075	0.657183291148	-0.418296110728	-0.23888718042	q2	q1	44135000	44135000	0	1	Columbea_rolling_raw_024
Columbea	rolling	Columbea_rolling_013	48305000	0.354930799511	0.988333333333	0.0116666666667	0	0.698535132108	0.155736221795	0.145728646097	-0.289798201226	0.144069555129	0.145728646097	q1	q1	48185000	48365000	180000	15	Columbea_rolling_raw_025;Columbea_rolling_raw_026;Columbea_rolling_raw_027;Columbea_rolling_raw_028;Columbea_rolling_raw_029;Columbea_rolling_raw_030;Columbea_rolling_raw_031;Columbea_rolling_raw_032;Columbea_rolling_raw_033;Columbea_rolling_raw_034;Columbea_rolling_raw_035;Columbea_rolling_raw_036;Columbea_rolling_raw_037;Columbea_rolling_raw_038;Columbea_rolling_raw_039
Columbea	rolling	Columbea_rolling_014	48485000	0.366251182725	0.992777777778	0.00722222222222	0	0.693734969544	0.15662719303	0.149637837426	-0.299042808234	0.149404970807	0.149637837426	q1	q1	48395000	48565000	170000	7	Columbea_rolling_raw_040;Columbea_rolling_raw_041;Columbea_rolling_raw_042;Columbea_rolling_raw_043;Columbea_rolling_raw_044;Columbea_rolling_raw_045;Columbea_rolling_raw_046
Columbea	rolling	Columbea_rolling_015	48625000	0.368975482425	0.992777777778	0.00722222222222	0	0.691512747322	0.158849415252	0.149637837426	-0.301265030456	0.15162719303	0.149637837426	q1	q1	48625000	48625000	0	1	Columbea_rolling_raw_047
Columbea	rolling	Columbea_rolling_016	49055000	0.337435041722	0.698535132108	0.155736221795	0.145728646097	0.974009361246	0.0220814474247	0.00390919132926	0.275474229138	-0.133654774371	-0.141819454768	q1	q1	49055000	49145000	90000	7	Columbea_rolling_raw_048;Columbea_rolling_raw_049;Columbea_rolling_raw_050;Columbea_rolling_raw_051;Columbea_rolling_raw_052;Columbea_rolling_raw_053;Columbea_rolling_raw_054
Columbea	rolling	Columbea_rolling_017	49325000	0.305104714831	0.698535132108	0.155736221795	0.145728646097	0.947342694579	0.0420814474247	0.0105758579959	0.248807562472	-0.113654774371	-0.135152788101	q1	q1	49325000	49525000	200000	5	Columbea_rolling_raw_055;Columbea_rolling_raw_056;Columbea_rolling_raw_057;Columbea_rolling_raw_058;Columbea_rolling_raw_059
Columbea	rolling	Columbea_rolling_018	49565000	0.305104714831	0.698535132108	0.155736221795	0.145728646097	0.947342694579	0.0420814474247	0.0105758579959	0.248807562472	-0.113654774371	-0.135152788101	q1	q1	49565000	49625000	60000	5	Columbea_rolling_raw_060;Columbea_rolling_raw_061;Columbea_rolling_raw_062;Columbea_rolling_raw_063;Columbea_rolling_raw_064
Columbea	rolling	Columbea_rolling_019	50005000	0.313162821062	0.691512747322	0.158849415252	0.149637837426	0.946587301587	0.046746031746	0.00666666666666	0.255074554265	-0.112103383506	-0.14297117076	q1	q1	49875000	50005000	130000	4	Columbea_rolling_raw_065;Columbea_rolling_raw_066;Columbea_rolling_raw_067;Columbea_rolling_raw_068
Columbea	rolling	Columbea_rolling_020	56275000	0.301970589077	0.931111111111	0.0622222222222	0.00666666666666	0.688245981842	0.14683746658	0.164916551578	-0.242865129269	0.0846152443577	0.158249884912	q1	q1	56215000	56275000	60000	2	Columbea_rolling_raw_069;Columbea_rolling_raw_070
Columbea	rolling	Columbea_rolling_021	56825000	0.650236252395	0.902222222222	0.0577777777778	0.04	0.371405130784	0.314326101066	0.31426876815	-0.530817091439	0.256548323289	0.27426876815	q1	q1	56645000	56825000	180000	3	Columbea_rolling_raw_071;Columbea_rolling_raw_072;Columbea_rolling_raw_073
Columbea	rolling	Columbea_rolling_022	56935000	0.489851731648	0.78955449388	0.116190104551	0.0942554015693	0.391873685449	0.278086761615	0.330039552936	-0.397680808431	0.161896657064	0.235784151366	q1	q1	56935000	57065000	130000	5	Columbea_rolling_raw_074;Columbea_rolling_raw_075;Columbea_rolling_raw_076;Columbea_rolling_raw_077;Columbea_rolling_raw_078
N61	rolling	N61_rolling_001	24395000	0.529945722477	0.350583816858	0.334160984579	0.315255198562	0.0933320391431	0.764096309952	0.142571650905	-0.257251777715	0.429935325372	-0.172683547657	q1	q2	24255000	24395000	140000	2	N61_rolling_raw_001;N61_rolling_raw_002
N61	rolling	N61_rolling_002	25015000	0.750171667965	0.334790633925	0.322971445139	0.342237920936	0.036193707671	0.935420717866	0.0283855744633	-0.298596926254	0.612449272726	-0.313852346472	q3	q2	24915000	25015000	100000	2	N61_rolling_raw_003;N61_rolling_raw_004
N61	rolling	N61_rolling_003	25175000	0.558733014455	0.243872856422	0.497260836345	0.258866307233	0.0299155764765	0.953177869862	0.016906553661	-0.213957279946	0.455917033518	-0.241959753572	q2	q2	25175000	25215000	40000	2	N61_rolling_raw_005;N61_rolling_raw_006
N61	rolling	N61_rolling_004	25395000	0.229197745418	0.0976463994154	0.763691137627	0.138662462958	0.0303648336337	0.948562527313	0.0210726390531	-0.0672815657816	0.184871389687	-0.117589823905	q2	q2	25395000	25405000	10000	2	N61_rolling_raw_007;N61_rolling_raw_008
N61	rolling	N61_rolling_005	28665000	0.314681745672	0.0303331168132	0.946715109253	0.0229517739338	0.237183666472	0.711297644848	0.05151868868	0.206850549659	-0.235417464405	0.0285669147462	q2	q2	28615000	28745000	130000	4	N61_rolling_raw_009;N61_rolling_raw_010;N61_rolling_raw_011;N61_rolling_raw_012
N61	rolling	N61_rolling_006	28945000	0.236241617207	0.0594468379712	0.931159454337	0.00939370769142	0.205764473009	0.749150220613	0.0450853063784	0.146317635037	-0.182009233725	0.035691598687	q2	q2	28945000	28955000	10000	2	N61_rolling_raw_013;N61_rolling_raw_014
N61	rolling	N61_rolling_007	29725000	0.314470268323	0.237183666472	0.711367569877	0.0514487636512	0.0304346996675	0.94660153672	0.0229637636122	-0.206748966805	0.235233966844	-0.028485000039	q2	q2	29725000	29835000	110000	6	N61_rolling_raw_015;N61_rolling_raw_016;N61_rolling_raw_017;N61_rolling_raw_018;N61_rolling_raw_019;N61_rolling_raw_020
N61	rolling	N61_rolling_008	30165000	0.216775532435	0.21079096563	0.753503118782	0.0357059155882	0.0475543515841	0.894376565727	0.0580690826893	-0.163236614046	0.140873446945	0.0223631671011	q2	q2	30165000	30165000	0	1	N61_rolling_raw_021
N61	rolling	N61_rolling_009	31985000	0.413694682353	0.100536819818	0.861172932659	0.0382902475234	0.228619863798	0.526451349551	0.244928786651	0.128083043981	-0.334721583108	0.206638539128	q2	q2	31985000	31985000	0	1	N61_rolling_raw_022
N61	rolling	N61_rolling_010	32725000	0.629477149725	0.0757499217323	0.881238085914	0.0430119923531	0.309256103142	0.367966536061	0.322777360797	0.233506181409	-0.513271549853	0.279765368444	q2	q2	32725000	32725000	0	1	N61_rolling_raw_023
N61	rolling	N61_rolling_011	33265000	0.260977219835	0.228619863798	0.526451349551	0.244928786651	0.122295544709	0.739538207044	0.138166248247	-0.10632431909	0.213086857493	-0.106762538404	q2	q2	33265000	33265000	0	1	N61_rolling_raw_024
N61	rolling	N61_rolling_012	33515000	0.616393933318	0.309256103142	0.367966536061	0.322777360797	0.0618655659596	0.871226268347	0.066908165693	-0.247390537182	0.503259732286	-0.255869195104	q2	q2	33515000	33515000	0	1	N61_rolling_raw_025
N61	rolling	N61_rolling_013	34535000	0.649801225449	0.0618655659596	0.871226268347	0.066908165693	0.348759675716	0.341269648726	0.309970675558	0.286894109756	-0.529956619621	0.243062509865	q2	q1	34505000	34705000	200000	3	N61_rolling_raw_026;N61_rolling_raw_027;N61_rolling_raw_028
N61	rolling	N61_rolling_014	34745000	0.525452615552	0.122967755613	0.754446366007	0.12258587838	0.375568737957	0.327821411322	0.296609850721	0.252600982344	-0.426624954685	0.17402397234	q2	q1	34745000	34905000	160000	3	N61_rolling_raw_029;N61_rolling_raw_030;N61_rolling_raw_031
N61	rolling	N61_rolling_015	34965000	0.435077391007	0.188829695946	0.654448821751	0.156721482303	0.401361776018	0.301669588786	0.296968635197	0.212532080071	-0.352779232965	0.140247152894	q2	q1	34965000	34965000	0	1	N61_rolling_raw_032
N61	rolling	N61_rolling_016	35415000	0.234156249519	0.252562479403	0.525391878886	0.222045641711	0.368347633404	0.335742240674	0.295910125922	0.115785154001	-0.189649638212	0.0738644842114	q2	q1	35415000	35415000	0	1	N61_rolling_raw_033
N61	rolling	N61_rolling_017	36575000	0.244955891432	0.386194559463	0.312319271178	0.301486169358	0.201918834689	0.471788681282	0.326292484029	-0.184275724774	0.159469410103	0.0248063146712	q1	q2	36535000	36575000	40000	2	N61_rolling_raw_034;N61_rolling_raw_035
N61	rolling	N61_rolling_018	37215000	0.255034606191	0.201918834689	0.471788681282	0.326292484029	0.351128401198	0.271391592523	0.377480006279	0.14920956651	-0.200397088759	0.0511875222494	q2	q3	37215000	37245000	30000	2	N61_rolling_raw_036;N61_rolling_raw_037
N61	rolling	N61_rolling_019	43675000	0.498415939258	0.386694164136	0.268627661401	0.344678174463	0.176026858603	0.675496866031	0.148476275365	-0.210667305533	0.40686920463	-0.196201899098	q1	q2	43555000	43675000	120000	3	N61_rolling_raw_038;N61_rolling_raw_039;N61_rolling_raw_040
N61	rolling	N61_rolling_020	44135000	0.849062889472	0.371611774006	0.306159052834	0.32222917316	0.000298430666323	0.998815424635	0.000886144698854	-0.37131334334	0.692656371801	-0.321343028461	q1	q2	44015000	44135000	120000	3	N61_rolling_raw_041;N61_rolling_raw_042;N61_rolling_raw_043
N61	rolling	N61_rolling_021	48295000	0.236921811289	0.0031548335339	0.982240272764	0.0146048937024	0.105894949381	0.788921901081	0.105183149538	0.102740115847	-0.193318371682	0.0905782558352	q2	q2	48185000	48375000	190000	16	N61_rolling_raw_044;N61_rolling_raw_045;N61_rolling_raw_046;N61_rolling_raw_047;N61_rolling_raw_048;N61_rolling_raw_049;N61_rolling_raw_050;N61_rolling_raw_051;N61_rolling_raw_052;N61_rolling_raw_053;N61_rolling_raw_054;N61_rolling_raw_055;N61_rolling_raw_056;N61_rolling_raw_057;N61_rolling_raw_058;N61_rolling_raw_059
N61	rolling	N61_rolling_022	48495000	0.39226984876	0	1	0	0.197985654225	0.682972593832	0.119041751943	0.197985654225	-0.317027406168	0.119041751943	q2	q2	48395000	48565000	170000	6	N61_rolling_raw_060;N61_rolling_raw_061;N61_rolling_raw_062;N61_rolling_raw_063;N61_rolling_raw_064;N61_rolling_raw_065
N61	rolling	N61_rolling_023	48625000	0.394892052204	0	1	0	0.198846287586	0.68077016413	0.120383548285	0.198846287586	-0.31922983587	0.120383548285	q2	q2	48625000	48625000	0	1	N61_rolling_raw_066
N61	rolling	N61_rolling_024	50005000	0.37416972853	0.198846287586	0.68077016413	0.120383548285	0.010806730992	0.983314129851	0.00587913915677	-0.188039556594	0.302543965721	-0.114504409128	q2	q2	49895000	50005000	110000	3	N61_rolling_raw_067;N61_rolling_raw_068;N61_rolling_raw_069
N61	rolling	N61_rolling_025	56825000	0.81966012171	0	1	0	0.362877746339	0.331569172616	0.305553081045	0.362877746339	-0.668430827384	0.305553081045	q2	q1	56825000	57015000	190000	4	N61_rolling_raw_070;N61_rolling_raw_071;N61_rolling_raw_072;N61_rolling_raw_073
N61	rolling	N61_rolling_026	57125000	0.358654040596	0.209370287848	0.638376276863	0.15225343529	0.373053541189	0.346243887557	0.280702571255	0.163683253341	-0.292132389306	0.128449135965	q2	q1	57125000	57205000	80000	2	N61_rolling_raw_074;N61_rolling_raw_075
N62	rolling	N62_rolling_001	24255000	0.433898662941	0.325359029987	0.401962542735	0.272678427277	0.67278474914	0.168203433444	0.159011817417	0.347425719152	-0.233759109292	-0.11366660986	q2	q1	24095000	24285000	190000	4	N62_rolling_raw_001;N62_rolling_raw_002;N62_rolling_raw_003;N62_rolling_raw_004
N62	rolling	N62_rolling_002	24325000	0.450013893707	0.375854769641	0.38562681042	0.238518419939	0.734961824624	0.13870975748	0.126328417896	0.359107054983	-0.24691705294	-0.112190002043	q2	q1	24325000	24325000	0	1	N62_rolling_raw_005
N62	rolling	N62_rolling_003	24765000	0.622823218104	0.356348129479	0.401089500075	0.242562370446	0.853989766321	0.0616100832428	0.0844001504358	0.497641636842	-0.339479416832	-0.15816222001	q2	q1	24735000	24765000	30000	2	N62_rolling_raw_006;N62_rolling_raw_007
N62	rolling	N62_rolling_004	25025000	0.750895222326	0.368258832064	0.384337791742	0.247403376194	0.975300099494	0.00633566915892	0.0183642313473	0.60704126743	-0.378002122583	-0.229039144846	q2	q1	25025000	25025000	0	1	N62_rolling_raw_008
N62	rolling	N62_rolling_005	25335000	0.343096483269	0.693630043285	0.160610730468	0.145759226248	0.973585054036	0.0118872327378	0.0145277132263	0.279955010751	-0.14872349773	-0.131231513022	q1	q1	25335000	25335000	0	1	N62_rolling_raw_009
N62	rolling	N62_rolling_006	32165000	0.719556621701	0.959616324196	0.0144524669	0.0259312089041	0.373654349602	0.270456580823	0.355889069575	-0.585961974593	0.256004113923	0.329957860671	q1	q1	32165000	32165000	0	1	N62_rolling_raw_010
N62	rolling	N62_rolling_007	32725000	0.802783043188	0.954452068772	0.0182932294295	0.0272547017986	0.301162642223	0.298677796962	0.400159560815	-0.653289426549	0.280384567533	0.372904859017	q1	q3	32725000	32885000	160000	2	N62_rolling_raw_011;N62_rolling_raw_012
N62	rolling	N62_rolling_008	33565000	0.681371698406	0.301162642223	0.298677796962	0.400159560815	0.853003719014	0.0838904342462	0.0631058467396	0.551841076792	-0.214787362716	-0.337053714076	q3	q1	33425000	33565000	140000	3	N62_rolling_raw_013;N62_rolling_raw_014;N62_rolling_raw_015
N62	rolling	N62_rolling_009	34515000	0.664554715381	0.881269709064	0.0470658726793	0.071664418257	0.339388975356	0.342305163268	0.318305861376	-0.541880733708	0.295239290589	0.246641443119	q1	q2	34515000	34515000	0	1	N62_rolling_raw_016
N62	rolling	N62_rolling_010	34785000	0.521227996537	0.762721048683	0.120238968214	0.117039983103	0.338401728553	0.304041122924	0.357557148523	-0.42431932013	0.183802154711	0.24051716542	q1	q3	34785000	34785000	0	1	N62_rolling_raw_017
N62	rolling	N62_rolling_011	35405000	0.361951564576	0.61764744318	0.195687716295	0.186664840525	0.323231894272	0.320667558546	0.356100547182	-0.294415548909	0.124979842252	0.169435706657	q1	q3	35405000	35555000	150000	3	N62_rolling_raw_018;N62_rolling_raw_019;N62_rolling_raw_020
N62	rolling	N62_rolling_012	44135000	0.798487314101	0.334017506568	0.286164692244	0.379817801188	0.983875628535	0.0065601431173	0.00956422834791	0.649858121967	-0.279604549127	-0.37025357284	q3	q1	43975000	44135000	160000	3	N62_rolling_raw_021;N62_rolling_raw_022;N62_rolling_raw_023
N62	rolling	N62_rolling_013	44395000	0.511943517633	0.531214663286	0.196894287692	0.271891049021	0.946887491825	0.0272043979643	0.0259081102109	0.415672828538	-0.169689889728	-0.24598293881	q1	q1	44395000	44395000	0	1	N62_rolling_raw_024
N62	rolling	N62_rolling_014	48565000	0.297263155044	0.994453612779	0.00208690562223	0.00345948159845	0.752599417744	0.140694583762	0.106705998494	-0.241854195036	0.13860767814	0.103246516896	q1	q1	48405000	48565000	160000	2	N62_rolling_raw_025;N62_rolling_raw_026
N62	rolling	N62_rolling_015	56325000	0.38692231841	0.986013166606	0.00841427385199	0.00557255954242	0.6742523383	0.208547707026	0.117199954674	-0.311760828306	0.200133433174	0.111627395132	q1	q1	56325000	56325000	0	1	N62_rolling_raw_027
N62	rolling	N62_rolling_016	56825000	0.809455555749	0.987861841158	0.00544290890814	0.00669524993427	0.331271439147	0.399128715946	0.269599844907	-0.65659040201	0.393685807037	0.262904594973	q1	q2	56825000	57015000	190000	5	N62_rolling_raw_028;N62_rolling_raw_029;N62_rolling_raw_030;N62_rolling_raw_031;N62_rolling_raw_032
N62	rolling	N62_rolling_017	57075000	0.460643310008	0.674422866567	0.208316937795	0.117260195638	0.298780579673	0.379835205713	0.321384214614	-0.375642286894	0.171518267918	0.204124018976	q1	q2	57075000	57185000	110000	4	N62_rolling_raw_033;N62_rolling_raw_034;N62_rolling_raw_035;N62_rolling_raw_036
N62	rolling	N62_rolling_018	61995000	0.257569283841	0.25551167995	0.28384814464	0.46064017541	0.431014482429	0.296446345944	0.272539171627	0.175502802479	0.0125982013035	-0.188101003783	q3	q1	61995000	61995000	0	1	N62_rolling_raw_037
N62	rolling	N62_rolling_019	64965000	0.314597277404	0.207403290555	0.462792117847	0.329804591597	0.463036163247	0.313190381994	0.223773454759	0.255632872692	-0.149601735853	-0.106031136839	q2	q1	64845000	64965000	120000	2	N62_rolling_raw_038;N62_rolling_raw_039
