consensus_breakpoint_id	reference_position	min_position	max_position	cluster_span_bp	n_species_support	species_support	n_total_candidate_calls	n_same_species_calls_removed	removed_same_species_call_ids	mean_score	median_score	evidence_types	robust_species_count	parameter_recovery_fraction	confidence_class	source_breakpoint_ids	candidate_breakpoint_ids
DSB_013	19760078	19759888	19762179	2291	6	Stork,Flamingo,Dove,Sandgrouse,Turaco,Cuckoo	6	0		6.5	6.5	chromosome_switch,orientation_switch	6	0.888888888889	strong_consensus	Stork_BP004;Flamingo_BP003;Dove_BP010;Sandgrouse_BP004;Turaco_BP004;Cuckoo_BP005	Stork_BP004;Flamingo_BP003;Sandgrouse_BP004;Turaco_BP004;Cuckoo_BP005;Dove_BP010
DSB_014	25213019	25212948	25213032	84	6	Stork,Flamingo,Dove,Sandgrouse,Turaco,Cuckoo	6	0		6.03252672817	6.03543991342	order_reversal,orientation_switch	6	0.777777777778	strong_consensus	Stork_BP005;Flamingo_BP004;Dove_BP011;Sandgrouse_BP005;Turaco_BP005;Cuckoo_BP006	Sandgrouse_BP005;Cuckoo_BP006;Dove_BP011;Flamingo_BP004;Turaco_BP005;Stork_BP005
DSB_015	25559087	25555552	25563228	7676	6	Stork,Flamingo,Dove,Sandgrouse,Turaco,Cuckoo	6	0		10	11	chromosome_switch,gap_discrepancy,large_query_jump,order_reversal,orientation_switch	6	0.666666666667	strong_consensus	Stork_BP006;Flamingo_BP005;Dove_BP012;Sandgrouse_BP006;Turaco_BP006;Cuckoo_BP007	Flamingo_BP005;Stork_BP006;Cuckoo_BP007;Sandgrouse_BP006;Dove_BP012;Turaco_BP006
DSB_016	33234049	33233680	33234418	738	2	Sandgrouse,Turaco	2	0		8	8	chromosome_switch,gap_discrepancy,large_query_jump,order_reversal,orientation_switch	2	1	moderate_consensus	Sandgrouse_BP007;Turaco_BP007	Sandgrouse_BP007;Turaco_BP007
DSB_017	34021640	34021636	34069462	47826	4	Stork,Flamingo,Turaco,Cuckoo	4	0		8.75	8	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	4	1	strong_consensus	Stork_BP007;Flamingo_BP006;Turaco_BP008;Cuckoo_BP008	Cuckoo_BP008;Flamingo_BP006;Stork_BP007;Turaco_BP008
DSB_018	34232794	34228219	34232832	4613	3	Stork,Flamingo,Cuckoo	3	0		8	8	gap_discrepancy,large_query_jump,order_reversal	3	0.62962962963	moderate_consensus	Stork_BP008;Flamingo_BP007;Cuckoo_BP009	Cuckoo_BP009;Flamingo_BP007;Stork_BP008
DSB_019	34741919	34741919	34741919	0	1	Dove	1	0		8.94695886325	8.94695886325	gap_discrepancy,order_reversal,orientation_switch	1	0.814814814815	species_specific	Dove_BP013	Dove_BP013
DSB_020	35025837	35025574	35025868	294	4	Stork,Flamingo,Sandgrouse,Cuckoo	4	0		8	8	chromosome_switch,gap_discrepancy,large_query_jump,order_reversal,orientation_switch	4	0.666666666667	strong_consensus	Stork_BP009;Flamingo_BP008;Sandgrouse_BP008;Cuckoo_BP010	Cuckoo_BP010;Stork_BP009;Flamingo_BP008;Sandgrouse_BP008
DSB_021	35331645	35331645	35331645	0	1	Sandgrouse	1	0		6.07635268429	6.07635268429	order_reversal,orientation_switch	1	0.62962962963	species_specific	Sandgrouse_BP009	Sandgrouse_BP009
DSB_022	37255236	37215807	37261197	45390	4	Stork,Dove,Sandgrouse,Cuckoo	4	0		9.38234489777	9.3497919529	chromosome_switch,gap_discrepancy,large_query_jump,order_reversal,orientation_switch	4	1	strong_consensus	Stork_BP010;Dove_BP014;Sandgrouse_BP010;Cuckoo_BP011	Dove_BP014;Sandgrouse_BP010;Cuckoo_BP011;Stork_BP010
DSB_023	39237022	39215700	39241060	25360	6	Stork,Flamingo,Dove,Sandgrouse,Turaco,Cuckoo	6	0		8.5	8	chromosome_switch,gap_discrepancy,large_query_jump,order_reversal,orientation_switch	6	1	strong_consensus	Stork_BP011;Flamingo_BP009;Dove_BP015;Sandgrouse_BP011;Turaco_BP009;Cuckoo_BP012	Sandgrouse_BP011;Cuckoo_BP012;Flamingo_BP009;Dove_BP015;Turaco_BP009;Stork_BP011
DSB_024	42267292	42261258	42273326	12068	2	Stork,Dove	2	0		10.1319039821	10.1319039821	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	2	0.666666666667	moderate_consensus	Stork_BP012;Dove_BP016	Dove_BP016;Stork_BP012
DSB_025	44647530	44635438	44670480	35042	5	Stork,Flamingo,Dove,Sandgrouse,Cuckoo	5	0		10.4	11	chromosome_switch,gap_discrepancy,large_query_jump,order_reversal,orientation_switch	5	1	strong_consensus	Stork_BP013;Flamingo_BP010;Dove_BP017;Sandgrouse_BP012;Cuckoo_BP013	Flamingo_BP010;Cuckoo_BP013;Dove_BP017;Stork_BP013;Sandgrouse_BP012
DSB_026	45658664	45614290	45721436	107146	6	Stork,Flamingo,Dove,Sandgrouse,Turaco,Cuckoo	6	0		8.57278517077	8.49640452935	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	6	1	strong_consensus	Stork_BP014;Flamingo_BP011;Dove_BP018;Sandgrouse_BP013;Turaco_BP010;Cuckoo_BP014	Turaco_BP010;Cuckoo_BP014;Sandgrouse_BP013;Stork_BP014;Flamingo_BP011;Dove_BP018
DSB_027	46422770	46258704	46423282	164578	5	Stork,Flamingo,Dove,Sandgrouse,Turaco	5	0		8.43905279705	8.93839003799	gap_discrepancy,order_reversal,orientation_switch	5	1	strong_consensus	Stork_BP015;Flamingo_BP012;Dove_BP019;Sandgrouse_BP014;Turaco_BP011	Sandgrouse_BP014;Flamingo_BP012;Dove_BP019;Stork_BP015;Turaco_BP011
DSB_028	47143089	47014086	47184674	170588	3	Stork,Flamingo,Cuckoo	3	0		7.74159401194	8	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	3	1	moderate_consensus	Stork_BP016;Flamingo_BP013;Cuckoo_BP015	Flamingo_BP013;Cuckoo_BP015;Stork_BP016
DSB_029	47228924	47228924	47228924	0	1	Turaco	1	0		8	8	gap_discrepancy,large_query_jump,order_reversal	1	1	species_specific	Turaco_BP012	Turaco_BP012
DSB_030	49159743	49157896	49161590	3694	2	Flamingo,Sandgrouse	2	0		9.5	9.5	chromosome_switch,gap_discrepancy,large_query_jump,order_reversal,orientation_switch	2	0.814814814815	moderate_consensus	Flamingo_BP014;Sandgrouse_BP015	Flamingo_BP014;Sandgrouse_BP015
DSB_031	49624080	49623083	49634497	11414	6	Stork,Flamingo,Dove,Sandgrouse,Turaco,Cuckoo	6	0		10	11	chromosome_switch,gap_discrepancy,large_query_jump,order_reversal,orientation_switch	6	1	strong_consensus	Stork_BP017;Flamingo_BP015;Dove_BP020;Sandgrouse_BP016;Turaco_BP013;Cuckoo_BP016	Stork_BP017;Flamingo_BP015;Turaco_BP013;Sandgrouse_BP016;Dove_BP020;Cuckoo_BP016
DSB_032	50085260	50085260	50085260	0	1	Dove	1	0		6.32190524951	6.32190524951	order_reversal,orientation_switch	1	0.444444444444	species_specific	Dove_BP021	Dove_BP021
DSB_033	50410378	50387655	50411514	23859	3	Dove,Sandgrouse,Turaco	3	0		6.06321890645	6.06858179356	order_reversal,orientation_switch	3	1	moderate_consensus	Dove_BP022;Sandgrouse_BP017;Turaco_BP014	Sandgrouse_BP017;Dove_BP022;Turaco_BP014
DSB_034	50989362	50948141	51019502	71361	6	Stork,Flamingo,Dove,Sandgrouse,Turaco,Cuckoo	6	0		9.09398777803	8.86565952113	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	6	1	strong_consensus	Stork_BP018;Flamingo_BP016;Dove_BP023;Sandgrouse_BP018;Turaco_BP015;Cuckoo_BP017	Turaco_BP015;Cuckoo_BP017;Flamingo_BP016;Stork_BP018;Dove_BP023;Sandgrouse_BP018
DSB_035	51570722	51570722	51570722	0	1	Dove	1	0		9.54026967732	9.54026967732	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	1	0.666666666667	species_specific	Dove_BP024	Dove_BP024
DSB_036	51789124	51788870	51791966	3096	3	Stork,Sandgrouse,Cuckoo	3	0		10	11	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	3	1	moderate_consensus	Stork_BP019;Sandgrouse_BP019;Cuckoo_BP018	Stork_BP019;Sandgrouse_BP019;Cuckoo_BP018
DSB_037	55393543	55393543	55393543	0	1	Turaco	1	0		6.00267211877	6.00267211877	order_reversal,orientation_switch	1	0.666666666667	species_specific	Turaco_BP016	Turaco_BP016
DSB_038	55750019	55750019	55750019	0	1	Turaco	1	0		6.00000318489	6.00000318489	order_reversal,orientation_switch	1	0.444444444444	species_specific	Turaco_BP017	Turaco_BP017
DSB_039	56712451	56712451	56712451	0	1	Turaco	1	0		8.11909089668	8.11909089668	gap_discrepancy,order_reversal,orientation_switch	1	1	species_specific	Turaco_BP018	Turaco_BP018
DSB_040	57203613	57203140	57204086	946	2	Stork,Cuckoo	2	0		11	11	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	2	1	moderate_consensus	Stork_BP020;Cuckoo_BP019	Cuckoo_BP019;Stork_BP020
DSB_041	58171516	58163165	58187508	24343	5	Stork,Flamingo,Sandgrouse,Turaco,Cuckoo	5	0		8.77471399251	8	chromosome_switch,gap_discrepancy,large_query_jump,order_reversal,orientation_switch	5	1	strong_consensus	Stork_BP021;Flamingo_BP017;Sandgrouse_BP020;Turaco_BP019;Cuckoo_BP020	Cuckoo_BP020;Stork_BP021;Flamingo_BP017;Turaco_BP019;Sandgrouse_BP020
DSB_042	59982754	59969214	60000682	31468	3	Dove,Sandgrouse,Turaco	3	0		8.50438196494	8	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	3	1	moderate_consensus	Dove_BP025;Sandgrouse_BP021;Turaco_BP020	Dove_BP025;Turaco_BP020;Sandgrouse_BP021
DSB_043	61035423	61031024	61053871	22847	3	Stork,Flamingo,Cuckoo	3	0		11	11	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	3	1	moderate_consensus	Stork_BP022;Flamingo_BP018;Cuckoo_BP021	Stork_BP022;Cuckoo_BP021;Flamingo_BP018
