structural_set	flank_window_bp	species	breakpoint_id	breakpoint_position	left_query_chrom	right_query_chrom	left_query_end_or_boundary	right_query_start_or_boundary	left_relative_orientation	right_relative_orientation	same_query_chromosome	query_order_relationship	query_gap_or_jump	query_gap_class	chromosome_switch	orientation_switch	order_reversal	left_run_length	right_run_length	distance_left_run_to_breakpoint	distance_right_run_to_breakpoint	junction_signature	confidence
primary;stringent;inclusive	250000	Dove	DSB_013	19760078	OU015479.1	LR594554.2	4866422	33411206	+	+	false	chromosome_switch		unknown_gap	true	false	false	25121	1373494	55750	59952	different_chr:+:+:chromosome_switch:unknown_gap	limited_short_flank_run
primary;stringent;inclusive	250000	Sandgrouse	DSB_013	19760078	chr18	chr5	13142194	46265898	+	-	false	chromosome_switch		unknown_gap	true	true	false	75673	110137	55931	55932	different_chr:+:-:chromosome_switch:unknown_gap	high
primary;stringent;inclusive	250000	Turaco	DSB_013	19760078	chr13	chr5	14525079	70802313	+	-	false	chromosome_switch		unknown_gap	true	true	false	50784	1160577	55931	55932	different_chr:+:-:chromosome_switch:unknown_gap	high
primary;stringent;inclusive	250000	Cuckoo	DSB_013	19760078	CM030646.1	CM030640.1	12601795	46796919	+	-	false	chromosome_switch		unknown_gap	true	true	false	410356	572883	55931	55932	different_chr:+:-:chromosome_switch:unknown_gap	high
primary;stringent;inclusive	250000	Stork	DSB_013	19760078	CM030203.1	CM030196.1	10301328	49651809	-	-	false	chromosome_switch		unknown_gap	true	false	false	51679	1377514	56311	55932	different_chr:-:-:chromosome_switch:unknown_gap	high
primary;stringent;inclusive	250000	Chicken	DSB_013	19760078	GalGal6_chr4	GalGal6_chr4	19760078	19760079	+	+	true	forward	1	adjacent	false	false	false	250000	250000	0	0	same_chr:+:+:forward:adjacent	reference_defined
primary;stringent;inclusive	250000	Flamingo	DSB_014	25213019	chr4	chr4	43511355	43072649	-	+	true	reverse	438706	distant	false	true	true	3876708	329491	8658	8670	same_chr:-:+:reverse:distant	high
primary;stringent;inclusive	250000	Dove	DSB_014	25213019	LR594554.2	LR594554.2	39571521	40001035	+	-	true	forward	429514	distant	false	true	false	744579	330943	8682	8670	same_chr:+:-:forward:distant	high
primary;stringent;inclusive	250000	Sandgrouse	DSB_014	25213019	chr5	chr5	40449992	40059532	-	+	true	reverse	390460	distant	false	true	true	719553	330937	8813	8670	same_chr:-:+:reverse:distant	high
primary;stringent;inclusive	250000	Turaco	DSB_014	25213019	chr5	chr5	64515340	64094211	-	+	true	reverse	421129	distant	false	true	true	1962341	329491	8648	8670	same_chr:-:+:reverse:distant	high
primary;stringent;inclusive	250000	Cuckoo	DSB_014	25213019	CM030640.1	CM030640.1	41090975	40707898	-	+	true	reverse	383077	distant	false	true	true	3876892	330907	8797	8670	same_chr:-:+:reverse:distant	high
primary;stringent;inclusive	250000	Stork	DSB_014	25213019	CM030196.1	CM030196.1	43364790	42935006	-	+	true	reverse	429784	distant	false	true	true	3877044	331590	8645	8670	same_chr:-:+:reverse:distant	high
primary;stringent;inclusive	250000	Chicken	DSB_014	25213019	GalGal6_chr4	GalGal6_chr4	25213019	25213020	+	+	true	forward	1	adjacent	false	false	false	250000	250000	0	0	same_chr:+:+:forward:adjacent	reference_defined
primary;stringent;inclusive	250000	Flamingo	DSB_015	25559087	chr4	chr4	43497164	75522256	+	-	true	forward	32025092	very_distant	false	true	false	329491	896054	7908	837	same_chr:+:-:forward:very_distant	high
primary;stringent;inclusive	250000	Dove	DSB_015	25559087	LR594554.2	LR594554.2	39575078	15786768	-	+	true	reverse	23788310	very_distant	false	true	true	330943	2436337	6456	6477	same_chr:-:+:reverse:very_distant	high
primary;stringent;inclusive	250000	Sandgrouse	DSB_015	25559087	chr5	chr15	40446408	9706756	+	-	false	chromosome_switch		unknown_gap	true	true	false	330937	890480	6462	6477	different_chr:+:-:chromosome_switch:unknown_gap	high
primary;stringent;inclusive	250000	Turaco	DSB_015	25559087	chr5	chr5	64510262	9562293	+	+	true	reverse	54947969	very_distant	false	false	true	329491	880699	7908	16191	same_chr:+:+:reverse:very_distant	high
primary;stringent;inclusive	250000	Cuckoo	DSB_015	25559087	CM030640.1	CM030640.1	41087807	71124306	+	-	true	forward	30036499	very_distant	false	true	false	330907	890379	6492	6477	same_chr:+:-:forward:very_distant	high
primary;stringent;inclusive	250000	Stork	DSB_015	25559087	CM030196.1	CM030196.1	43361240	75467296	+	-	true	forward	32106056	very_distant	false	true	false	331590	896050	5809	837	same_chr:+:-:forward:very_distant	high
primary;stringent;inclusive	250000	Chicken	DSB_015	25559087	GalGal6_chr4	GalGal6_chr4	25559087	25559088	+	+	true	forward	1	adjacent	false	false	false	250000	250000	0	0	same_chr:+:+:forward:adjacent	reference_defined
primary;inclusive	250000	Flamingo	DSB_016	33234049	chr4	chr4	66939555	50805550	-	-	true	reverse	16134005	very_distant	false	false	true	5113975	755410	3240	2580	same_chr:-:-:reverse:very_distant	high
primary;inclusive	250000	Dove	DSB_016	33234049	LR594554.2	LR594554.2	24505047	32455481	+	+	true	forward	7950434	very_distant	false	false	false	3170753	781462	3276	2580	same_chr:+:+:forward:very_distant	high
primary;inclusive	250000	Sandgrouse	DSB_016	33234049	chr15	chr5	2003815	47163718	-	-	false	chromosome_switch		unknown_gap	true	false	false	5113896	767148	3319	2580	different_chr:-:-:chromosome_switch:unknown_gap	high
primary;inclusive	250000	Turaco	DSB_016	33234049	chr5	chr5	17988710	71772763	+	-	true	forward	53784053	very_distant	false	true	false	5117500	755430	1843	2580	same_chr:+:-:forward:very_distant	high
primary;inclusive	250000	Cuckoo	DSB_016	33234049	CM030640.1	CM030640.1	62839351	47724496	-	-	true	reverse	15114855	very_distant	false	false	true	5115372	755405	1843	2580	same_chr:-:-:reverse:very_distant	high
primary;inclusive	250000	Stork	DSB_016	33234049	CM030196.1	CM030196.1	66733528	50592994	-	-	true	reverse	16140534	very_distant	false	false	true	5115372	755417	1843	2580	same_chr:-:-:reverse:very_distant	high
primary;inclusive	250000	Chicken	DSB_016	33234049	GalGal6_chr4	GalGal6_chr4	33234049	33234050	+	+	true	forward	1	adjacent	false	false	false	250000	250000	0	0	same_chr:+:+:forward:adjacent	reference_defined
primary;stringent;inclusive	250000	Flamingo	DSB_017	34021640	chr4	chr4	49916357	61019995	-	-	true	forward	11103638	very_distant	false	false	false	755410	175958	29602	29599	same_chr:-:-:forward:very_distant	high
primary;stringent;inclusive	250000	Dove	DSB_017	34021640	LR594554.2	LR594554.2	33381006	312480	+	-	true	reverse	33068526	very_distant	false	true	true	781462	175818	3550	29698	same_chr:+:-:reverse:very_distant	high
primary;stringent;inclusive	250000	Sandgrouse	DSB_017	34021640	chr5	chr15	46312607	21937351	-	-	false	chromosome_switch		unknown_gap	true	false	false	767148	11160	17864	29599	different_chr:-:-:chromosome_switch:unknown_gap	limited_short_flank_run
primary;stringent;inclusive	250000	Turaco	DSB_017	34021640	chr5	chr5	70865270	3483264	-	-	true	reverse	67382006	very_distant	false	false	true	755430	11211	29582	29599	same_chr:-:-:reverse:very_distant	limited_short_flank_run
primary;stringent;inclusive	250000	Cuckoo	DSB_017	34021640	CM030640.1	CM030640.1	46858007	77257776	-	-	true	forward	30399769	very_distant	false	false	false	755405	9702	29607	29599	same_chr:-:-:forward:very_distant	limited_short_flank_run
primary;stringent;inclusive	250000	Stork	DSB_017	34021640	CM030196.1	CM030196.1	49713857	82160563	-	-	true	forward	32446706	very_distant	false	false	false	755417	11211	29595	29599	same_chr:-:-:forward:very_distant	limited_short_flank_run
primary;stringent;inclusive	250000	Chicken	DSB_017	34021640	GalGal6_chr4	GalGal6_chr4	34021640	34021641	+	+	true	forward	1	adjacent	false	false	false	250000	250000	0	0	same_chr:+:+:forward:adjacent	reference_defined
primary;inclusive	250000	Flamingo	DSB_018	34232794	chr4	chr4	60810234	76009500	-	-	true	forward	15199266	very_distant	false	false	false	175958	339613	5598	5598	same_chr:-:-:forward:very_distant	high
primary;inclusive	250000	Dove	DSB_018	34232794	LR594554.2	LR594554.2	167823	15327149	-	+	true	forward	15159326	very_distant	false	true	false	175818	339613	5639	5598	same_chr:-:+:forward:very_distant	high
primary;inclusive	250000	Sandgrouse	DSB_018	34232794	chr15	chr15	22128681	10126456	+	-	true	reverse	12002225	very_distant	false	true	true	161084	322852	5588	22797	same_chr:+:-:reverse:very_distant	high
primary;inclusive	250000	Turaco	DSB_018	34232794	chr5	chr5	77342513	9082479	+	+	true	reverse	68260034	very_distant	false	false	true	150649	340813	5671	4398	same_chr:+:+:reverse:very_distant	high
primary;inclusive	250000	Cuckoo	DSB_018	34232794	CM030640.1	CM030640.1	57542294	71587513	-	-	true	forward	14045219	very_distant	false	false	false	152011	339359	15002	5852	same_chr:-:-:forward:very_distant	high
primary;inclusive	250000	Stork	DSB_018	34232794	CM030196.1	CM030196.1	60536363	75958180	-	-	true	forward	15421817	very_distant	false	false	false	161490	355243	5523	5598	same_chr:-:-:forward:very_distant	high
primary;inclusive	250000	Chicken	DSB_018	34232794	GalGal6_chr4	GalGal6_chr4	34232794	34232795	+	+	true	forward	1	adjacent	false	false	false	250000	250000	0	0	same_chr:+:+:forward:adjacent	reference_defined
primary;stringent;inclusive	250000	Flamingo	DSB_020	35025837	chr4	chr4	61555004	51435988	+	+	true	reverse	10119016	very_distant	false	false	true	270097	2229577	632	633	same_chr:+:+:reverse:very_distant	high
primary;stringent;inclusive	250000	Dove	DSB_020	35025837	LR594554.2	LR594554.2	819789	31824417	-	-	true	forward	31004628	very_distant	false	false	false	53737	281130	525	758	same_chr:-:-:forward:very_distant	high
primary;stringent;inclusive	250000	Sandgrouse	DSB_020	35025837	chr15	chr5	21647375	47701841	-	+	false	chromosome_switch		unknown_gap	true	true	false	270105	157709	572	633	different_chr:-:+:chromosome_switch:unknown_gap	high
primary;stringent;inclusive	250000	Turaco	DSB_020	35025837	chr5	chr5	1840993	72423327	+	+	true	forward	70582334	very_distant	false	false	false	259346	2229504	914	633	same_chr:+:+:forward:very_distant	high
primary;stringent;inclusive	250000	Cuckoo	DSB_020	35025837	CM030640.1	CM030640.1	77725002	48357324	+	+	true	reverse	29367678	very_distant	false	false	true	269470	2227340	1160	633	same_chr:+:+:reverse:very_distant	high
primary;stringent;inclusive	250000	Stork	DSB_020	35025837	CM030196.1	CM030196.1	82681103	51225314	+	+	true	reverse	31455789	very_distant	false	false	true	270095	2229560	634	633	same_chr:+:+:reverse:very_distant	high
primary;stringent;inclusive	250000	Chicken	DSB_020	35025837	GalGal6_chr4	GalGal6_chr4	35025837	35025838	+	+	true	forward	1	adjacent	false	false	false	250000	250000	0	0	same_chr:+:+:forward:adjacent	reference_defined
primary;stringent;inclusive	250000	Flamingo	DSB_022	37255236	chr4	chr4	53960507	51435988	+	+	true	reverse	2524519	very_distant	false	false	true	2229577	2229577	0	0	same_chr:+:+:reverse:very_distant	high
primary;stringent;inclusive	250000	Dove	DSB_022	37255236	LR594554.2	LR594554.2	4542492	4618751	-	-	true	forward	76259	near	false	false	false	85735	85735	0	0	same_chr:-:-:forward:near	high
primary;stringent;inclusive	250000	Sandgrouse	DSB_022	37255236	chr5	chr15	47948811	16406123	-	+	false	chromosome_switch		unknown_gap	true	true	false	57934	1918017	22241	12540	different_chr:-:+:chromosome_switch:unknown_gap	high
primary;stringent;inclusive	250000	Turaco	DSB_022	37255236	chr5	chr5	75006595	72423327	+	+	true	reverse	2583268	very_distant	false	false	true	2229504	2229504	0	0	same_chr:+:+:reverse:very_distant	high
primary;stringent;inclusive	250000	Cuckoo	DSB_022	37255236	CM030640.1	CM030640.1	50772242	56270896	+	-	true	forward	5498654	very_distant	false	true	false	2227340	1921609	1427	11129	same_chr:+:-:forward:very_distant	high
primary;stringent;inclusive	250000	Stork	DSB_022	37255236	CM030196.1	CM030196.1	53742617	51225314	+	+	true	reverse	2517303	very_distant	false	false	true	2229560	2229560	0	0	same_chr:+:+:reverse:very_distant	high
primary;stringent;inclusive	250000	Chicken	DSB_022	37255236	GalGal6_chr4	GalGal6_chr4	37255236	37255237	+	+	true	forward	1	adjacent	false	false	false	250000	250000	0	0	same_chr:+:+:forward:adjacent	reference_defined
primary;stringent;inclusive	250000	Flamingo	DSB_023	39237022	chr4	chr4	85407348	36720707	+	+	true	reverse	48686641	very_distant	false	false	true	1953278	3003459	15969	8587	same_chr:+:+:reverse:very_distant	high
primary;stringent;inclusive	250000	Dove	DSB_023	39237022	LR594554.2	LR594554.2	5742151	46357935	-	-	true	forward	40615784	very_distant	false	false	false	1970137	1720329	521	7906	same_chr:-:-:forward:very_distant	high
primary;stringent;inclusive	250000	Sandgrouse	DSB_023	39237022	chr15	chr5	18214912	33933519	+	+	false	chromosome_switch		unknown_gap	true	false	false	1918017	3011170	51230	8587	different_chr:+:+:chromosome_switch:unknown_gap	high
primary;stringent;inclusive	250000	Turaco	DSB_023	39237022	chr5	chr5	80917315	57513392	+	+	true	reverse	23403923	very_distant	false	false	true	1968091	3003204	1156	8587	same_chr:+:+:reverse:very_distant	high
primary;stringent;inclusive	250000	Cuckoo	DSB_023	39237022	CM030640.1	CM030640.1	54040226	34809337	-	+	true	reverse	19230889	very_distant	false	true	true	1921609	2980005	49049	7906	same_chr:-:+:reverse:very_distant	high
primary;stringent;inclusive	250000	Stork	DSB_023	39237022	CM030196.1	CM030196.1	57023738	36514050	-	+	true	reverse	20509688	very_distant	false	true	true	541598	3003459	512	8587	same_chr:-:+:reverse:very_distant	high
primary;stringent;inclusive	250000	Chicken	DSB_023	39237022	GalGal6_chr4	GalGal6_chr4	39237022	39237023	+	+	true	forward	1	adjacent	false	false	false	250000	250000	0	0	same_chr:+:+:forward:adjacent	reference_defined
primary;inclusive	250000	Flamingo	DSB_024	42267292	chr4	chr4	40142800	43065984	+	-	true	forward	2923184	very_distant	false	true	false	3003459	98107	18225	30293	same_chr:+:-:forward:very_distant	high
primary;inclusive	250000	Dove	DSB_024	42267292	LR594554.2	LR594554.2	42949226	40008126	-	+	true	reverse	2941100	very_distant	false	true	true	1156149	273713	42360	30293	same_chr:-:+:reverse:very_distant	high
primary;inclusive	250000	Sandgrouse	DSB_024	42267292	chr5	chr5	37283452	40053190	+	-	true	forward	2769738	very_distant	false	true	false	3011170	97836	10514	30293	same_chr:+:-:forward:very_distant	high
primary;inclusive	250000	Turaco	DSB_024	42267292	chr5	chr5	61088315	64087665	+	-	true	forward	2999350	very_distant	false	true	false	3003204	98107	18480	30293	same_chr:+:-:forward:very_distant	high
primary;inclusive	250000	Cuckoo	DSB_024	42267292	CM030640.1	CM030640.1	38036212	40699842	+	-	true	forward	2663630	very_distant	false	true	false	2980005	98107	42360	30293	same_chr:+:-:forward:very_distant	high
primary;inclusive	250000	Stork	DSB_024	42267292	CM030196.1	CM030196.1	39982649	42928326	+	-	true	forward	2945677	very_distant	false	true	false	3003459	275428	18225	30293	same_chr:+:-:forward:very_distant	high
primary;inclusive	250000	Chicken	DSB_024	42267292	GalGal6_chr4	GalGal6_chr4	42267292	42267293	+	+	true	forward	1	adjacent	false	false	false	250000	250000	0	0	same_chr:+:+:forward:adjacent	reference_defined
primary;stringent;inclusive	250000	Flamingo	DSB_025	44647530	chr4	chr4	40263178	63219017	-	+	true	forward	22955839	very_distant	false	true	false	1968382	70367	53508	29323	same_chr:-:+:forward:very_distant	high
primary;stringent;inclusive	250000	Dove	DSB_025	44647530	LR594554.2	LR594554.2	42836839	28066184	+	-	true	reverse	14770655	very_distant	false	true	true	478343	70374	29324	29323	same_chr:+:-:reverse:very_distant	high
primary;stringent;inclusive	250000	Sandgrouse	DSB_025	44647530	chr5	chr5	37298084	37878774	-	-	true	forward	580690	distant	false	false	false	480825	480825	0	0	same_chr:-:-:forward:distant	high
primary;stringent;inclusive	250000	Turaco	DSB_025	44647530	chr5	chr5	61188602	977732	-	-	true	reverse	60210870	very_distant	false	false	true	1992566	70367	29324	29323	same_chr:-:-:reverse:very_distant	high
primary;stringent;inclusive	250000	Cuckoo	DSB_025	44647530	CM030640.1	CM030640.1	38139355	79025974	-	+	true	forward	40886619	very_distant	false	true	false	1601937	43208	32911	29323	same_chr:-:+:forward:very_distant	limited_short_flank_run
primary;stringent;inclusive	250000	Stork	DSB_025	44647530	CM030196.1	CM030196.1	40065861	84296627	-	+	true	forward	44230766	very_distant	false	true	false	484729	36924	22938	29323	same_chr:-:+:forward:very_distant	limited_short_flank_run
primary;stringent;inclusive	250000	Chicken	DSB_025	44647530	GalGal6_chr4	GalGal6_chr4	44647530	44647531	+	+	true	forward	1	adjacent	false	false	false	250000	250000	0	0	same_chr:+:+:forward:adjacent	reference_defined
primary;stringent;inclusive	250000	Flamingo	DSB_026	45658664	chr4	chr4	64766806	65988410	+	-	true	forward	1221604	very_distant	false	true	false	23165	476137	19388	19668	same_chr:+:-:forward:very_distant	limited_short_flank_run
primary;stringent;inclusive	250000	Dove	DSB_026	45658664	LR594554.2	LR594554.2	26609287	25673223	-	+	true	reverse	936064	distant	false	true	true	21250	347691	22314	147859	same_chr:-:+:reverse:distant	limited_distant_flank
primary;stringent;inclusive	250000	Sandgrouse	DSB_026	45658664	chr15	chr15	23654925	1148146	+	-	true	reverse	22506779	very_distant	false	true	true	20609	23736	19773	19668	same_chr:+:-:reverse:very_distant	limited_short_flank_run
primary;stringent;inclusive	250000	Turaco	DSB_026	45658664	chr5	chr5	18865876	19218331	+	+	true	forward	352455	distant	false	false	false	16903	323469	772	172336	same_chr:+:+:forward:distant	limited_distant_flank
primary;stringent;inclusive	250000	Cuckoo	DSB_026	45658664	CM030640.1	CM030640.1	79960683	60742726	+	+	true	reverse	19217957	very_distant	false	false	true	16512	225645	185996	147859	same_chr:+:+:reverse:very_distant	limited_distant_flank
primary;stringent;inclusive	250000	Stork	DSB_026	45658664	CM030196.1	CM030196.1	64513195	65757181	+	-	true	forward	1243986	very_distant	false	true	false	19245	23774	19563	19668	same_chr:+:-:forward:very_distant	limited_short_flank_run
primary;stringent;inclusive	250000	Chicken	DSB_026	45658664	GalGal6_chr4	GalGal6_chr4	45658664	45658665	+	+	true	forward	1	adjacent	false	false	false	250000	250000	0	0	same_chr:+:+:forward:adjacent	reference_defined
primary;stringent;inclusive	250000	Flamingo	DSB_027	46422770	chr4	chr4	64805645	66165235	-	+	true	forward	1359590	very_distant	false	true	false	158700	580679	6435	6434	same_chr:-:+:forward:very_distant	high
primary;stringent;inclusive	250000	Dove	DSB_027	46422770	LR594554.2	LR594554.2	26608696	25262179	+	-	true	reverse	1346517	very_distant	false	true	true	124367	580626	6433	6434	same_chr:+:-:reverse:very_distant	high
primary;stringent;inclusive	250000	Sandgrouse	DSB_027	46422770	chr15	chr15	215264	1288397	+	+	true	forward	1073133	very_distant	false	false	false	143338	580347	6433	6434	same_chr:+:+:forward:very_distant	high
primary;stringent;inclusive	250000	Turaco	DSB_027	46422770	chr5	chr5	20138022	18763631	+	-	true	reverse	1374391	very_distant	false	true	true	133899	579502	6461	7486	same_chr:+:-:reverse:very_distant	high
primary;stringent;inclusive	250000	Cuckoo	DSB_027	46422770	CM030640.1	CM030640.1	61566496	62066213	+	+	true	forward	499717	distant	false	false	false	135698	580172	6656	6434	same_chr:+:+:forward:distant	high
primary;stringent;inclusive	250000	Stork	DSB_027	46422770	CM030196.1	CM030196.1	64562832	65945738	-	+	true	forward	1382906	very_distant	false	true	false	134269	581105	6225	6434	same_chr:-:+:forward:very_distant	high
primary;stringent;inclusive	250000	Chicken	DSB_027	46422770	GalGal6_chr4	GalGal6_chr4	46422770	46422771	+	+	true	forward	1	adjacent	false	false	false	250000	250000	0	0	same_chr:+:+:forward:adjacent	reference_defined
primary;inclusive	250000	Flamingo	DSB_028	47143089	chr4	chr4	57454120	57658415	+	+	true	forward	204295	near	false	false	false	76753	8101	48048	59182	same_chr:+:+:forward:near	limited_short_flank_run
primary;inclusive	250000	Dove	DSB_028	47143089	LR594554.2	LR594554.2	28929009	28954279	+	-	true	forward	25270	near	false	true	false	6116	7328	118685	74218	same_chr:+:-:forward:near	limited_short_flank_run
primary;inclusive	250000	Sandgrouse	DSB_028	47143089	chr15	chr15	18308540	18400909	+	+	true	forward	92369	near	false	false	false	9207	190219	112987	114990	same_chr:+:+:forward:near	limited_short_flank_run
primary;inclusive	250000	Turaco	DSB_028	47143089	chr5		18009563		-			unresolved		unknown_gap				579502		133332		unresolved	unresolved_missing_flank
primary;inclusive	250000	Cuckoo	DSB_028	47143089	CM030640.1	CM030640.1	62821398	60677268	+	-	true	reverse	2144130	very_distant	false	true	true	580172	6807	133714	133714	same_chr:+:-:reverse:very_distant	limited_distant_flank
primary;inclusive	250000	Stork	DSB_028	47143089	CM030196.1	CM030196.1	64009149	63975108	+	+	true	reverse	34041	near	false	false	true	25608	25608	0	0	same_chr:+:+:reverse:near	limited_short_flank_run
primary;inclusive	250000	Chicken	DSB_028	47143089	GalGal6_chr4	GalGal6_chr4	47143089	47143090	+	+	true	forward	1	adjacent	false	false	false	250000	250000	0	0	same_chr:+:+:forward:adjacent	reference_defined
primary;inclusive	250000	Flamingo	DSB_030	49159743	chr4	chr4	59886065	51430490	+	-	true	reverse	8455575	very_distant	false	true	true	1833487	453062	9567	5874	same_chr:+:-:reverse:very_distant	high
primary;inclusive	250000	Dove	DSB_030	49159743	LR594554.2	LR594554.2	30687030	31830000	+	+	true	forward	1142970	very_distant	false	false	false	1375151	460721	9567	5874	same_chr:+:+:forward:very_distant	high
primary;inclusive	250000	Sandgrouse	DSB_030	49159743	chr15	chr5	19965241	47696776	+	-	false	chromosome_switch		unknown_gap	true	true	false	1474107	300414	2179	5874	different_chr:+:-:chromosome_switch:unknown_gap	high
primary;inclusive	250000	Turaco	DSB_030	49159743	chr5	chr5	83305045	72417297	-	-	true	reverse	10887748	very_distant	false	false	true	484387	453062	10197	5874	same_chr:-:-:reverse:very_distant	high
primary;inclusive	250000	Cuckoo	DSB_030	49159743	CM030640.1	CM030640.1	58614050	48347479	-	-	true	reverse	10266571	very_distant	false	false	true	586115	452614	9567	6285	same_chr:-:-:reverse:very_distant	high
primary;inclusive	250000	Stork	DSB_030	49159743	CM030196.1	CM030196.1	61626314	51219009	-	-	true	reverse	10407305	very_distant	false	false	true	1526744	453062	9567	5874	same_chr:-:-:reverse:very_distant	high
primary;inclusive	250000	Chicken	DSB_030	49159743	GalGal6_chr4	GalGal6_chr4	49159743	49159744	+	+	true	forward	1	adjacent	false	false	false	250000	250000	0	0	same_chr:+:+:forward:adjacent	reference_defined
