structural_interval_id	state	species_members	n_species
SI_Dove_01	A0	Stork,Dove,Sandgrouse,Turaco	4
SI_Dove_01	A1	Flamingo	1
SI_Dove_01	A2	Cuckoo	1
SI_Dove_02	A0	Stork,Dove,Sandgrouse,Turaco	4
SI_Dove_02	A1	Flamingo,Cuckoo	2
SI_Dove_03	A0	Stork,Dove,Sandgrouse,Turaco	4
SI_Dove_03	A1	Flamingo,Cuckoo	2
SI_Dove_04	A0	Stork,Flamingo,Sandgrouse,Turaco,Cuckoo	5
SI_Dove_04	A1	Dove	1
SI_Dove_05	A0	Stork	1
SI_Dove_05	A1	Flamingo	1
SI_Dove_05	A2	Dove	1
SI_Dove_05	A3	Sandgrouse	1
SI_Dove_05	A4	Turaco	1
SI_Dove_05	A5	Cuckoo	1
SI_Dove_06	A0	Stork,Flamingo,Sandgrouse,Turaco,Cuckoo	5
SI_Dove_06	A1	Dove	1
SI_Dove_07	A0	Stork,Flamingo,Sandgrouse,Turaco,Cuckoo	5
SI_Dove_07	A1	Dove	1
SI_Sandgrouse_01	A0	Stork,Dove,Sandgrouse,Turaco	4
SI_Sandgrouse_01	A1	Flamingo	1
SI_Sandgrouse_01	A2	Cuckoo	1
SI_Sandgrouse_02	A0	Stork,Dove,Sandgrouse,Turaco	4
SI_Sandgrouse_02	A1	Flamingo,Cuckoo	2
SI_Sandgrouse_03	A0	Stork,Sandgrouse,Turaco	3
SI_Sandgrouse_03	A1	Flamingo	1
SI_Sandgrouse_03	A2	Dove	1
SI_Sandgrouse_03	A3	Cuckoo	1
SI_Sandgrouse_04	A0	Stork	1
SI_Sandgrouse_04	A1	Flamingo	1
SI_Sandgrouse_04	A2	Dove	1
SI_Sandgrouse_04	A3	Sandgrouse	1
SI_Sandgrouse_04	A4	Turaco	1
SI_Sandgrouse_04	A5	Cuckoo	1
SI_Sandgrouse_05	A0	Stork,Dove,Sandgrouse,Turaco,Cuckoo	5
SI_Sandgrouse_05	A1	Flamingo	1
SI_Sandgrouse_06	A0	Stork,Dove,Turaco	3
SI_Sandgrouse_06	A1	Flamingo,Sandgrouse,Cuckoo	3
SI_Sandgrouse_07	A0	Stork,Flamingo,Sandgrouse,Turaco,Cuckoo	5
SI_Sandgrouse_07	A1	Dove	1
SI_Turaco_01	A0	Stork,Dove,Sandgrouse,Turaco	4
SI_Turaco_01	A1	Flamingo	1
SI_Turaco_01	A2	Cuckoo	1
SI_Turaco_02	A0	Stork,Dove,Sandgrouse,Turaco	4
SI_Turaco_02	A1	Flamingo,Cuckoo	2
SI_Turaco_03	A0	Stork,Dove,Sandgrouse,Turaco	4
SI_Turaco_03	A1	Flamingo	1
SI_Turaco_03	A2	Cuckoo	1
SI_Turaco_04	A0	Stork	1
SI_Turaco_04	A1	Flamingo	1
SI_Turaco_04	A2	Dove	1
SI_Turaco_04	A3	Sandgrouse	1
SI_Turaco_04	A4	Turaco	1
SI_Turaco_04	A5	Cuckoo	1
SI_Turaco_05	A0	Stork,Sandgrouse	2
SI_Turaco_05	A1	Flamingo	1
SI_Turaco_05	A2	Dove,Turaco,Cuckoo	3
SI_Turaco_06	A0	Stork,Dove,Turaco	3
SI_Turaco_06	A1	Flamingo,Sandgrouse,Cuckoo	3
SI_Turaco_07	A0	Stork,Dove,Turaco	3
SI_Turaco_07	A1	Flamingo,Sandgrouse,Cuckoo	3
SI_Cuckoo_01	A0	Stork,Dove,Sandgrouse,Turaco	4
SI_Cuckoo_01	A1	Flamingo	1
SI_Cuckoo_01	A2	Cuckoo	1
SI_Cuckoo_02	A0	Stork,Dove,Sandgrouse,Turaco	4
SI_Cuckoo_02	A1	Flamingo,Cuckoo	2
SI_Cuckoo_03	A0	Stork,Sandgrouse,Turaco	3
SI_Cuckoo_03	A1	Flamingo	1
SI_Cuckoo_03	A2	Dove	1
SI_Cuckoo_03	A3	Cuckoo	1
SI_Cuckoo_04	A0	Stork	1
SI_Cuckoo_04	A1	Flamingo	1
SI_Cuckoo_04	A2	Dove	1
SI_Cuckoo_04	A3	Sandgrouse	1
SI_Cuckoo_04	A4	Turaco	1
SI_Cuckoo_04	A5	Cuckoo	1
SI_Cuckoo_05	A0	Stork	1
SI_Cuckoo_05	A1	Flamingo	1
SI_Cuckoo_05	A2	Dove,Turaco	2
SI_Cuckoo_05	A3	Sandgrouse	1
SI_Cuckoo_05	A4	Cuckoo	1
SI_Cuckoo_06	A0	Stork,Dove,Turaco	3
SI_Cuckoo_06	A1	Flamingo,Sandgrouse,Cuckoo	3
