consensus_breakpoint_id	reference_position	min_position	max_position	n_species_support	species_support	mean_score	median_score	evidence_types	robust_species_count	parameter_recovery_fraction	confidence_class	source_breakpoint_ids
DSB_024	44648799	44635438	44670480	5	Stork,Flamingo,Dove,Sandgrouse,Cuckoo	10.4	11	chromosome_switch,gap_discrepancy,large_query_jump,order_reversal,orientation_switch	5	1	strong_consensus	Flamingo_BP010;Cuckoo_BP013;Dove_BP017;Stork_BP013;Sandgrouse_BP012
DSB_025	45656249	45614290	45721436	6	Stork,Flamingo,Dove,Sandgrouse,Turaco,Cuckoo	8.57278517077	8.49640452935	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	6	1	strong_consensus	Turaco_BP010;Cuckoo_BP014;Sandgrouse_BP013;Stork_BP014;Flamingo_BP011;Dove_BP018
DSB_026	46397999	46258704	46423282	5	Stork,Flamingo,Dove,Sandgrouse,Turaco	8.43905279705	8.93839003799	gap_discrepancy,order_reversal,orientation_switch	5	1	strong_consensus	Sandgrouse_BP014;Flamingo_BP012;Dove_BP019;Stork_BP015;Turaco_BP011
DSB_027	47140123	47014086	47228924	4	Stork,Flamingo,Turaco,Cuckoo	7.80619550896	8	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	4	1	strong_consensus	Flamingo_BP013;Cuckoo_BP015;Stork_BP016;Turaco_BP012
DSB_028	49159451	49157896	49161590	2	Flamingo,Sandgrouse	9.5	9.5	chromosome_switch,gap_discrepancy,large_query_jump,order_reversal,orientation_switch	2	0.814814814815	moderate_consensus	Flamingo_BP014;Sandgrouse_BP015
DSB_029	49626044	49623083	49634497	6	Stork,Flamingo,Dove,Sandgrouse,Turaco,Cuckoo	10	11	chromosome_switch,gap_discrepancy,large_query_jump,order_reversal,orientation_switch	6	1	strong_consensus	Stork_BP017;Flamingo_BP015;Turaco_BP013;Sandgrouse_BP016;Dove_BP020;Cuckoo_BP016
DSB_030	50085260	50085260	50085260	1	Dove	6.32190524951	6.32190524951	order_reversal,orientation_switch	1	0.444444444444	species_specific	Dove_BP021
DSB_031	50403126	50387655	50411514	3	Dove,Sandgrouse,Turaco	6.06321890645	6.06858179356	order_reversal,orientation_switch	3	1	moderate_consensus	Sandgrouse_BP017;Dove_BP022;Turaco_BP014
DSB_032	50988341	50948141	51019502	6	Stork,Flamingo,Dove,Sandgrouse,Turaco,Cuckoo	9.09398777803	8.86565952113	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	6	1	strong_consensus	Turaco_BP015;Cuckoo_BP017;Flamingo_BP016;Stork_BP018;Dove_BP023;Sandgrouse_BP018
DSB_033	51570722	51570722	51570722	1	Dove	9.54026967732	9.54026967732	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	1	1	species_specific	Dove_BP024
DSB_034	51790073	51788870	51791966	3	Stork,Sandgrouse,Cuckoo	10	11	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	3	1	moderate_consensus	Stork_BP019;Sandgrouse_BP019;Cuckoo_BP018
DSB_035	55393543	55393543	55393543	1	Turaco	6.00267211877	6.00267211877	order_reversal,orientation_switch	1	0.666666666667	species_specific	Turaco_BP016
DSB_036	55750019	55750019	55750019	1	Turaco	6.00000318489	6.00000318489	order_reversal,orientation_switch	1	0.666666666667	species_specific	Turaco_BP017
DSB_037	56712451	56712451	56712451	1	Turaco	8.11909089668	8.11909089668	gap_discrepancy,order_reversal,orientation_switch	1	1	species_specific	Turaco_BP018
DSB_038	57203613	57203140	57204086	2	Stork,Cuckoo	11	11	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	2	1	moderate_consensus	Cuckoo_BP019;Stork_BP020
DSB_039	58170699	58163165	58187508	5	Stork,Flamingo,Sandgrouse,Turaco,Cuckoo	8.77471399251	8	chromosome_switch,gap_discrepancy,large_query_jump,order_reversal,orientation_switch	5	1	strong_consensus	Cuckoo_BP020;Stork_BP021;Flamingo_BP017;Turaco_BP019;Sandgrouse_BP020
DSB_040	59984919	59969214	60000682	3	Dove,Sandgrouse,Turaco	8.50438196494	8	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	3	1	moderate_consensus	Dove_BP025;Turaco_BP020;Sandgrouse_BP021
DSB_041	61040106	61031024	61053871	3	Stork,Flamingo,Cuckoo	11	11	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	3	1	moderate_consensus	Stork_BP022;Cuckoo_BP021;Flamingo_BP018
