species	reference_position	left_run_id	right_run_id	left_query_chrom	right_query_chrom	left_relative_orientation	right_relative_orientation	reference_gap_bp	query_gap_bp	same_query_chromosome	relative_orientation_switch	query_order_consistent	query_order_reversal	query_overlap	query_jump_bp	reference_query_gap_discrepancy	scaffold_or_chromosome_switch	score_chromosome_switch	score_orientation_switch	score_order_reversal	score_query_jump	score_gap_discrepancy	breakpoint_score	evidence	persistent_regime_change	left_support_bp	right_support_bp	left_support_blocks	right_support_blocks
Stork	18726259	STO_R0014	STO_R0015	CM030203.1	CM030203.1	+	-	57264	570412	1	1	0	1	0	570412	513148	0	0	3	3	0.471200304188	1.21042129579	7.68162159998	orientation_switch,order_reversal,gap_discrepancy	0	112755	200874	1	9
Stork	19027428	STO_R0015	STO_R0016	CM030203.1	CM030203.1	-	-	532729	30328	1	0	1	0	0	30328	502401	0	0	0	0	0.0250530543281	1.18507110897	1.2101241633	gap_discrepancy	0	6172	194702	1	8
Stork	19482155	STO_R0016	STO_R0017	CM030203.1	CM030203.1	-	-	104110	124496	1	0	1	0	0	124496	20386	0	0	0	0	0.102842424546	0.0480868064105	0.150929230956	weak_gap_signal	0	142480	58394	7	2
Stork	19596508	STO_R0017	STO_R0018	CM030203.1	CM030203.1	-	-	111163	181609	1	0	1	0	0	181609	70446	0	0	0	0	0.150021766799	0.166169094692	0.316190861491	weak_gap_signal	0	149196	51678	8	1
Stork	19759888	STO_R0018	STO_R0019	CM030203.1	CM030196.1	-	-	112243		0	0	0	0	0			1	5	0	0	0	0	5	chromosome_switch	1	200874	1377513	9	43
Stork	21193523	STO_R0019	STO_R0020	CM030196.1	CM030196.1	-	+	0	1137	1	1	0	1	0	1137	1137	0	0	3	3	0.00093924171627	0.00268197286808	6.00362121458	orientation_switch,order_reversal	0	1377513	130594	43	1
Stork	21325724	STO_R0020	STO_R0021	CM030196.1	CM030196.1	+	-	3214	878	1	1	0	1	0	878	2336	0	0	3	3	0.000725289557507	0.00551019227778	6.00623548184	orientation_switch,order_reversal	0	130594	3877043	1	166
Stork	25213032	STO_R0021	STO_R0022	CM030196.1	CM030196.1	-	+	17315	3550	1	1	0	1	0	3550	13765	0	0	3	3	0.00293254889425	0.0324690910547	6.03540163995	orientation_switch,order_reversal	1	3877043	331589	166	13
Stork	25556601	STO_R0022	STO_R0023	CM030196.1	CM030196.1	+	-	6646	31065339	1	1	0	1	0	31065339	31058693	0	0	3	3	3	2	11	orientation_switch,order_reversal,large_query_jump,gap_discrepancy	1	331589	896049	13	38
Stork	26456126	STO_R0023	STO_R0024	CM030196.1	CM030196.1	-	+	305	410119	1	1	0	1	0	410119	409814	0	0	3	3	0.338787047876	0.966675487212	7.30546253509	orientation_switch,order_reversal	0	896049	33401	38	2
Stork	26494636	STO_R0024	STO_R0025	CM030196.1	CM030196.1	+	-	9913	360131	1	1	0	1	0	360131	350218	0	0	3	3	0.297493455165	0.826099537304	7.12359299247	orientation_switch,order_reversal	0	33401	1540767	2	50
Stork	28046474	STO_R0025	STO_R0026	CM030196.1	CM030196.1	-	+	12229	11890	1	1	0	1	0	11890	339	0	0	3	3	0.00982197362045	0.000799638348531	6.01062161197	orientation_switch,order_reversal	0	1540767	52485	50	2
Stork	28110954	STO_R0026	STO_R0027	CM030196.1	CM030196.1	+	-	11762	19631	1	1	0	1	0	19631	7869	0	0	3	3	0.0162165823501	0.0185615167097	6.03477809906	orientation_switch,order_reversal	0	52485	6398728	2	298
Stork	33234418	STO_R0027	STO_R0028	CM030196.1	CM030196.1	-	-	4423	16140534	1	0	1	0	0	16140534	16136111	0	0	0	0	3	2	5	large_query_jump,gap_discrepancy	1	5115371	1283357	281	17
Stork	34021642	STO_R0028	STO_R0029	CM030196.1	CM030196.1	-	-	59194	-32446706	1	0	0	1	32446706	32446706	32387512	0	0	0	3	3	2	8	order_reversal,large_query_jump,gap_discrepancy	1	5870787	527941	289	9
Stork	34064116	STO_R0029	STO_R0030	CM030196.1	CM030196.1	-	-	3333	21438135	1	0	1	0	0	21438135	21434802	0	0	0	0	3	2	5	large_query_jump,gap_discrepancy	1	5881997	516731	290	8
Stork	34232832	STO_R0030	STO_R0031	CM030196.1	CM030196.1	-	-	11121	-15421817	1	0	0	1	15421817	15421817	15410696	0	0	0	3	3	2	8	order_reversal,large_query_jump,gap_discrepancy	1	6043486	355242	291	7
Stork	34594765	STO_R0031	STO_R0032	CM030196.1	CM030196.1	-	+	2262	6206637	1	1	0	1	0	6206637	6204375	0	0	3	3	3	2	11	orientation_switch,order_reversal,large_query_jump,gap_discrepancy	0	6398728	8714	298	1
Stork	34614776	STO_R0032	STO_R0033	CM030196.1	CM030196.1	+	-	20331	58792	1	1	0	1	0	58792	38461	0	0	3	3	0.0485663139692	0.0907223909229	6.13928870489	orientation_switch,order_reversal	0	8714	112054	1	4
Stork	34746052	STO_R0033	STO_R0034	CM030196.1	CM030196.1	-	+	18114	8706	1	1	0	1	0	8706	9408	0	0	3	3	0.00719176638685	0.0221917332831	6.02938349967	orientation_switch,order_reversal	0	112054	2499653	4	91
Stork	35025836	STO_R0034	STO_R0035	CM030196.1	CM030196.1	+	+	1267	-31455789	1	0	0	1	31455789	31455789	31454522	0	0	0	3	3	2	8	order_reversal,large_query_jump,gap_discrepancy	1	270094	2229559	4	87
Stork	37261197	STO_R0035	STO_R0036	CM030196.1	CM030196.1	+	-	10336	4111059	1	1	0	1	0	4111059	4100723	0	0	3	3	3	2	11	orientation_switch,order_reversal,large_query_jump,gap_discrepancy	1	2499653	1869588	91	101
Stork	38644634	STO_R0036	STO_R0037	CM030196.1	CM030196.1	-	-	100557	118911	1	0	1	0	0	118911	18354	0	0	0	0	0.0982288229758	0.0432936939497	0.141522516925	weak_gap_signal	0	1327991	541597	78	23
Stork	39241060	STO_R0037	STO_R0038	CM030196.1	CM030196.1	-	+	9099	17041089	1	1	0	1	0	17041089	17031990	0	0	3	3	3	2	11	orientation_switch,order_reversal,large_query_jump,gap_discrepancy	1	1869588	3003458	101	148
Stork	42273326	STO_R0038	STO_R0039	CM030196.1	CM030196.1	+	-	48518	2562701	1	1	0	1	0	2562701	2514183	0	0	3	3	2.11697069967	2	10.1169706997	orientation_switch,order_reversal,large_query_jump,gap_discrepancy	1	3003458	275427	148	10
Stork	42576219	STO_R0039	STO_R0040	CM030196.1	CM030196.1	-	+	6414	1303	1	1	0	1	0	1303	5111	0	0	3	3	0.00107636935471	0.0120559044228	6.01313227378	orientation_switch,order_reversal	0	275427	45730	10	1
Stork	42625398	STO_R0040	STO_R0041	CM030196.1	CM030196.1	+	-	485	9042	1	1	0	1	0	9042	8557	0	0	3	3	0.00746932594417	0.0201843815586	6.0276537075	orientation_switch,order_reversal	0	45730	1867201	1	66
Stork	44073989	STO_R0041	STO_R0042	CM030196.1	CM030196.1	-	-	131750	150059	1	0	1	0	0	150059	18309	0	0	0	0	0.123959254795	0.0431875472662	0.167146802061	weak_gap_signal	0	1382473	484728	40	26
Stork	44650722	STO_R0042	STO_R0043	CM030196.1	CM030196.1	-	+	52261	43591684	1	1	0	1	0	43591684	43539423	0	0	3	3	3	2	11	orientation_switch,order_reversal,large_query_jump,gap_discrepancy	1	1867201	371700	66	20
Stork	44795170	STO_R0043	STO_R0044	CM030196.1	CM030196.1	+	+	162788	297851	1	0	1	0	0	297851	135063	0	0	0	0	0.246045808648	0.318588655657	0.564634464305	weak_gap_signal	0	36923	334777	1	19
Stork	45038724	STO_R0044	STO_R0045	CM030196.1	CM030196.1	+	+	143697	182465	1	0	1	0	0	182465	38768	0	0	0	0	0.150728882814	0.0914465471854	0.242175429999	weak_gap_signal	0	127235	244465	8	12
Stork	45353921	STO_R0045	STO_R0046	CM030196.1	CM030196.1	+	+	137768	281242	1	0	1	0	0	281242	143474	0	0	0	0	0.232325610174	0.338428650198	0.570754260372	weak_gap_signal	0	301699	70001	18	2
Stork	45546710	STO_R0046	STO_R0047	CM030196.1	CM030196.1	+	+	146295	-21015403	1	0	0	1	21015403	21015403	20869108	0	0	0	3	3	2	8	order_reversal,large_query_jump,gap_discrepancy	0	352456	19244	19	1
Stork	45658716	STO_R0047	STO_R0048	CM030196.1	CM030196.1	+	-	39231	1201846	1	1	0	1	0	1201846	1162615	0	0	3	3	0.992809058692	2	8.99280905869	orientation_switch,order_reversal,gap_discrepancy	1	371700	467663	20	15
Stork	45773476	STO_R0048	STO_R0049	CM030196.1	CM030196.1	-	-	142741	263226	1	0	1	0	0	263226	120485	0	0	0	0	0.217443131053	0.284201847855	0.501644978908	weak_gap_signal	0	23773	443890	1	14
Stork	46218372	STO_R0049	STO_R0050	CM030196.1	CM030196.1	-	-	127809	200722	1	0	1	0	0	200722	72913	0	0	0	0	0.165810444831	0.171988291759	0.337798736591	weak_gap_signal	0	333395	134268	9	6
Stork	46422874	STO_R0050	STO_R0051	CM030196.1	CM030196.1	-	+	12659	1161883	1	1	0	1	0	1161883	1149224	0	0	3	3	0.959796818844	2	8.95979681884	orientation_switch,order_reversal,gap_discrepancy	1	467663	606711	15	18
Stork	47075889	STO_R0051	STO_R0052	CM030196.1	CM030196.1	+	+	131162	-2736860	1	0	0	1	2736860	2736860	2605698	0	0	0	3	2.26083824414	2	7.26083824414	order_reversal,large_query_jump,gap_discrepancy	0	581104	25607	16	2
Stork	47184674	STO_R0052	STO_R0053	CM030196.1	CM030196.1	+	-	35194	50373	1	1	0	1	0	50373	15179	0	0	3	3	0.0416116297042	0.0358044557297	6.07741608543	orientation_switch,order_reversal	1	606711	2125691	18	92
Stork	47263530	STO_R0053	STO_R0054	CM030196.1	CM030196.1	-	-	106319	173697	1	0	1	0	0	173697	67378	0	0	0	0	0.14348590008	0.158932249697	0.302418149777	weak_gap_signal	0	8100	2117591	1	91
Stork	47538955	STO_R0054	STO_R0055	CM030196.1	CM030196.1	-	-	168956	212625	1	0	1	0	0	212625	43669	0	0	0	0	0.175643157363	0.103007100419	0.278650257782	weak_gap_signal	0	145887	1979804	4	88
Stork	49157896	STO_R0055	STO_R0056	CM030196.1	CM030196.1	-	-	15441	10407305	1	0	1	0	0	10407305	10391864	0	0	0	0	3	2	5	large_query_jump,gap_discrepancy	1	1672630	453061	81	11
Stork	49623083	STO_R0056	STO_R0057	CM030196.1	CM030196.1	-	+	8810	31467073	1	1	0	1	0	31467073	31458263	0	0	3	3	3	2	11	orientation_switch,order_reversal,large_query_jump,gap_discrepancy	1	2125691	1354608	92	76
Stork	50989364	STO_R0057	STO_R0058	CM030196.1	CM030196.1	+	-	14535	21094201	1	1	0	1	0	21094201	21079666	0	0	3	3	3	2	11	orientation_switch,order_reversal,large_query_jump,gap_discrepancy	1	1354608	783238	76	28
Stork	51788870	STO_R0058	STO_R0059	CM030196.1	CM030196.1	-	+	18002	14372674	1	1	0	1	0	14372674	14354672	0	0	3	3	3	2	11	orientation_switch,order_reversal,large_query_jump,gap_discrepancy	1	783238	5404641	28	279
Stork	57204086	STO_R0059	STO_R0060	CM030196.1	CM030196.1	+	-	3149	15440698	1	1	0	1	0	15440698	15437549	0	0	3	3	3	2	11	orientation_switch,order_reversal,large_query_jump,gap_discrepancy	1	5404641	929072	279	12
Stork	58163332	STO_R0060	STO_R0061	CM030196.1	CM030196.1	-	+	57198	2461152	1	1	0	1	0	2461152	2403954	0	0	3	3	2.03308410597	2	10.033084106	orientation_switch,order_reversal,large_query_jump,gap_discrepancy	1	929072	2823814	12	169
Stork	61031024	STO_R0061	STO_R0062	CM030196.1	CM030196.1	+	-	30559	17269774	1	1	0	1	0	17269774	17239215	0	0	3	3	3	2	11	orientation_switch,order_reversal,large_query_jump,gap_discrepancy	1	2823814	6379209	169	271
Stork	61467936	STO_R0062	STO_R0063	CM030196.1	CM030196.1	-	-	127789	202134	1	0	1	0	0	202134	74345	0	0	0	0	0.166976855828	0.175366115108	0.342342970936	weak_gap_signal	1	357738	6021471	3	268
Stork	67554802	STO_R0063	STO_R0064	CM030196.1	CM030196.1	-	+	3000	7623	1	1	0	1	0	7623	4623	0	0	3	3	0.00629713245658	0.0109048026114	6.01720193507	orientation_switch,order_reversal	0	6379209	18023	271	1
Stork	67577578	STO_R0064	STO_R0065	CM030196.1	CM030196.1	+	-	6506	7712	1	1	0	1	0	7712	1206	0	0	3	3	0.00637065269646	0.00284473111601	6.00921538381	orientation_switch,order_reversal	0	18023	16501478	1	809
Stork	70661992	STO_R0065	STO_R0066	CM030196.1	CM030196.1	-	-	112352	150780	1	0	1	0	0	150780	38428	0	0	0	0	0.124554851345	0.0906445500217	0.215199401367	weak_gap_signal	0	3024985	13476493	165	644
Stork	70976042	STO_R0066	STO_R0067	CM030196.1	CM030196.1	-	-	133617	256239	1	0	1	0	0	256239	122622	0	0	0	0	0.211671379187	0.28924263591	0.500914015097	weak_gap_signal	1	3216051	13285427	172	637
Stork	71147587	STO_R0067	STO_R0068	CM030196.1	CM030196.1	-	-	189206	353793	1	0	1	0	0	353793	164587	0	0	0	0	0.292257822801	0.38823031525	0.680488138051	weak_gap_signal	1	3226184	13275294	173	636
Stork	71388254	STO_R0068	STO_R0069	CM030196.1	CM030196.1	-	-	119371	173057	1	0	1	0	0	173057	53686	0	0	0	0	0.142957215209	0.126635352151	0.26959256736	weak_gap_signal	0	3312562	13188916	176	633
Stork	72088784	STO_R0069	STO_R0070	CM030196.1	CM030196.1	-	-	149685	227795	1	0	1	0	0	227795	78110	0	0	0	0	0.188174640948	0.184247054288	0.372421695236	weak_gap_signal	1	3878565	12622913	202	607
Stork	72401280	STO_R0070	STO_R0071	CM030196.1	CM030196.1	-	-	159119	237208	1	0	1	0	0	237208	78089	0	0	0	0	0.195950438903	0.184197519169	0.380147958073	weak_gap_signal	1	4036658	12464820	205	604
Stork	84945659	STO_R0071	STO_R0072	CM030196.1	CM030196.1	-	+	0	0	1	1	0	1	0	0	0	0	0	3	3	0	0	6	orientation_switch,order_reversal	0	16501478	5168	809	1
Stork	84950827	STO_R0072	STO_R0073	CM030196.1	CM030196.1	+	-	0	364	1	1	0	1	0	364	364	0	0	3	3	0.000300689520424	0.000858608728216	6.00115929825	orientation_switch,order_reversal	0	5168	4927366	1	189
Stork	85777698	STO_R0073	STO_R0074	CM030196.1	CM030196.1	-	-	292906	65194	1	0	1	0	0	65194	227712	0	0	0	0	0.0538548148202	0.537130523955	0.590985338775	weak_gap_signal	1	680418	4246948	30	159
Stork	88168735	STO_R0074	STO_R0075	CM030196.1	CM030196.1	-	-	110880	150240	1	0	1	0	0	150240	39360	0	0	0	0	0.124108773485	0.0928429657764	0.216951739261	weak_gap_signal	0	2869562	2057804	120	69
Stork	88525810	STO_R0075	STO_R0076	CM030196.1	CM030196.1	-	-	151529	218284	1	0	1	0	0	218284	66755	0	0	0	0	0.180317888122	0.157462707835	0.337780595957	weak_gap_signal	1	3095433	1831933	127	62
Stork	88747429	STO_R0076	STO_R0077	CM030196.1	CM030196.1	-	-	116078	167804	1	0	1	0	0	167804	51726	0	0	0	0	0.138617868916	0.122012074384	0.260629943299	weak_gap_signal	0	3183248	1744118	130	59
Stork	89903542	STO_R0077	STO_R0078	CM030196.1	CM030196.1	-	-	139323	202219	1	0	1	0	0	202219	62896	0	0	0	0	0.167047071788	0.148360040027	0.315407111815	weak_gap_signal	1	4211661	715705	159	30
Stork	90727736	STO_R0078	STO_R0079	CM030196.1	CM030196.1	-	+	77655	662383	1	1	0	1	0	662383	584728	0	0	3	3	0.547174798371	1.3792652869	7.92644008527	orientation_switch,order_reversal,gap_discrepancy	0	4927366	121737	189	4
Stork	90867327	STO_R0079	STO_R0080	CM030196.1	CM030196.1	+	+	163596	240065	1	0	1	0	0	240065	76469	0	0	0	0	0.198310521211	0.180376238566	0.378686759776	weak_gap_signal	0	18965	102772	1	3
Stork	91079930	STO_R0080	STO_R0081	CM030196.1	CM030196.1	+	-	56066	117993	1	1	0	1	0	117993	61927	0	0	3	3	0.0974704906138	0.146074348111	6.24354483872	orientation_switch,order_reversal	0	121737	15638	4	2
Stork	91156689	STO_R0081	STO_R0082	CM030196.1	CM030196.1	-	-	80768	-118522	1	0	0	1	118522	118522	37754	0	0	0	3	0.0979074817026	0.0890547085854	3.18696219029	order_reversal	0	8342	7296	1	1
Stork	91252367	STO_R0082	STO_R0083	CM030196.1	CM030196.1	-	+	95996	72899629	1	1	0	1	0	72899629	72803633	0	0	3	3	3	2	11	orientation_switch,order_reversal,large_query_jump,gap_discrepancy	0	15638	6829	2	1
Flamingo	619154	FLA_R0001	FLA_R0002	chr12	chr12	-	-	130877	210896	1	0	1	0	0	210896	80019	0	0	0	0	0.174214882141	0.188750032481	0.362964914622	weak_gap_signal	1	459332	735988	17	29
Flamingo	1108690	FLA_R0002	FLA_R0003	chr12	chr12	-	-	124753	186281	1	0	1	0	0	186281	61528	0	0	0	0	0.153881166358	0.145133180851	0.299014347208	weak_gap_signal	0	821053	374267	32	14
Flamingo	1269923	FLA_R0003	FLA_R0004	chr12	chr12	-	-	114648	151747	1	0	1	0	0	151747	37099	0	0	0	0	0.125353661142	0.0875096846376	0.21286334578	weak_gap_signal	0	862586	332734	35	11
Flamingo	1563164	FLA_R0004	FLA_R0005	chr12	chr12	-	-	69054	21866409	1	0	1	0	0	21866409	21797355	0	0	0	0	3	2	5	large_query_jump,gap_discrepancy	0	1063976	131344	40	6
Flamingo	1759938	FLA_R0005	FLA_R0006	chr12	chr12	-	-	150513	403149	1	0	1	0	0	403149	252636	0	0	0	0	0.333029339202	0.595921633686	0.928950972888	weak_gap_signal	0	1150966	44354	44	2
Flamingo	1949860	FLA_R0006	FLA_R0007	chr12	chr12	-	+	140623	12683665	1	1	0	1	0	12683665	12543042	0	0	3	3	3	2	11	orientation_switch,order_reversal,large_query_jump,gap_discrepancy	1	1195320	5567497	46	242
Flamingo	3643360	FLA_R0007	FLA_R0008	chr12	chr12	+	+	129338	179461	1	0	1	0	0	179461	50123	0	0	0	0	0.1482473682	0.118230893638	0.266478261839	weak_gap_signal	0	1558520	4008977	57	185
Flamingo	3987507	FLA_R0008	FLA_R0009	chr12	chr12	+	+	157396	252976	1	0	1	0	0	252976	95580	0	0	0	0	0.208975912414	0.225455555612	0.434431468027	weak_gap_signal	1	1759300	3808197	63	179
Flamingo	7875972	FLA_R0009	FLA_R0010	chr12	chr5	+	+	3140		0	0	0	0	0			1	5	0	0	0	0	5	chromosome_switch	0	5567497	8441	242	1
Flamingo	7886552	FLA_R0010	FLA_R0011	chr5	chr12	+	+	1138		0	0	0	0	0			1	5	0	0	0	0	5	chromosome_switch	0	8441	3065446	1	147
Flamingo	9533074	FLA_R0011	FLA_R0012	chr12	chr12	+	+	62299	-21614347	1	0	0	1	21614347	21614347	21552048	0	0	0	3	3	2	8	order_reversal,large_query_jump,gap_discrepancy	1	1614803	1450643	68	79
Flamingo	9598249	FLA_R0012	FLA_R0013	chr12	chr12	+	+	7680	9875418	1	0	1	0	0	9875418	9867738	0	0	0	0	3	2	5	large_query_jump,gap_discrepancy	1	1644989	1420457	70	77
Flamingo	10976088	FLA_R0013	FLA_R0014	chr12	chr12	+	+	50165	-11560614	1	0	0	1	11560614	11560614	11510449	0	0	0	3	3	2	8	order_reversal,large_query_jump,gap_discrepancy	0	2993905	71541	145	2
Flamingo	11073460	FLA_R0014	FLA_R0015	chr12	chr12	+	-	1498	4494	1	1	0	1	0	4494	2996	0	0	3	3	0.00371235907908	0.00706701030147	6.01077936938	orientation_switch,order_reversal	0	3065446	19748	147	1
Flamingo	11094858	FLA_R0015	FLA_R0016	chr12	chr12	-	+	1803	1897	1	1	0	1	0	1897	94	0	0	3	3	0.00156705500067	0.000221728627616	6.00178878363	orientation_switch,order_reversal	0	19748	7467845	1	367
Flamingo	18563605	FLA_R0016	FLA_R0017	chr12	chr12	+	-	0	7	1	1	0	1	0	7	7	0	0	3	3	5.78249077739e-06	1.65117063119e-05	6.0000222942	orientation_switch,order_reversal	0	7467845	19654	367	1
Flamingo	18584066	FLA_R0017	FLA_R0018	chr12	chr12	-	+	1613	0	1	1	0	1	0	0	1613	0	0	3	3	0	0.00380476889729	6.0038047689	orientation_switch,order_reversal	0	19654	112796	1	1
Flamingo	18726192	FLA_R0018	FLA_R0019	chr12	chr12	+	-	57049	564639	1	1	0	1	0	564639	507590	0	0	3	3	0.466431401436	1.19731100098	7.66374240241	orientation_switch,order_reversal,gap_discrepancy	0	112796	316567	1	12
Flamingo	19022386	FLA_R0019	FLA_R0020	chr12	chr12	-	-	523042	30145	1	0	1	0	0	30145	492897	0	0	0	0	0.0249018834978	1.16265292943	1.18755481293	gap_discrepancy	0	6148	310419	1	11
Flamingo	19573564	FLA_R0020	FLA_R0021	chr12	chr12	-	-	109821	145330	1	0	1	0	0	145330	35509	0	0	0	0	0.12005276924	0.0837591684897	0.203811937729	weak_gap_signal	0	240895	75672	9	3
Flamingo	19760078	FLA_R0021	FLA_R0022	chr12	chr4	-	-	111863		0	0	0	0	0			1	5	0	0	0	0	5	chromosome_switch	1	316567	1098161	12	29
Flamingo	20468804	FLA_R0022	FLA_R0023	chr4	chr4	-	-	134767	154483	1	0	1	0	0	154483	19716	0	0	0	0	0.127613788966	0.0465064002349	0.174120189201	weak_gap_signal	0	585410	512751	10	19
Flamingo	20729408	FLA_R0023	FLA_R0024	chr4	chr4	-	-	144585	124573	1	0	1	0	0	124573	20012	0	0	0	0	0.102906031945	0.0472046095304	0.150110641475	weak_gap_signal	0	706339	391822	14	15
Flamingo	21193523	FLA_R0024	FLA_R0025	chr4	chr4	-	+	0	1141	1	1	0	1	0	1141	1141	0	0	3	3	0.000942545996715	0.00269140812883	6.00363395413	orientation_switch,order_reversal	0	1098161	130452	29	1
Flamingo	21325814	FLA_R0025	FLA_R0026	chr4	chr4	+	-	3679	2883	1	1	0	1	0	2883	796	0	0	3	3	0.00238156013017	0.00187761688918	6.00425917702	orientation_switch,order_reversal	0	130452	3876707	1	168
Flamingo	25213025	FLA_R0026	FLA_R0027	chr4	chr4	-	+	17328	14191	1	1	0	1	0	14191	3137	0	0	3	3	0.011722760946	0.0073996032429	6.01912236419	orientation_switch,order_reversal	1	3876707	329490	168	14
Flamingo	25555552	FLA_R0027	FLA_R0028	chr4	chr4	+	-	8745	31022824	1	1	0	1	0	31022824	31014079	0	0	3	3	3	2	11	orientation_switch,order_reversal,large_query_jump,gap_discrepancy	1	329490	896053	14	35
Flamingo	26456128	FLA_R0028	FLA_R0029	chr4	chr4	-	+	301	397528	1	1	0	1	0	397528	397227	0	0	3	3	0.328385999108	0.936985080448	7.26537107956	orientation_switch,order_reversal	0	896053	33393	35	1
Flamingo	26494632	FLA_R0029	FLA_R0030	chr4	chr4	+	-	9921	364993	1	1	0	1	0	364993	355072	0	0	3	3	0.301509808045	0.837549226223	7.13905903427	orientation_switch,order_reversal	0	33393	1552661	1	34
Flamingo	28064092	FLA_R0030	FLA_R0031	chr4	chr4	-	+	23679	4	1	1	0	1	0	4	23675	0	0	3	3	3.30428044422e-06	0.0558449495619	6.05584825384	orientation_switch,order_reversal	0	1552661	29171	34	1
Flamingo	28110969	FLA_R0031	FLA_R0032	chr4	chr4	+	-	11732	51785	1	1	0	1	0	51785	40053	0	0	3	3	0.042778040701	0.0944776247012	6.1372556654	orientation_switch,order_reversal	0	29171	6384952	1	321
Flamingo	33233719	FLA_R0032	FLA_R0033	chr4	chr4	-	-	5820	16134005	1	0	1	0	0	16134005	16128185	0	0	0	0	3	2	5	large_query_jump,gap_discrepancy	1	5113974	1270978	281	40
Flamingo	34021638	FLA_R0033	FLA_R0034	chr4	chr4	-	-	59201	-11103638	1	0	0	1	11103638	11103638	11044437	0	0	0	3	3	2	8	order_reversal,large_query_jump,gap_discrepancy	1	5869383	515569	301	20
Flamingo	34232794	FLA_R0034	FLA_R0035	chr4	chr4	-	-	11196	-15199266	1	0	0	1	15199266	15199266	15188070	0	0	0	3	3	2	8	order_reversal,large_query_jump,gap_discrepancy	1	6045340	339612	302	19
Flamingo	34586950	FLA_R0035	FLA_R0036	chr4	chr4	-	+	17892	14542489	1	1	0	1	0	14542489	14524597	0	0	3	3	3	2	11	orientation_switch,order_reversal,large_query_jump,gap_discrepancy	0	6384952	18575	321	1
Flamingo	34619053	FLA_R0036	FLA_R0037	chr4	chr4	+	-	9164	44950	1	1	0	1	0	44950	35786	0	0	3	3	0.037131851492	0.0844125602966	6.12154441179	orientation_switch,order_reversal	0	18575	113368	1	4
